
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             FSE08 front suspension                              

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     0.00    -2.00     2.54     2.26    -1.31    20.75    -0.14     2.45     0.09     0.28    -0.19   315.03   100.04    78.02    77.82
     0.00    -4.00     4.97     4.65    -1.10    20.73    -0.56     4.64     0.33     0.32     0.01    97.11   102.51    38.01    37.75
     0.00    -6.00     7.42     7.04    -0.87    20.71    -1.27     6.72     0.70     0.38     0.32    54.34   105.01    25.18    24.85
     0.00    -8.00     9.90     9.42    -0.63    20.69    -2.27     8.69     1.21     0.48     0.73    39.32   107.56    18.85    18.46
     0.00   -10.00    12.41    11.81    -0.37    20.67    -3.55    10.58     1.84     0.60     1.24    32.64   110.15    15.09    14.63
     0.00   -12.00    14.97    14.21    -0.09    20.65    -5.12    12.39     2.58     0.76     1.82    29.36   112.80    12.59    12.06
     0.00   -14.00    17.57    16.62     0.21    20.62    -6.99    14.15     3.43     0.95     2.48    27.77   115.51    10.81    10.22
     0.00   -16.00    20.24    19.05     0.53    20.60    -9.15    15.86     4.38     1.19     3.19    27.16   118.29     9.48     8.82
     0.00   -18.00    22.98    21.50     0.88    20.57   -11.62    17.53     5.45     1.48     3.97    27.18   121.16     8.45     7.72
     0.00   -20.00    25.81    23.98     1.25    20.54   -14.40    19.19     6.62     1.83     4.79    27.67   124.13     7.62     7.57
     0.00   -22.00    28.74    26.48     1.65    20.51   -17.49    20.84     7.90     2.25     5.64    28.55   127.21     6.95     8.31
     2.00     0.00     0.13    -0.13    -1.64    20.78     0.70     0.13     0.00     0.27    -0.27 ********    97.60 ******** ********
     2.00     2.00    -2.26    -2.54    -1.82    20.80     0.56    -2.46    -0.09    -0.28     0.19   317.94    95.18    78.08    77.88
     2.00     4.00    -4.65    -4.97    -1.98    20.82     0.13    -4.64    -0.33    -0.32    -0.01    97.89    92.78    38.03    37.77
     2.00     6.00    -7.03    -7.42    -2.13    20.84    -0.59    -6.72    -0.70    -0.39    -0.32    54.68    90.39    25.19    24.86
     2.00     8.00    -9.42    -9.90    -2.27    20.86    -1.60    -8.69    -1.21    -0.48    -0.73    39.49    88.02    18.86    18.47
     2.00    10.00   -11.81   -12.41    -2.39    20.88    -2.89   -10.57    -1.84    -0.60    -1.24    32.73    85.65    15.09    14.63
     2.00    12.00   -14.21   -14.97    -2.49    20.90    -4.48   -12.39    -2.58    -0.76    -1.82    29.40    83.28    12.59    12.07
     2.00    14.00   -16.62   -17.57    -2.58    20.92    -6.37   -14.14    -3.43    -0.95    -2.48    27.78    80.91    10.81    10.22
     2.00    16.00   -19.05   -20.24    -2.65    20.95    -8.56   -15.85    -4.38    -1.19    -3.19    27.14    78.53     9.48     8.83
     2.00    18.00   -21.50   -22.97    -2.71    20.97   -11.05   -17.53    -5.45    -1.48    -3.97    27.15    76.15     8.45     7.73
     2.00    20.00   -23.97   -25.80    -2.75    20.99   -13.86   -19.18    -6.62    -1.83    -4.79    27.63    73.74     7.62     7.57
     2.00    22.00   -26.48   -28.73    -2.78    21.02   -16.99   -20.83    -7.90    -2.25    -5.64    28.51    71.32     6.95     8.31
     2.00     0.00     0.13    -0.13    -1.64    20.78     0.70    -0.13     0.00    -0.27     0.27 ********    97.60 ******** ********
     2.00    -2.00     2.54     2.26    -1.44    20.76     0.56     2.46     0.09     0.28    -0.19   317.94   100.04    78.08    77.88
     2.00    -4.00     4.97     4.65    -1.23    20.74     0.13     4.64     0.33     0.32     0.01    97.89   102.52    38.03    37.77
     2.00    -6.00     7.42     7.03    -1.00    20.71    -0.59     6.72     0.70     0.39     0.32    54.68   105.02    25.19    24.86
     2.00    -8.00     9.90     9.42    -0.76    20.69    -1.60     8.69     1.21     0.48     0.73    39.49   107.57    18.86    18.47
     2.00   -10.00    12.41    11.81    -0.49    20.67    -2.89    10.57     1.84     0.60     1.24    32.73   110.16    15.09    14.63
     2.00   -12.00    14.97    14.21    -0.21    20.65    -4.48    12.39     2.58     0.76     1.82    29.40   112.80    12.59    12.07
     2.00   -14.00    17.57    16.62     0.09    20.62    -6.37    14.14     3.43     0.95     2.48    27.78   115.51    10.81    10.22
     2.00   -16.00    20.24    19.05     0.42    20.60    -8.56    15.85     4.38     1.19     3.19    27.14   118.29     9.48     8.83
     2.00   -18.00    22.97    21.50     0.77    20.57   -11.05    17.53     5.45     1.48     3.97    27.15   121.16     8.45     7.73
     2.00   -20.00    25.80    23.97     1.15    20.54   -13.86    19.18     6.62     1.83     4.79    27.63   124.13     7.62     7.57
     2.00   -22.00    28.73    26.48     1.55    20.51   -16.99    20.83     7.90     2.25     5.64    28.51   127.22     6.95     8.31
     4.00     0.00     0.14    -0.14    -1.78    20.78     1.39     0.14     0.00     0.27    -0.27 ********    97.61 ******** ********
     4.00     2.00    -2.26    -2.54    -1.96    20.80     1.24    -2.46    -0.09    -0.28     0.20   320.55    95.19    78.15    77.95
     4.00     4.00    -4.65    -4.97    -2.13    20.82     0.81    -4.64    -0.33    -0.32     0.00    98.59    92.79    38.05    37.79
     4.00     6.00    -7.03    -7.42    -2.28    20.84     0.08    -6.71    -0.70    -0.39    -0.32    54.97    90.40    25.20    24.87
     4.00     8.00    -9.42    -9.90    -2.41    20.87    -0.93    -8.69    -1.21    -0.48    -0.73    39.63    88.02    18.87    18.47
     4.00    10.00   -11.81   -12.41    -2.53    20.89    -2.24   -10.57    -1.84    -0.60    -1.23    32.79    85.65    15.10    14.64
     4.00    12.00   -14.20   -14.96    -2.64    20.91    -3.85   -12.38    -2.58    -0.76    -1.82    29.43    83.29    12.59    12.07
     4.00    14.00   -16.61   -17.57    -2.73    20.93    -5.76   -14.14    -3.43    -0.95    -2.47    27.78    80.92    10.81    10.22
     4.00    16.00   -19.04   -20.23    -2.80    20.96    -7.97   -15.85    -4.38    -1.19    -3.19    27.12    78.54     9.48     8.83
     4.00    18.00   -21.49   -22.97    -2.86    20.98   -10.50   -17.52    -5.44    -1.48    -3.97    27.12    76.15     8.45     7.73
     4.00    20.00   -23.97   -25.79    -2.90    21.00   -13.34   -19.18    -6.61    -1.82    -4.79    27.58    73.75     7.62     7.56
     4.00    22.00   -26.47   -28.72    -2.93    21.03   -16.50   -20.82    -7.89    -2.25    -5.65    28.45    71.33     6.95     8.31
     4.00     0.00     0.14    -0.14    -1.78    20.78     1.39    -0.14     0.00    -0.27     0.27 ********    97.61 ******** ********
     4.00    -2.00     2.54     2.26    -1.58    20.76     1.24     2.46     0.09     0.28    -0.20   320.55   100.05    78.15    77.95
     4.00    -4.00     4.97     4.65    -1.37    20.74     0.81     4.64     0.33     0.32     0.00    98.59   102.52    38.05    37.79
     4.00    -6.00     7.42     7.03    -1.14    20.72     0.08     6.71     0.70     0.39     0.32    54.97   105.03    25.20    24.87
     4.00    -8.00     9.90     9.42    -0.89    20.70    -0.93     8.69     1.21     0.48     0.73    39.63   107.57    18.87    18.47
     4.00   -10.00    12.41    11.81    -0.62    20.68    -2.24    10.57     1.84     0.60     1.23    32.79   110.16    15.10    14.64
     4.00   -12.00    14.96    14.20    -0.34    20.65    -3.85    12.38     2.58     0.76     1.82    29.43   112.81    12.59    12.07
     4.00   -14.00    17.57    16.61    -0.03    20.63    -5.76    14.14     3.43     0.95     2.47    27.78   115.52    10.81    10.22
     4.00   -16.00    20.23    19.04     0.30    20.60    -7.97    15.85     4.38     1.19     3.19    27.12   118.30     9.48     8.83
     4.00   -18.00    22.97    21.49     0.66    20.57   -10.50    17.52     5.44     1.48     3.97    27.12   121.17     8.45     7.73
     4.00   -20.00    25.79    23.97     1.04    20.54   -13.34    19.18     6.61     1.82     4.79    27.58   124.14     7.62     7.56
     4.00   -22.00    28.72    26.47     1.45    20.51   -16.50    20.82     7.89     2.25     5.65    28.45   127.22     6.95     8.31
     6.00     0.00     0.14    -0.14    -1.92    20.79     2.07     0.14     0.00     0.27    -0.27 ********    97.61 ******** ********
     6.00     2.00    -2.26    -2.55    -2.11    20.81     1.92    -2.46    -0.09    -0.29     0.20   322.85    95.19    78.21    78.01
     6.00     4.00    -4.65    -4.97    -2.27    20.83     1.48    -4.64    -0.33    -0.33     0.00    99.21    92.79    38.07    37.80
     6.00     6.00    -7.03    -7.42    -2.43    20.85     0.75    -6.71    -0.70    -0.39    -0.32    55.22    90.41    25.21    24.88
     6.00     8.00    -9.41    -9.89    -2.56    20.87    -0.28    -8.68    -1.21    -0.48    -0.73    39.75    88.03    18.87    18.48
     6.00    10.00   -11.80   -12.41    -2.68    20.90    -1.61   -10.57    -1.84    -0.60    -1.23    32.84    85.66    15.10    14.64
     6.00    12.00   -14.20   -14.96    -2.79    20.92    -3.23   -12.38    -2.58    -0.76    -1.82    29.44    83.29    12.60    12.07
     6.00    14.00   -16.61   -17.56    -2.88    20.94    -5.16   -14.13    -3.43    -0.95    -2.48    27.77    80.92    10.82    10.23
     6.00    16.00   -19.04   -20.22    -2.95    20.97    -7.40   -15.84    -4.38    -1.19    -3.20    27.10    78.55     9.48     8.83
     6.00    18.00   -21.49   -22.96    -3.01    20.99    -9.95   -17.52    -5.44    -1.47    -3.97    27.07    76.16     8.45     7.73
     6.00    20.00   -23.96   -25.78    -3.05    21.02   -12.82   -19.17    -6.61    -1.82    -4.79    27.53    73.76     7.63     7.56
     6.00    22.00   -26.47   -28.71    -3.08    21.04   -16.02   -20.82    -7.89    -2.24    -5.65    28.39    71.34     6.95     8.31
     6.00     0.00     0.14    -0.14    -1.92    20.79     2.07    -0.14     0.00    -0.27     0.27 ********    97.61 ******** ********
     6.00    -2.00     2.55     2.26    -1.72    20.77     1.92     2.46     0.09     0.29    -0.20   322.85   100.06    78.21    78.01
     6.00    -4.00     4.97     4.65    -1.51    20.75     1.48     4.64     0.33     0.33     0.00    99.21   102.53    38.07    37.80
     6.00    -6.00     7.42     7.03    -1.27    20.73     0.75     6.71     0.70     0.39     0.32    55.22   105.03    25.21    24.88
     6.00    -8.00     9.89     9.41    -1.02    20.70    -0.28     8.68     1.21     0.48     0.73    39.75   107.58    18.87    18.48
     6.00   -10.00    12.41    11.80    -0.75    20.68    -1.61    10.57     1.84     0.60     1.23    32.84   110.17    15.10    14.64
     6.00   -12.00    14.96    14.20    -0.46    20.66    -3.23    12.38     2.58     0.76     1.82    29.44   112.82    12.60    12.07
     6.00   -14.00    17.56    16.61    -0.15    20.63    -5.16    14.13     3.43     0.95     2.48    27.77   115.52    10.82    10.23
     6.00   -16.00    20.22    19.04     0.19    20.60    -7.40    15.84     4.38     1.19     3.20    27.10   118.31     9.48     8.83
     6.00   -18.00    22.96    21.49     0.55    20.58    -9.95    17.52     5.44     1.47     3.97    27.07   121.17     8.45     7.73
     6.00   -20.00    25.78    23.96     0.93    20.55   -12.82    19.17     6.61     1.82     4.79    27.53   124.14     7.63     7.56
     6.00   -22.00    28.71    26.47     1.35    20.51   -16.02    20.82     7.89     2.24     5.65    28.39   127.23     6.95     8.31
     8.00     0.00     0.14    -0.14    -2.07    20.80     2.74     0.14     0.00     0.28    -0.28 ********    97.62 ******** ********
     8.00     2.00    -2.26    -2.55    -2.25    20.82     2.59    -2.46    -0.09    -0.29     0.20   324.86    95.20    78.26    78.06
     8.00     4.00    -4.64    -4.97    -2.42    20.84     2.15    -4.64    -0.33    -0.33     0.00    99.73    92.80    38.09    37.82
     8.00     6.00    -7.03    -7.42    -2.57    20.86     1.40    -6.71    -0.71    -0.39    -0.31    55.43    90.42    25.22    24.89
     8.00     8.00    -9.41    -9.89    -2.71    20.88     0.36    -8.68    -1.21    -0.48    -0.73    39.84    88.04    18.88    18.48
     8.00    10.00   -11.80   -12.40    -2.83    20.90    -0.98   -10.57    -1.84    -0.60    -1.23    32.87    85.67    15.10    14.64
     8.00    12.00   -14.20   -14.95    -2.94    20.93    -2.62   -12.38    -2.58    -0.76    -1.82    29.44    83.30    12.60    12.08
     8.00    14.00   -16.61   -17.56    -3.03    20.95    -4.57   -14.13    -3.43    -0.95    -2.48    27.75    80.93    10.82    10.23
     8.00    16.00   -19.03   -20.22    -3.11    20.98    -6.83   -15.84    -4.38    -1.19    -3.20    27.06    78.56     9.49     8.83
     8.00    18.00   -21.48   -22.95    -3.16    21.00    -9.41   -17.51    -5.44    -1.47    -3.97    27.03    76.17     8.45     7.73
     8.00    20.00   -23.95   -25.77    -3.21    21.03   -12.32   -19.16    -6.61    -1.82    -4.79    27.48    73.77     7.63     7.56
     8.00    22.00   -26.46   -28.69    -3.23    21.05   -15.55   -20.81    -7.89    -2.23    -5.65    28.33    71.35     6.95     8.30
     8.00     0.00     0.14    -0.14    -2.07    20.80     2.74    -0.14     0.00    -0.28     0.28 ********    97.62 ******** ********
     8.00    -2.00     2.55     2.26    -1.86    20.77     2.59     2.46     0.09     0.29    -0.20   324.86   100.06    78.26    78.06
     8.00    -4.00     4.97     4.64    -1.64    20.75     2.15     4.64     0.33     0.33     0.00    99.73   102.54    38.09    37.82
     8.00    -6.00     7.42     7.03    -1.41    20.73     1.40     6.71     0.71     0.39     0.31    55.43   105.04    25.22    24.89
     8.00    -8.00     9.89     9.41    -1.15    20.71     0.36     8.68     1.21     0.48     0.73    39.84   107.59    18.88    18.48
     8.00   -10.00    12.40    11.80    -0.88    20.69    -0.98    10.57     1.84     0.60     1.23    32.87   110.18    15.10    14.64
     8.00   -12.00    14.95    14.20    -0.59    20.66    -2.62    12.38     2.58     0.76     1.82    29.44   112.82    12.60    12.08
     8.00   -14.00    17.56    16.61    -0.27    20.64    -4.57    14.13     3.43     0.95     2.48    27.75   115.53    10.82    10.23
     8.00   -16.00    20.22    19.03     0.07    20.61    -6.83    15.84     4.38     1.19     3.20    27.06   118.31     9.49     8.83
     8.00   -18.00    22.95    21.48     0.43    20.58    -9.41    17.51     5.44     1.47     3.97    27.03   121.18     8.45     7.73
     8.00   -20.00    25.77    23.95     0.82    20.55   -12.32    19.16     6.61     1.82     4.79    27.48   124.14     7.63     7.56
     8.00   -22.00    28.69    26.46     1.25    20.51   -15.55    20.81     7.89     2.23     5.65    28.33   127.23     6.95     8.30
    10.00     0.00     0.14    -0.14    -2.21    20.80     3.40     0.14     0.00     0.28    -0.28 ********    97.63 ******** ********
    10.00     2.00    -2.26    -2.55    -2.40    20.82     3.25    -2.46    -0.09    -0.29     0.20   326.59    95.21    78.31    78.11
    10.00     4.00    -4.64    -4.97    -2.57    20.85     2.80    -4.64    -0.33    -0.33     0.00   100.18    92.81    38.10    37.83
    10.00     6.00    -7.02    -7.42    -2.72    20.87     2.05    -6.71    -0.71    -0.39    -0.31    55.60    90.42    25.23    24.89
    10.00     8.00    -9.41    -9.89    -2.86    20.89     1.00    -8.68    -1.21    -0.48    -0.73    39.90    88.05    18.88    18.49
    10.00    10.00   -11.80   -12.40    -2.99    20.91    -0.36   -10.56    -1.84    -0.60    -1.23    32.89    85.68    15.11    14.65
    10.00    12.00   -14.19   -14.95    -3.09    20.94    -2.02   -12.37    -2.58    -0.76    -1.82    29.42    83.31    12.60    12.08
    10.00    14.00   -16.60   -17.55    -3.18    20.96    -3.99   -14.13    -3.43    -0.95    -2.48    27.71    80.94    10.82    10.23
    10.00    16.00   -19.03   -20.21    -3.26    20.99    -6.28   -15.83    -4.38    -1.18    -3.20    27.01    78.57     9.49     8.83
    10.00    18.00   -21.48   -22.94    -3.32    21.01    -8.89   -17.50    -5.44    -1.47    -3.97    26.97    76.18     8.46     7.73
    10.00    20.00   -23.95   -25.76    -3.36    21.04   -11.82   -19.15    -6.61    -1.81    -4.80    27.41    73.78     7.63     7.56
    10.00    22.00   -26.45   -28.68    -3.38    21.07   -15.09   -20.80    -7.88    -2.23    -5.66    28.26    71.36     6.96     8.30
    10.00     0.00     0.14    -0.14    -2.21    20.80     3.40    -0.14     0.00    -0.28     0.28 ********    97.63 ******** ********
    10.00    -2.00     2.55     2.26    -2.00    20.78     3.25     2.46     0.09     0.29    -0.20   326.59   100.07    78.31    78.11
    10.00    -4.00     4.97     4.64    -1.78    20.76     2.80     4.64     0.33     0.33     0.00   100.18   102.54    38.10    37.83
    10.00    -6.00     7.42     7.02    -1.54    20.74     2.05     6.71     0.71     0.39     0.31    55.60   105.05    25.23    24.89
    10.00    -8.00     9.89     9.41    -1.29    20.71     1.00     8.68     1.21     0.48     0.73    39.90   107.59    18.88    18.49
    10.00   -10.00    12.40    11.80    -1.01    20.69    -0.36    10.56     1.84     0.60     1.23    32.89   110.18    15.11    14.65
    10.00   -12.00    14.95    14.19    -0.71    20.67    -2.02    12.37     2.58     0.76     1.82    29.42   112.83    12.60    12.08
    10.00   -14.00    17.55    16.60    -0.39    20.64    -3.99    14.13     3.43     0.95     2.48    27.71   115.53    10.82    10.23
    10.00   -16.00    20.21    19.03    -0.05    20.61    -6.28    15.83     4.38     1.18     3.20    27.01   118.31     9.49     8.83
    10.00   -18.00    22.94    21.48     0.32    20.58    -8.89    17.50     5.44     1.47     3.97    26.97   121.18     8.46     7.73
    10.00   -20.00    25.76    23.95     0.71    20.55   -11.82    19.15     6.61     1.81     4.80    27.41   124.15     7.63     7.56
    10.00   -22.00    28.68    26.45     1.14    20.51   -15.09    20.80     7.88     2.23     5.66    28.26   127.23     6.96     8.30
    12.00     0.00     0.14    -0.14    -2.35    20.81     4.05    -0.14     0.00    -0.28     0.28 ********    97.63 ******** ********
    12.00     2.00    -2.25    -2.55    -2.54    20.83     3.90    -2.46    -0.09    -0.29     0.20   328.03    95.22    78.36    78.16
    12.00     4.00    -4.64    -4.97    -2.72    20.85     3.45    -4.64    -0.33    -0.33     0.00   100.54    92.82    38.12    37.85
    12.00     6.00    -7.02    -7.42    -2.87    20.88     2.69    -6.71    -0.71    -0.39    -0.31    55.73    90.43    25.24    24.90
    12.00     8.00    -9.41    -9.89    -3.01    20.90     1.62    -8.68    -1.21    -0.48    -0.73    39.95    88.06    18.89    18.49
    12.00    10.00   -11.79   -12.40    -3.14    20.92     0.25   -10.56    -1.84    -0.60    -1.23    32.89    85.69    15.11    14.65
    12.00    12.00   -14.19   -14.95    -3.25    20.95    -1.43   -12.37    -2.58    -0.76    -1.82    29.40    83.32    12.61    12.08
    12.00    14.00   -16.60   -17.55    -3.34    20.97    -3.42   -14.12    -3.42    -0.95    -2.48    27.67    80.95    10.82    10.23
    12.00    16.00   -19.02   -20.20    -3.41    21.00    -5.73   -15.82    -4.38    -1.18    -3.20    26.96    78.58     9.49     8.83
    12.00    18.00   -21.47   -22.93    -3.47    21.03    -8.37   -17.50    -5.44    -1.46    -3.98    26.91    76.19     8.46     7.73
    12.00    20.00   -23.94   -25.75    -3.51    21.05   -11.34   -19.15    -6.60    -1.81    -4.80    27.34    73.79     7.63     7.56
    12.00    22.00   -26.45   -28.67    -3.54    21.08   -14.64   -20.79    -7.88    -2.22    -5.66    28.18    71.37     6.96     8.30
    12.00     0.00     0.14    -0.14    -2.35    20.81     4.05    -0.14     0.00    -0.28     0.28 ********    97.63 ******** ********
    12.00    -2.00     2.55     2.25    -2.15    20.79     3.90     2.46     0.09     0.29    -0.20   328.03   100.08    78.36    78.16
    12.00    -4.00     4.97     4.64    -1.92    20.76     3.45     4.64     0.33     0.33     0.00   100.54   102.55    38.12    37.85
    12.00    -6.00     7.42     7.02    -1.68    20.74     2.69     6.71     0.71     0.39     0.31    55.73   105.05    25.24    24.90
    12.00    -8.00     9.89     9.41    -1.42    20.72     1.62     8.68     1.21     0.48     0.73    39.95   107.60    18.89    18.49
    12.00   -10.00    12.40    11.79    -1.14    20.70     0.25    10.56     1.84     0.60     1.23    32.89   110.19    15.11    14.65
    12.00   -12.00    14.95    14.19    -0.84    20.67    -1.43    12.37     2.58     0.76     1.82    29.40   112.83    12.61    12.08
    12.00   -14.00    17.55    16.60    -0.52    20.64    -3.42    14.12     3.42     0.95     2.48    27.67   115.54    10.82    10.23
    12.00   -16.00    20.20    19.02    -0.17    20.61    -5.73    15.82     4.38     1.18     3.20    26.96   118.32     9.49     8.83
    12.00   -18.00    22.93    21.47     0.20    20.58    -8.37    17.50     5.44     1.46     3.98    26.91   121.18     8.46     7.73
    12.00   -20.00    25.75    23.94     0.60    20.55   -11.34    19.15     6.60     1.81     4.80    27.34   124.15     7.63     7.56
    12.00   -22.00    28.67    26.45     1.04    20.52   -14.64    20.79     7.88     2.22     5.66    28.18   127.23     6.96     8.30
    14.00     0.00     0.14    -0.14    -2.50    20.82     4.69    -0.14     0.00    -0.28     0.28 99813.85    97.64 ******** ********
    14.00     2.00    -2.25    -2.55    -2.69    20.84     4.54    -2.46    -0.09    -0.29     0.20   329.22    95.22    78.40    78.20
    14.00     4.00    -4.64    -4.97    -2.87    20.86     4.08    -4.64    -0.33    -0.33     0.00   100.83    92.82    38.13    37.86
    14.00     6.00    -7.02    -7.41    -3.02    20.88     3.32    -6.71    -0.71    -0.39    -0.31    55.83    90.44    25.24    24.91
    14.00     8.00    -9.40    -9.89    -3.17    20.91     2.24    -8.68    -1.21    -0.48    -0.73    39.97    88.06    18.89    18.50
    14.00    10.00   -11.79   -12.39    -3.29    20.93     0.86   -10.56    -1.84    -0.60    -1.23    32.87    85.69    15.12    14.65
    14.00    12.00   -14.19   -14.94    -3.40    20.96    -0.84   -12.37    -2.58    -0.76    -1.82    29.36    83.33    12.61    12.08
    14.00    14.00   -16.59   -17.54    -3.49    20.98    -2.86   -14.12    -3.42    -0.95    -2.48    27.62    80.96    10.83    10.23
    14.00    16.00   -19.02   -20.20    -3.57    21.01    -5.20   -15.82    -4.38    -1.18    -3.20    26.90    78.59     9.49     8.84
    14.00    18.00   -21.47   -22.92    -3.63    21.04    -7.86   -17.49    -5.44    -1.46    -3.98    26.84    76.20     8.46     7.73
    14.00    20.00   -23.94   -25.74    -3.67    21.07   -10.86   -19.14    -6.60    -1.80    -4.80    27.27    73.80     7.63     7.56
    14.00    22.00   -26.44   -28.66    -3.69    21.10   -14.20   -20.78    -7.87    -2.21    -5.66    28.10    71.38     6.96     8.30
    14.00     0.00     0.14    -0.14    -2.50    20.82     4.69    -0.14     0.00    -0.28     0.28 99813.85    97.64 ******** ********
    14.00    -2.00     2.55     2.25    -2.29    20.79     4.54     2.46     0.09     0.29    -0.20   329.22   100.08    78.40    78.20
    14.00    -4.00     4.97     4.64    -2.07    20.77     4.08     4.64     0.33     0.33     0.00   100.83   102.55    38.13    37.86
    14.00    -6.00     7.41     7.02    -1.82    20.75     3.32     6.71     0.71     0.39     0.31    55.83   105.06    25.24    24.91
    14.00    -8.00     9.89     9.40    -1.56    20.73     2.24     8.68     1.21     0.48     0.73    39.97   107.60    18.89    18.50
    14.00   -10.00    12.39    11.79    -1.27    20.70     0.86    10.56     1.84     0.60     1.23    32.87   110.19    15.12    14.65
    14.00   -12.00    14.94    14.19    -0.97    20.68    -0.84    12.37     2.58     0.76     1.82    29.36   112.84    12.61    12.08
    14.00   -14.00    17.54    16.59    -0.64    20.65    -2.86    14.12     3.42     0.95     2.48    27.62   115.54    10.83    10.23
    14.00   -16.00    20.20    19.02    -0.29    20.62    -5.20    15.82     4.38     1.18     3.20    26.90   118.32     9.49     8.84
    14.00   -18.00    22.92    21.47     0.09    20.59    -7.86    17.49     5.44     1.46     3.98    26.84   121.19     8.46     7.73
    14.00   -20.00    25.74    23.94     0.49    20.55   -10.86    19.14     6.60     1.80     4.80    27.27   124.15     7.63     7.56
    14.00   -22.00    28.66    26.44     0.93    20.52   -14.20    20.78     7.87     2.21     5.66    28.10   127.23     6.96     8.30
    16.00     0.00     0.14    -0.14    -2.65    20.82     5.33    -0.14     0.00    -0.28     0.28 99409.89    97.65 ******** ********
    16.00     2.00    -2.25    -2.55    -2.84    20.85     5.17    -2.46    -0.09    -0.29     0.21   330.16    95.23    78.44    78.24
    16.00     4.00    -4.64    -4.97    -3.02    20.87     4.71    -4.64    -0.33    -0.33     0.00   101.05    92.83    38.14    37.87
    16.00     6.00    -7.02    -7.41    -3.18    20.89     3.93    -6.71    -0.71    -0.39    -0.31    55.88    90.45    25.25    24.92
    16.00     8.00    -9.40    -9.88    -3.32    20.92     2.85    -8.67    -1.21    -0.48    -0.73    39.97    88.07    18.90    18.50
    16.00    10.00   -11.79   -12.39    -3.45    20.94     1.45   -10.55    -1.84    -0.60    -1.23    32.84    85.70    15.12    14.66
    16.00    12.00   -14.18   -14.94    -3.56    20.97    -0.27   -12.36    -2.58    -0.75    -1.82    29.31    83.34    12.61    12.09
    16.00    14.00   -16.59   -17.53    -3.65    20.99    -2.31   -14.11    -3.42    -0.94    -2.48    27.56    80.97    10.83    10.24
    16.00    16.00   -19.01   -20.19    -3.73    21.02    -4.67   -15.81    -4.38    -1.17    -3.20    26.83    78.60     9.50     8.84
    16.00    18.00   -21.46   -22.92    -3.78    21.05    -7.36   -17.48    -5.43    -1.45    -3.98    26.76    76.21     8.46     7.74
    16.00    20.00   -23.93   -25.73    -3.82    21.08   -10.40   -19.13    -6.60    -1.79    -4.80    27.18    73.81     7.63     7.56
    16.00    22.00   -26.44   -28.64    -3.85    21.11   -13.77   -20.77    -7.87    -2.20    -5.67    28.01    71.40     6.96     8.30
    16.00     0.00     0.14    -0.14    -2.65    20.82     5.33    -0.14     0.00    -0.28     0.28 99409.89    97.65 ******** ********
    16.00    -2.00     2.55     2.25    -2.44    20.80     5.17     2.46     0.09     0.29    -0.21   330.16   100.09    78.44    78.24
