
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE06 rear suspension                               

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    10.00     0.00 -1000.00    -0.43    -0.04    -0.87     0.07     7.93     0.72     1.63    -1.33     0.27     0.02    -0.19     0.20   939.12  1733.09
    12.00  1000.00     0.00    -0.93    -0.52    -2.08     1.06    16.96     9.54     2.01    -1.70     0.58     0.33    -0.15     0.18   164.96   982.40
    12.00 -1000.00     0.00    -0.12    -0.52    -0.23     1.06     2.30     9.54     1.40    -1.70     0.08     0.33    -0.20     0.18  1779.16   982.40
    12.00     0.00  1000.00    -0.52    -0.93    -1.06     2.08     9.54    16.96     1.70    -2.01     0.33     0.58    -0.18     0.15   982.40   164.96
    12.00     0.00 -1000.00    -0.52    -0.12    -1.06     0.23     9.54     2.30     1.70    -1.40     0.33     0.08    -0.18     0.20   982.40  1779.16
    14.00  1000.00     0.00    -1.03    -0.61    -2.33     1.27    18.64    11.15     2.08    -1.77     0.63     0.38    -0.15     0.18   199.26  1024.64
    14.00 -1000.00     0.00    -0.21    -0.61    -0.40     1.27     3.88    11.15     1.46    -1.77     0.13     0.38    -0.20     0.18  1824.76  1024.64
    14.00     0.00  1000.00    -0.61    -1.03    -1.27     2.33    11.15    18.64     1.77    -2.08     0.38     0.63    -0.18     0.15  1024.64   199.26
    14.00     0.00 -1000.00    -0.61    -0.21    -1.27     0.40    11.15     3.88     1.77    -1.46     0.38     0.13    -0.18     0.20  1024.64  1824.76
    16.00  1000.00     0.00    -1.12    -0.70    -2.59     1.49    20.36    12.78     2.15    -1.83     0.69     0.44    -0.14     0.17   230.41  1065.63
    16.00 -1000.00     0.00    -0.29    -0.70    -0.58     1.49     5.47    12.78     1.53    -1.83     0.19     0.44    -0.19     0.17  1869.78  1065.63
    16.00     0.00  1000.00    -0.70    -1.12    -1.49     2.59    12.78    20.36     1.83    -2.15     0.44     0.69    -0.17     0.14  1065.63   230.41
    16.00     0.00 -1000.00    -0.70    -0.29    -1.49     0.58    12.78     5.47     1.83    -1.53     0.44     0.19    -0.17     0.19  1065.63  1869.78
    18.00  1000.00     0.00    -1.22    -0.79    -2.87     1.71    22.11    14.42     2.23    -1.90     0.75     0.49    -0.13     0.17   257.47  1105.12
    18.00 -1000.00     0.00    -0.38    -0.79    -0.76     1.71     7.07    14.42     1.60    -1.90     0.24     0.49    -0.19     0.17  1914.13  1105.12
    18.00     0.00  1000.00    -0.79    -1.22    -1.71     2.87    14.42    22.11     1.90    -2.23     0.49     0.75    -0.17     0.13  1105.12   257.47
    18.00     0.00 -1000.00    -0.79    -0.38    -1.71     0.76    14.42     7.07     1.90    -1.60     0.49     0.24    -0.17     0.19  1105.12  1914.13
    20.00  1000.00     0.00    -1.32    -0.88    -3.17     1.95    23.91    16.07     2.30    -1.97     0.81     0.55    -0.12     0.16   278.97  1142.80
    20.00 -1000.00     0.00    -0.47    -0.88    -0.96     1.95     8.67    16.07     1.66    -1.97     0.30     0.55    -0.19     0.16  1957.67  1142.80
    20.00     0.00  1000.00    -0.88    -1.32    -1.95     3.17    16.07    23.91     1.97    -2.30     0.55     0.81    -0.16     0.12  1142.80   278.97
    20.00     0.00 -1000.00    -0.88    -0.47    -1.95     0.96    16.07     8.67     1.97    -1.66     0.55     0.30    -0.16     0.19  1142.80  1957.67
    22.00  1000.00     0.00    -1.43    -0.97    -3.49     2.19    25.78    17.74     2.38    -2.04     0.87     0.61    -0.11     0.15   292.45  1178.24
    22.00 -1000.00     0.00    -0.56    -0.97    -1.16     2.19    10.28    17.74     1.73    -2.04     0.35     0.61    -0.18     0.15  2000.26  1178.24
    22.00     0.00  1000.00    -0.97    -1.43    -2.19     3.49    17.74    25.78     2.04    -2.38     0.61     0.87    -0.15     0.11  1178.24   292.45
    22.00     0.00 -1000.00    -0.97    -0.56    -2.19     1.16    17.74    10.28     2.04    -1.73     0.61     0.35    -0.15     0.18  1178.24  2000.26
    24.00  1000.00     0.00    -1.55    -1.07    -3.84     2.45    27.77    19.44     2.46    -2.12     0.94     0.66    -0.10     0.15   293.02  1210.91
    24.00 -1000.00     0.00    -0.65    -1.07    -1.37     2.45    11.90    19.44     1.80    -2.12     0.41     0.66    -0.18     0.15  2041.71  1210.91
    24.00     0.00  1000.00    -1.07    -1.55    -2.45     3.84    19.44    27.77     2.12    -2.46     0.66     0.94    -0.15     0.10  1210.91   293.02
    24.00     0.00 -1000.00    -1.07    -0.65    -2.45     1.37    19.44    11.90     2.12    -1.80     0.66     0.41    -0.15     0.18  1210.91  2041.71
    26.00  1000.00     0.00    -1.68    -1.17    -4.24     2.72    29.99    21.18     2.55    -2.19     1.02     0.72    -0.09     0.14   267.74  1240.01
    26.00 -1000.00     0.00    -0.74    -1.17    -1.59     2.72    13.54    21.18     1.87    -2.19     0.47     0.72    -0.17     0.14  2081.80  1240.01
    26.00     0.00  1000.00    -1.17    -1.68    -2.72     4.24    21.18    29.99     2.19    -2.55     0.72     1.02    -0.14     0.09  1240.01   267.74
    26.00     0.00 -1000.00    -1.17    -0.74    -2.72     1.59    21.18    13.54     2.19    -1.87     0.72     0.47    -0.14     0.17  1240.01  2081.80
    -2.00  1000.00     0.00    -0.55     0.08    -1.14    -0.15    10.13    -1.57     1.72    -1.23     0.34    -0.05    -0.18     0.20     0.00   665.16
    -2.00 -1000.00     0.00     0.46     0.08     0.74    -0.15    -8.72    -1.57     0.94    -1.23    -0.30    -0.05    -0.20     0.20  1450.47   665.16
    -2.00     0.00  1000.00     0.08    -0.55     0.15     1.14    -1.57    10.13     1.23    -1.72    -0.05     0.34    -0.20     0.18   665.16     0.00
    -2.00     0.00 -1000.00     0.08     0.46     0.15    -0.74    -1.57    -8.72     1.23    -0.94    -0.05    -0.30    -0.20     0.20   665.16  1450.47
    -4.00  1000.00     0.00    -0.55     0.17    -1.14    -0.29    10.13    -3.15     1.72    -1.17     0.34    -0.11    -0.18     0.20     0.00   618.02
    -4.00 -1000.00     0.00     0.54     0.17     0.85    -0.29   -10.29    -3.15     0.87    -1.17    -0.35    -0.11    -0.20     0.20  1402.82   618.02
    -4.00     0.00  1000.00     0.17    -0.55     0.29     1.14    -3.15    10.13     1.17    -1.72    -0.11     0.34    -0.20     0.18   618.02     0.00
    -4.00     0.00 -1000.00     0.17     0.54     0.29    -0.85    -3.15   -10.29     1.17    -0.87    -0.11    -0.35    -0.20     0.20   618.02  1402.82
    -6.00  1000.00     0.00    -0.55     0.25    -1.14    -0.43    10.13    -4.72     1.72    -1.10     0.34    -0.16    -0.18     0.20     0.00   570.63
    -6.00 -1000.00     0.00     0.63     0.25     0.96    -0.43   -11.85    -4.72     0.81    -1.10    -0.41    -0.16    -0.20     0.20  1355.13   570.63
    -6.00     0.00  1000.00     0.25    -0.55     0.43     1.14    -4.72    10.13     1.10    -1.72    -0.16     0.34    -0.20     0.18   570.63     0.00
    -6.00     0.00 -1000.00     0.25     0.63     0.43    -0.96    -4.72   -11.85     1.10    -0.81    -0.16    -0.41    -0.20     0.20   570.63  1355.13
    -8.00  1000.00     0.00    -0.55     0.34    -1.14    -0.56    10.13    -6.28     1.72    -1.04     0.34    -0.21    -0.18     0.20     0.00   523.06
    -8.00 -1000.00     0.00     0.71     0.34     1.05    -0.56   -13.42    -6.28     0.74    -1.04    -0.46    -0.21    -0.20     0.20  1307.42   523.06
    -8.00     0.00  1000.00     0.34    -0.55     0.56     1.14    -6.28    10.13     1.04    -1.72    -0.21     0.34    -0.20     0.18   523.06     0.00
    -8.00     0.00 -1000.00     0.34     0.71     0.56    -1.05    -6.28   -13.42     1.04    -0.74    -0.21    -0.46    -0.20     0.20   523.06  1307.42
   -10.00  1000.00     0.00    -0.55     0.42    -1.14    -0.68    10.13    -7.85     1.72    -0.97     0.34    -0.27    -0.18     0.20     0.00   475.34
   -10.00 -1000.00     0.00     0.79     0.42     1.14    -0.68   -14.99    -7.85     0.68    -0.97    -0.51    -0.27    -0.19     0.20  1259.73   475.34
   -10.00     0.00  1000.00     0.42    -0.55     0.68     1.14    -7.85    10.13     0.97    -1.72    -0.27     0.34    -0.20     0.18   475.34     0.00
   -10.00     0.00 -1000.00     0.42     0.79     0.68    -1.14    -7.85   -14.99     0.97    -0.68    -0.27    -0.51    -0.20     0.19   475.34  1259.73
   -12.00  1000.00     0.00    -0.55     0.50    -1.14    -0.79    10.13    -9.42     1.72    -0.91     0.34    -0.32    -0.18     0.20     0.00   427.52
   -12.00 -1000.00     0.00     0.87     0.50     1.22    -0.79   -16.56    -9.42     0.61    -0.91    -0.57    -0.32    -0.19     0.20  1212.08   427.52
   -12.00     0.00  1000.00     0.50    -0.55     0.79     1.14    -9.42    10.13     0.91    -1.72    -0.32     0.34    -0.20     0.18   427.52     0.00
   -12.00     0.00 -1000.00     0.50     0.87     0.79    -1.22    -9.42   -16.56     0.91    -0.61    -0.32    -0.57    -0.20     0.19   427.52  1212.08
   -14.00  1000.00     0.00    -0.55     0.58    -1.14    -0.90    10.13   -10.98     1.72    -0.84     0.34    -0.37    -0.18     0.20     0.00   379.63
   -14.00 -1000.00     0.00     0.95     0.58     1.30    -0.90   -18.13   -10.98     0.55    -0.84    -0.62    -0.37    -0.19     0.20  1164.49   379.63
   -14.00     0.00  1000.00     0.58    -0.55     0.90     1.14   -10.98    10.13     0.84    -1.72    -0.37     0.34    -0.20     0.18   379.63     0.00
   -14.00     0.00 -1000.00     0.58     0.95     0.90    -1.30   -10.98   -18.13     0.84    -0.55    -0.37    -0.62    -0.20     0.19   379.63  1164.49
   -16.00  1000.00     0.00    -0.55     0.67    -1.14    -1.00    10.13   -12.55     1.72    -0.78     0.34    -0.43    -0.18     0.20     0.00   331.71
   -16.00 -1000.00     0.00     1.03     0.67     1.37    -1.00   -19.70   -12.55     0.48    -0.78    -0.68    -0.43    -0.19     0.20  1117.00   331.71
   -16.00     0.00  1000.00     0.67    -0.55     1.00     1.14   -12.55    10.13     0.78    -1.72    -0.43     0.34    -0.20     0.18   331.71     0.00
   -16.00     0.00 -1000.00     0.67     1.03     1.00    -1.37   -12.55   -19.70     0.78    -0.48    -0.43    -0.68    -0.20     0.19   331.71  1117.00
   -18.00  1000.00     0.00    -0.55     0.75    -1.14    -1.09    10.13   -14.12     1.72    -0.72     0.34    -0.48    -0.18     0.20     0.00   283.80
   -18.00 -1000.00     0.00     1.11     0.75     1.43    -1.09   -21.27   -14.12     0.42    -0.72    -0.73    -0.48    -0.18     0.20  1069.61   283.80
   -18.00     0.00  1000.00     0.75    -0.55     1.09     1.14   -14.12    10.13     0.72    -1.72    -0.48     0.34    -0.20     0.18   283.80     0.00
   -18.00     0.00 -1000.00     0.75     1.11     1.09    -1.43   -14.12   -21.27     0.72    -0.42    -0.48    -0.73    -0.20     0.18   283.80  1069.61
   -20.00  1000.00     0.00    -0.55     0.83    -1.14    -1.18    10.13   -15.68     1.72    -0.65     0.34    -0.53    -0.18     0.20     0.00   235.91
   -20.00 -1000.00     0.00     1.20     0.83     1.48    -1.18   -22.85   -15.68     0.35    -0.65    -0.78    -0.53    -0.18     0.20  1022.35   235.91
   -20.00     0.00  1000.00     0.83    -0.55     1.18     1.14   -15.68    10.13     0.65    -1.72    -0.53     0.34    -0.20     0.18   235.91     0.00
   -20.00     0.00 -1000.00     0.83     1.20     1.18    -1.48   -15.68   -22.85     0.65    -0.35    -0.53    -0.78    -0.20     0.18   235.91  1022.35
   -22.00  1000.00     0.00    -0.55     0.91    -1.14    -1.26    10.13   -17.25     1.72    -0.59     0.34    -0.59    -0.18     0.20     0.00   188.07
   -22.00 -1000.00     0.00     1.28     0.91     1.53    -1.26   -24.42   -17.25     0.29    -0.59    -0.84    -0.59    -0.17     0.20   975.24   188.07
   -22.00     0.00  1000.00     0.91    -0.55     1.26     1.14   -17.25    10.13     0.59    -1.72    -0.59     0.34    -0.20     0.18   188.07     0.00
   -22.00     0.00 -1000.00     0.91     1.28     1.26    -1.53   -17.25   -24.42     0.59    -0.29    -0.59    -0.84    -0.20     0.17   188.07   975.24
   -24.00  1000.00     0.00    -0.55     0.99    -1.14    -1.33    10.13   -18.82     1.72    -0.52     0.34    -0.64    -0.18     0.19     0.00   140.31
   -24.00 -1000.00     0.00     1.36     0.99     1.57    -1.33   -26.00   -18.82     0.22    -0.52    -0.89    -0.64    -0.17     0.19   928.30   140.31
   -24.00     0.00  1000.00     0.99    -0.55     1.33     1.14   -18.82    10.13     0.52    -1.72    -0.64     0.34    -0.19     0.18   140.31     0.00
   -24.00     0.00 -1000.00     0.99     1.36     1.33    -1.57   -18.82   -26.00     0.52    -0.22    -0.64    -0.89    -0.19     0.17   140.31   928.30
   -26.00  1000.00     0.00    -0.55     1.07    -1.14    -1.39    10.13   -20.39     1.72    -0.46     0.34    -0.69    -0.18     0.19     0.00    92.64
   -26.00 -1000.00     0.00     1.44     1.07     1.60    -1.39   -27.58   -20.39     0.16    -0.46    -0.94    -0.69    -0.16     0.19   881.54    92.64
   -26.00     0.00  1000.00     1.07    -0.55     1.39     1.14   -20.39    10.13     0.46    -1.72    -0.69     0.34    -0.19     0.18    92.64     0.00
   -26.00     0.00 -1000.00     1.07     1.44     1.39    -1.60   -20.39   -27.58     0.46    -0.16    -0.69    -0.94    -0.19     0.16    92.64   881.54
   -28.00  1000.00     0.00    -0.55     1.15    -1.14    -1.45    10.13   -21.96     1.72    -0.39     0.34    -0.75    -0.18     0.19     0.00    45.10
   -28.00 -1000.00     0.00     1.52     1.15     1.62    -1.45   -29.16   -21.96     0.10    -0.39    -1.00    -0.75    -0.16     0.19   834.97    45.10
   -28.00     0.00  1000.00     1.15    -0.55     1.45     1.14   -21.96    10.13     0.39    -1.72    -0.75     0.34    -0.19     0.18    45.10     0.00
   -28.00     0.00 -1000.00     1.15     1.52     1.45    -1.62   -21.96   -29.16     0.39    -0.10    -0.75    -1.00    -0.19     0.16    45.10   834.97
   -30.00  1000.00     0.00    -0.55     1.23    -1.14    -1.50    10.13   -23.46     1.72    -0.33     0.34    -0.80    -0.18     0.18     0.00     0.00
   -30.00 -1000.00     0.00     1.60     1.23     1.64    -1.50   -30.75   -23.46     0.03    -0.33    -1.05    -0.80    -0.15     0.18   788.62     0.00
   -30.00     0.00  1000.00     1.23    -0.55     1.50     1.14   -23.46    10.13     0.33    -1.72    -0.80     0.34    -0.18     0.18     0.00     0.00
   -30.00     0.00 -1000.00     1.23     1.60     1.50    -1.64   -23.46   -30.75     0.33    -0.03    -0.80    -1.05    -0.18     0.15     0.00   788.62
