
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics                                             FSE06 front suspension                              

   WhlTra  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     0.00    -2.00    -1.94    -2.22    -1.67    26.97    -0.08    -2.15    -0.07    -0.28     0.21   412.85    83.29    90.92    90.72
     0.00    -4.00    -4.01    -4.32    -1.82    26.97    -0.31    -4.07    -0.25    -0.31     0.06   125.58    85.35    44.10    43.84
     0.00    -6.00    -6.07    -6.44    -1.98    26.98    -0.71    -5.91    -0.53    -0.37    -0.17    68.62    87.41    29.17    28.85
     0.00    -8.00    -8.13    -8.58    -2.12    26.99    -1.26    -7.66    -0.92    -0.44    -0.47    48.35    89.47    21.83    21.46
     0.00   -10.00   -10.19   -10.74    -2.26    27.00    -1.97    -9.34    -1.40    -0.55    -0.85    39.07    91.55    17.46    17.03
     0.00   -12.00   -12.25   -12.93    -2.40    27.01    -2.85   -10.96    -1.96    -0.67    -1.29    34.23    93.63    14.57    14.08
     0.00   -14.00   -14.32   -15.15    -2.52    27.02    -3.88   -12.53    -2.61    -0.82    -1.79    31.54    95.73    12.50    11.96
     0.00   -16.00   -16.40   -17.40    -2.64    27.03    -5.07   -14.06    -3.35    -1.00    -2.34    30.02    97.84    10.96    10.37
     0.00   -18.00   -18.49   -19.70    -2.76    27.04    -6.43   -15.54    -4.16    -1.21    -2.94    29.22    99.97     9.77     9.11
     0.00   -20.00   -20.59   -22.05    -2.86    27.05    -7.96   -17.00    -5.05    -1.46    -3.59    28.89   102.13     8.81     8.10
     0.00   -22.00   -22.71   -24.45    -2.96    27.06    -9.66   -18.44    -6.01    -1.74    -4.27    28.90   104.31     8.03     7.26
     0.00   -24.00   -24.85   -26.91    -3.06    27.07   -11.52   -19.85    -7.05    -2.06    -5.00    29.16   106.52     7.38     7.85
     2.00     0.00     0.13    -0.13    -1.55    26.96     0.16    -0.13     0.00    -0.27     0.27 ********    81.21 ******** ********
     2.00     2.00     2.22     1.94    -1.38    26.95     0.08     2.15     0.07     0.28    -0.21   414.65    79.15    90.97    90.77
     2.00     4.00     4.32     4.01    -1.20    26.94    -0.16     4.07     0.25     0.31    -0.06   126.10    77.08    44.11    43.85
     2.00     6.00     6.44     6.07    -1.01    26.93    -0.55     5.90     0.53     0.37     0.17    68.87    75.00    29.18    28.86
     2.00     8.00     8.57     8.13    -0.82    26.93    -1.11     7.66     0.92     0.44     0.47    48.50    72.91    21.83    21.46
     2.00    10.00    10.74    10.19    -0.61    26.92    -1.82     9.34     1.40     0.55     0.85    39.17    70.80    17.47    17.04
     2.00    12.00    12.92    12.25    -0.40    26.91    -2.70    10.96     1.96     0.67     1.29    34.30    68.68    14.57    14.08
     2.00    14.00    15.14    14.32    -0.19    26.90    -3.74    12.53     2.61     0.83     1.79    31.59    66.53    12.51    11.97
     2.00    16.00    17.40    16.39     0.04    26.90    -4.94    14.06     3.34     1.01     2.34    30.06    64.35    10.97    10.37
     2.00    18.00    19.70    18.48     0.27    26.89    -6.31    15.54     4.16     1.22     2.94    29.26    62.15     9.77     9.12
     2.00    20.00    22.04    20.58     0.52    26.88    -7.84    17.00     5.04     1.46     3.59    28.92    59.91     8.81     8.10
     2.00    22.00    24.44    22.70     0.77    26.88    -9.55    18.43     6.01     1.74     4.27    28.93    57.62     8.03     7.26
     2.00    24.00    26.90    24.85     1.03    26.87   -11.42    19.85     7.05     2.06     4.99    29.18    55.29     7.38     7.84
     2.00     0.00     0.13    -0.13    -1.55    26.96     0.16    -0.13     0.00    -0.27     0.27 ********    81.21 ******** ********
     2.00    -2.00    -1.94    -2.22    -1.72    26.97     0.08    -2.15    -0.07    -0.28     0.21   414.65    83.27    90.97    90.77
     2.00    -4.00    -4.01    -4.32    -1.87    26.98    -0.16    -4.07    -0.25    -0.31     0.06   126.10    85.33    44.11    43.85
     2.00    -6.00    -6.07    -6.44    -2.03    26.98    -0.55    -5.90    -0.53    -0.37    -0.17    68.87    87.39    29.18    28.86
     2.00    -8.00    -8.13    -8.57    -2.17    26.99    -1.11    -7.66    -0.92    -0.44    -0.47    48.50    89.46    21.83    21.46
     2.00   -10.00   -10.19   -10.74    -2.31    27.00    -1.82    -9.34    -1.40    -0.55    -0.85    39.17    91.53    17.47    17.04
     2.00   -12.00   -12.25   -12.92    -2.45    27.01    -2.70   -10.96    -1.96    -0.67    -1.29    34.30    93.62    14.57    14.08
     2.00   -14.00   -14.32   -15.14    -2.58    27.02    -3.74   -12.53    -2.61    -0.83    -1.79    31.59    95.71    12.51    11.97
     2.00   -16.00   -16.39   -17.40    -2.70    27.03    -4.94   -14.06    -3.34    -1.01    -2.34    30.06    97.83    10.97    10.37
     2.00   -18.00   -18.48   -19.70    -2.81    27.04    -6.31   -15.54    -4.16    -1.22    -2.94    29.26    99.96     9.77     9.12
     2.00   -20.00   -20.58   -22.04    -2.92    27.05    -7.84   -17.00    -5.04    -1.46    -3.59    28.92   102.11     8.81     8.10
     2.00   -22.00   -22.70   -24.44    -3.02    27.06    -9.55   -18.43    -6.01    -1.74    -4.27    28.93   104.29     8.03     7.26
     2.00   -24.00   -24.85   -26.90    -3.11    27.07   -11.42   -19.85    -7.05    -2.06    -4.99    29.18   106.50     7.38     7.84
     4.00     0.00     0.13    -0.13    -1.60    26.96     0.31    -0.13     0.00    -0.27     0.27 ********    81.20 ******** ********
     4.00     2.00     2.22     1.94    -1.42    26.95     0.23     2.15     0.07     0.28    -0.21   416.23    79.13    91.02    90.82
     4.00     4.00     4.32     4.01    -1.24    26.94    -0.01     4.07     0.25     0.31    -0.07   126.55    77.06    44.13    43.87
     4.00     6.00     6.44     6.07    -1.06    26.94    -0.40     5.90     0.53     0.37     0.16    69.08    74.98    29.19    28.87
     4.00     8.00     8.57     8.13    -0.86    26.93    -0.96     7.66     0.92     0.45     0.47    48.62    72.89    21.84    21.47
     4.00    10.00    10.73    10.19    -0.66    26.92    -1.68     9.34     1.39     0.55     0.85    39.25    70.79    17.47    17.04
     4.00    12.00    12.92    12.25    -0.45    26.91    -2.56    10.96     1.96     0.67     1.29    34.36    68.66    14.57    14.09
     4.00    14.00    15.14    14.31    -0.23    26.90    -3.61    12.53     2.61     0.83     1.79    31.63    66.51    12.51    11.97
     4.00    16.00    17.40    16.39     0.00    26.90    -4.82    14.05     3.34     1.01     2.34    30.10    64.34    10.97    10.37
     4.00    18.00    19.69    18.48     0.23    26.89    -6.19    15.54     4.15     1.22     2.94    29.28    62.14     9.77     9.12
     4.00    20.00    22.04    20.58     0.48    26.88    -7.73    17.00     5.04     1.46     3.58    28.95    59.89     8.82     8.10
     4.00    22.00    24.44    22.70     0.73    26.88    -9.45    18.43     6.01     1.74     4.27    28.95    57.61     8.04     7.27
     4.00    24.00    26.90    24.84     1.00    26.87   -11.33    19.85     7.05     2.06     4.99    29.20    55.28     7.39     7.84
     4.00     0.00     0.13    -0.13    -1.60    26.96     0.31    -0.13     0.00    -0.27     0.27 ********    81.20 ******** ********
     4.00    -2.00    -1.94    -2.22    -1.77    26.97     0.23    -2.15    -0.07    -0.28     0.21   416.23    83.26    91.02    90.82
     4.00    -4.00    -4.01    -4.32    -1.93    26.98    -0.01    -4.07    -0.25    -0.31     0.07   126.55    85.32    44.13    43.87
     4.00    -6.00    -6.07    -6.44    -2.08    26.99    -0.40    -5.90    -0.53    -0.37    -0.16    69.08    87.38    29.19    28.87
     4.00    -8.00    -8.13    -8.57    -2.23    26.99    -0.96    -7.66    -0.92    -0.45    -0.47    48.62    89.45    21.84    21.47
     4.00   -10.00   -10.19   -10.73    -2.37    27.00    -1.68    -9.34    -1.39    -0.55    -0.85    39.25    91.52    17.47    17.04
     4.00   -12.00   -12.25   -12.92    -2.50    27.01    -2.56   -10.96    -1.96    -0.67    -1.29    34.36    93.60    14.57    14.09
     4.00   -14.00   -14.31   -15.14    -2.63    27.02    -3.61   -12.53    -2.61    -0.83    -1.79    31.63    95.70    12.51    11.97
     4.00   -16.00   -16.39   -17.40    -2.75    27.03    -4.82   -14.05    -3.34    -1.01    -2.34    30.10    97.81    10.97    10.37
     4.00   -18.00   -18.48   -19.69    -2.87    27.04    -6.19   -15.54    -4.15    -1.22    -2.94    29.28    99.94     9.77     9.12
     4.00   -20.00   -20.58   -22.04    -2.97    27.05    -7.73   -17.00    -5.04    -1.46    -3.58    28.95   102.10     8.82     8.10
     4.00   -22.00   -22.70   -24.44    -3.07    27.06    -9.45   -18.43    -6.01    -1.74    -4.27    28.95   104.28     8.04     7.27
     4.00   -24.00   -24.84   -26.90    -3.17    27.08   -11.33   -19.85    -7.05    -2.06    -4.99    29.20   106.48     7.39     7.84
     6.00     0.00     0.14    -0.14    -1.65    26.96     0.46    -0.13     0.00    -0.27     0.27 ********    81.18 ******** ********
     6.00     2.00     2.22     1.94    -1.47    26.95     0.38     2.15     0.07     0.28    -0.21   417.59    79.12    91.06    90.86
     6.00     4.00     4.32     4.01    -1.29    26.95     0.14     4.07     0.25     0.31    -0.07   126.94    77.05    44.14    43.88
     6.00     6.00     6.44     6.07    -1.10    26.94    -0.26     5.90     0.53     0.37     0.16    69.26    74.97    29.20    28.88
     6.00     8.00     8.57     8.13    -0.91    26.93    -0.82     7.66     0.92     0.45     0.47    48.73    72.88    21.85    21.47
     6.00    10.00    10.73    10.18    -0.70    26.92    -1.55     9.34     1.39     0.55     0.85    39.32    70.77    17.47    17.05
     6.00    12.00    12.92    12.24    -0.49    26.91    -2.43    10.96     1.96     0.67     1.29    34.41    68.65    14.58    14.09
     6.00    14.00    15.14    14.31    -0.27    26.91    -3.48    12.53     2.61     0.83     1.78    31.67    66.50    12.51    11.97
     6.00    16.00    17.39    16.39    -0.04    26.90    -4.70    14.05     3.34     1.01     2.34    30.13    64.33    10.97    10.37
     6.00    18.00    19.69    18.47     0.19    26.89    -6.08    15.54     4.15     1.22     2.94    29.31    62.12     9.77     9.12
     6.00    20.00    22.03    20.57     0.44    26.88    -7.63    16.99     5.04     1.46     3.58    28.97    59.88     8.82     8.11
     6.00    22.00    24.43    22.69     0.70    26.88    -9.35    18.43     6.01     1.74     4.27    28.96    57.60     8.04     7.27
     6.00    24.00    26.89    24.83     0.96    26.87   -11.25    19.84     7.05     2.06     4.99    29.22    55.26     7.39     7.84
     6.00     0.00     0.14    -0.14    -1.65    26.96     0.46    -0.13     0.00    -0.27     0.27 ********    81.18 ******** ********
     6.00    -2.00    -1.94    -2.22    -1.82    26.97     0.38    -2.15    -0.07    -0.28     0.21   417.59    83.24    91.06    90.86
     6.00    -4.00    -4.01    -4.32    -1.98    26.98     0.14    -4.07    -0.25    -0.31     0.07   126.94    85.30    44.14    43.88
     6.00    -6.00    -6.07    -6.44    -2.13    26.99    -0.26    -5.90    -0.53    -0.37    -0.16    69.26    87.36    29.20    28.88
     6.00    -8.00    -8.13    -8.57    -2.28    27.00    -0.82    -7.66    -0.92    -0.45    -0.47    48.73    89.43    21.85    21.47
     6.00   -10.00   -10.18   -10.73    -2.42    27.01    -1.55    -9.34    -1.39    -0.55    -0.85    39.32    91.50    17.47    17.05
     6.00   -12.00   -12.24   -12.92    -2.56    27.02    -2.43   -10.96    -1.96    -0.67    -1.29    34.41    93.59    14.58    14.09
     6.00   -14.00   -14.31   -15.14    -2.69    27.03    -3.48   -12.53    -2.61    -0.83    -1.78    31.67    95.68    12.51    11.97
     6.00   -16.00   -16.39   -17.39    -2.81    27.04    -4.70   -14.05    -3.34    -1.01    -2.34    30.13    97.80    10.97    10.37
     6.00   -18.00   -18.47   -19.69    -2.92    27.05    -6.08   -15.54    -4.15    -1.22    -2.94    29.31    99.93     9.77     9.12
     6.00   -20.00   -20.57   -22.03    -3.03    27.06    -7.63   -16.99    -5.04    -1.46    -3.58    28.97   102.08     8.82     8.11
     6.00   -22.00   -22.69   -24.43    -3.13    27.07    -9.35   -18.43    -6.01    -1.74    -4.27    28.96   104.26     8.04     7.27
     6.00   -24.00   -24.83   -26.89    -3.23    27.08   -11.25   -19.84    -7.05    -2.06    -4.99    29.22   106.47     7.39     7.84
     8.00     0.00     0.14    -0.14    -1.70    26.96     0.60    -0.14     0.00    -0.27     0.27 ********    81.17 ******** ********
     8.00     2.00     2.22     1.94    -1.53    26.95     0.52     2.15     0.07     0.28    -0.21   418.75    79.11    91.10    90.90
     8.00     4.00     4.32     4.00    -1.34    26.95     0.28     4.07     0.25     0.31    -0.07   127.28    77.04    44.16    43.90
     8.00     6.00     6.43     6.07    -1.15    26.94    -0.12     5.90     0.53     0.37     0.16    69.42    74.96    29.20    28.89
     8.00     8.00     8.57     8.12    -0.96    26.93    -0.69     7.65     0.92     0.45     0.47    48.82    72.87    21.85    21.48
     8.00    10.00    10.73    10.18    -0.75    26.92    -1.42     9.34     1.39     0.55     0.85    39.38    70.76    17.48    17.05
     8.00    12.00    12.92    12.24    -0.54    26.91    -2.31    10.96     1.96     0.68     1.28    34.45    68.64    14.58    14.10
     8.00    14.00    15.14    14.31    -0.32    26.91    -3.36    12.52     2.61     0.83     1.78    31.70    66.49    12.52    11.98
     8.00    16.00    17.39    16.38    -0.09    26.90    -4.58    14.05     3.34     1.01     2.33    30.15    64.31    10.97    10.38
     8.00    18.00    19.69    18.47     0.15    26.89    -5.97    15.53     4.15     1.22     2.93    29.33    62.11     9.78     9.12
     8.00    20.00    22.03    20.57     0.40    26.88    -7.53    16.99     5.04     1.46     3.58    28.98    59.87     8.82     8.11
     8.00    22.00    24.43    22.69     0.66    26.88    -9.26    18.42     6.01     1.74     4.26    28.98    57.58     8.04     7.27
     8.00    24.00    26.89    24.83     0.93    26.87   -11.17    19.84     7.05     2.06     4.99    29.23    55.25     7.39     7.84
     8.00     0.00     0.14    -0.14    -1.70    26.96     0.60    -0.14     0.00    -0.27     0.27 ********    81.17 ******** ********
     8.00    -2.00    -1.94    -2.22    -1.87    26.97     0.52    -2.15    -0.07    -0.28     0.21   418.75    83.23    91.10    90.90
     8.00    -4.00    -4.00    -4.32    -2.03    26.98     0.28    -4.07    -0.25    -0.31     0.07   127.28    85.29    44.16    43.90
     8.00    -6.00    -6.07    -6.43    -2.19    26.99    -0.12    -5.90    -0.53    -0.37    -0.16    69.42    87.35    29.20    28.89
     8.00    -8.00    -8.12    -8.57    -2.34    27.00    -0.69    -7.65    -0.92    -0.45    -0.47    48.82    89.42    21.85    21.48
     8.00   -10.00   -10.18   -10.73    -2.48    27.01    -1.42    -9.34    -1.39    -0.55    -0.85    39.38    91.49    17.48    17.05
     8.00   -12.00   -12.24   -12.92    -2.61    27.02    -2.31   -10.96    -1.96    -0.68    -1.28    34.45    93.57    14.58    14.10
     8.00   -14.00   -14.31   -15.14    -2.74    27.03    -3.36   -12.52    -2.61    -0.83    -1.78    31.70    95.67    12.52    11.98
     8.00   -16.00   -16.38   -17.39    -2.86    27.04    -4.58   -14.05    -3.34    -1.01    -2.33    30.15    97.78    10.97    10.38
     8.00   -18.00   -18.47   -19.69    -2.98    27.05    -5.97   -15.53    -4.15    -1.22    -2.93    29.33    99.91     9.78     9.12
     8.00   -20.00   -20.57   -22.03    -3.09    27.06    -7.53   -16.99    -5.04    -1.46    -3.58    28.98   102.06     8.82     8.11
     8.00   -22.00   -22.69   -24.43    -3.19    27.07    -9.26   -18.42    -6.01    -1.74    -4.26    28.98   104.24     8.04     7.27
     8.00   -24.00   -24.83   -26.89    -3.28    27.08   -11.17   -19.84    -7.05    -2.06    -4.99    29.23   106.45     7.39     7.84
    10.00     0.00     0.14    -0.14    -1.75    26.97     0.73    -0.14     0.00    -0.27     0.27 ********    81.16 ******** ********
    10.00     2.00     2.22     1.94    -1.58    26.96     0.65     2.15     0.07     0.28    -0.22   419.72    79.09    91.14    90.94
    10.00     4.00     4.32     4.00    -1.39    26.95     0.41     4.07     0.25     0.32    -0.07   127.55    77.02    44.17    43.91
    10.00     6.00     6.43     6.06    -1.20    26.94     0.00     5.90     0.53     0.37     0.16    69.55    74.94    29.21    28.90
    10.00     8.00     8.57     8.12    -1.01    26.93    -0.56     7.65     0.92     0.45     0.47    48.89    72.85    21.86    21.49
    10.00    10.00    10.73    10.18    -0.80    26.92    -1.29     9.33     1.39     0.55     0.84    39.43    70.75    17.48    17.05
    10.00    12.00    12.91    12.24    -0.58    26.91    -2.19    10.95     1.96     0.68     1.28    34.48    68.62    14.58    14.10
    10.00    14.00    15.13    14.30    -0.36    26.91    -3.25    12.52     2.61     0.83     1.78    31.72    66.48    12.52    11.98
    10.00    16.00    17.39    16.38    -0.13    26.90    -4.48    14.05     3.34     1.01     2.33    30.17    64.30    10.98    10.38
    10.00    18.00    19.68    18.46     0.11    26.89    -5.88    15.53     4.15     1.22     2.93    29.34    62.10     9.78     9.12
    10.00    20.00    22.02    20.56     0.36    26.88    -7.44    16.99     5.04     1.46     3.58    29.00    59.85     8.82     8.11
    10.00    22.00    24.42    22.68     0.62    26.88    -9.18    18.42     6.00     1.74     4.26    28.99    57.57     8.04     7.27
    10.00    24.00    26.88    24.82     0.89    26.87   -11.10    19.84     7.04     2.06     4.98    29.24    55.24     7.39     7.84
    10.00     0.00     0.14    -0.14    -1.75    26.97     0.73    -0.14     0.00    -0.27     0.27 ********    81.16 ******** ********
    10.00    -2.00    -1.94    -2.22    -1.92    26.97     0.65    -2.15    -0.07    -0.28     0.22   419.72    83.22    91.14    90.94
    10.00    -4.00    -4.00    -4.32    -2.09    26.98     0.41    -4.07    -0.25    -0.32     0.07   127.55    85.27    44.17    43.91
    10.00    -6.00    -6.06    -6.43    -2.24    26.99     0.00    -5.90    -0.53    -0.37    -0.16    69.55    87.34    29.21    28.90
    10.00    -8.00    -8.12    -8.57    -2.39    27.00    -0.56    -7.65    -0.92    -0.45    -0.47    48.89    89.40    21.86    21.49
    10.00   -10.00   -10.18   -10.73    -2.53    27.01    -1.29    -9.33    -1.39    -0.55    -0.84    39.43    91.47    17.48    17.05
    10.00   -12.00   -12.24   -12.91    -2.67    27.02    -2.19   -10.95    -1.96    -0.68    -1.28    34.48    93.56    14.58    14.10
    10.00   -14.00   -14.30   -15.13    -2.80    27.03    -3.25   -12.52    -2.61    -0.83    -1.78    31.72    95.65    12.52    11.98
    10.00   -16.00   -16.38   -17.39    -2.92    27.04    -4.48   -14.05    -3.34    -1.01    -2.33    30.17    97.77    10.98    10.38
    10.00   -18.00   -18.46   -19.68    -3.04    27.05    -5.88   -15.53    -4.15    -1.22    -2.93    29.34    99.90     9.78     9.12
    10.00   -20.00   -20.56   -22.02    -3.15    27.06    -7.44   -16.99    -5.04    -1.46    -3.58    29.00   102.05     8.82     8.11
    10.00   -22.00   -22.68   -24.42    -3.25    27.07    -9.18   -18.42    -6.00    -1.74    -4.26    28.99   104.23     8.04     7.27
    10.00   -24.00   -24.82   -26.88    -3.34    27.08   -11.10   -19.84    -7.04    -2.06    -4.98    29.24   106.43     7.39     7.84
    12.00     0.00     0.14    -0.14    -1.81    26.97     0.86    -0.14     0.00    -0.27     0.27 ********    81.14 ******** ********
    12.00     2.00     2.22     1.94    -1.63    26.96     0.78     2.15     0.07     0.28    -0.22   420.53    79.08    91.17    90.97
    12.00     4.00     4.32     4.00    -1.45    26.95     0.54     4.07     0.25     0.32    -0.07   127.78    77.01    44.18    43.92
    12.00     6.00     6.43     6.06    -1.25    26.94     0.13     5.90     0.53     0.37     0.16    69.66    74.93    29.22    28.90
    12.00     8.00     8.57     8.12    -1.06    26.93    -0.44     7.65     0.92     0.45     0.47    48.95    72.84    21.86    21.49
    12.00    10.00    10.73    10.18    -0.85    26.92    -1.18     9.33     1.39     0.55     0.84    39.47    70.73    17.49    17.06
    12.00    12.00    12.91    12.24    -0.63    26.92    -2.08    10.95     1.96     0.68     1.28    34.51    68.61    14.59    14.10
    12.00    14.00    15.13    14.30    -0.41    26.91    -3.15    12.52     2.61     0.83     1.78    31.74    66.46    12.52    11.98
    12.00    16.00    17.38    16.37    -0.18    26.90    -4.38    14.04     3.34     1.01     2.33    30.18    64.29    10.98    10.38
    12.00    18.00    19.68    18.46     0.07    26.89    -5.79    15.53     4.15     1.22     2.93    29.36    62.08     9.78     9.13
    12.00    20.00    22.02    20.56     0.32    26.88    -7.36    16.98     5.04     1.46     3.58    29.01    59.84     8.82     8.11
    12.00    22.00    24.42    22.68     0.58    26.88    -9.11    18.42     6.00     1.74     4.26    29.00    57.56     8.04     7.27
    12.00    24.00    26.87    24.81     0.85    26.87   -11.04    19.83     7.04     2.06     4.98    29.25    55.22     7.39     7.84
    12.00     0.00     0.14    -0.14    -1.81    26.97     0.86    -0.14     0.00    -0.27     0.27 ********    81.14 ******** ********
    12.00    -2.00    -1.94    -2.22    -1.98    26.98     0.78    -2.15    -0.07    -0.28     0.22   420.53    83.20    91.17    90.97
    12.00    -4.00    -4.00    -4.32    -2.14    26.98     0.54    -4.07    -0.25    -0.32     0.07   127.78    85.26    44.18    43.92
    12.00    -6.00    -6.06    -6.43    -2.30    26.99     0.13    -5.90    -0.53    -0.37    -0.16    69.66    87.32    29.22    28.90
    12.00    -8.00    -8.12    -8.57    -2.45    27.00    -0.44    -7.65    -0.92    -0.45    -0.47    48.95    89.39    21.86    21.49
    12.00   -10.00   -10.18   -10.73    -2.59    27.01    -1.18    -9.33    -1.39    -0.55    -0.84    39.47    91.46    17.49    17.06
    12.00   -12.00   -12.24   -12.91    -2.73    27.02    -2.08   -10.95    -1.96    -0.68    -1.28    34.51    93.54    14.59    14.10
    12.00   -14.00   -14.30   -15.13    -2.86    27.03    -3.15   -12.52    -2.61    -0.83    -1.78    31.74    95.64    12.52    11.98
    12.00   -16.00   -16.37   -17.38    -2.98    27.04    -4.38   -14.04    -3.34    -1.01    -2.33    30.18    97.75    10.98    10.38
    12.00   -18.00   -18.46   -19.68    -3.10    27.05    -5.79   -15.53    -4.15    -1.22    -2.93    29.36    99.88     9.78     9.13
    12.00   -20.00   -20.56   -22.02    -3.20    27.07    -7.36   -16.98    -5.04    -1.46    -3.58    29.01   102.03     8.82     8.11
    12.00   -22.00   -22.68   -24.42    -3.31    27.08    -9.11   -18.42    -6.00    -1.74    -4.26    29.00   104.21     8.04     7.27
    12.00   -24.00   -24.81   -26.87    -3.40    27.09   -11.04   -19.83    -7.04    -2.06    -4.98    29.25   106.42     7.39     7.84
    14.00     0.00     0.14    -0.14    -1.86    26.97     0.98    -0.14     0.00    -0.27     0.27 ********    81.13 ******** ********
    14.00     2.00     2.22     1.94    -1.68    26.96     0.90     2.15     0.07     0.28    -0.22   421.19    79.06    91.20    91.00
    14.00     4.00     4.32     4.00    -1.50    26.95     0.65     4.07     0.25     0.32    -0.07   127.97    77.00    44.20    43.94
    14.00     6.00     6.43     6.06    -1.31    26.94     0.24     5.90     0.53     0.37     0.16    69.74    74.92    29.23    28.91
    14.00     8.00     8.57     8.12    -1.11    26.93    -0.33     7.65     0.92     0.45     0.47    49.00    72.83    21.87    21.50
    14.00    10.00    10.72    10.17    -0.90    26.93    -1.07     9.33     1.39     0.55     0.84    39.50    70.72    17.49    17.06
    14.00    12.00    12.91    12.23    -0.68    26.92    -1.98    10.95     1.96     0.68     1.28    34.53    68.60    14.59    14.11
    14.00    14.00    15.13    14.30    -0.46    26.91    -3.05    12.52     2.61     0.83     1.78    31.76    66.45    12.53    11.99
    14.00    16.00    17.38    16.37    -0.22    26.90    -4.29    14.04     3.34     1.01     2.33    30.20    64.28    10.98    10.38
    14.00    18.00    19.67    18.46     0.02    26.89    -5.70    15.52     4.15     1.22     2.93    29.36    62.07     9.78     9.13
    14.00    20.00    22.01    20.55     0.27    26.88    -7.29    16.98     5.04     1.46     3.57    29.01    59.83     8.83     8.11
    14.00    22.00    24.41    22.67     0.54    26.88    -9.05    18.41     6.00     1.74     4.26    29.00    57.55     8.05     7.27
    14.00    24.00    26.87    24.81     0.81    26.87   -10.99    19.83     7.04     2.06     4.98    29.25    55.21     7.39     7.83
    14.00     0.00     0.14    -0.14    -1.86    26.97     0.98    -0.14     0.00    -0.27     0.27 ********    81.13 ******** ********
    14.00    -2.00    -1.94    -2.22    -2.03    26.98     0.90    -2.15    -0.07    -0.28     0.22   421.19    83.19    91.20    91.00
    14.00    -4.00    -4.00    -4.32    -2.20    26.99     0.65    -4.07    -0.25    -0.32     0.07   127.97    85.25    44.20    43.94
    14.00    -6.00    -6.06    -6.43    -2.35    27.00     0.24    -5.90    -0.53    -0.37    -0.16    69.74    87.31    29.23    28.91
    14.00    -8.00    -8.12    -8.57    -2.51    27.01    -0.33    -7.65    -0.92    -0.45    -0.47    49.00    89.37    21.87    21.50
    14.00   -10.00   -10.17   -10.72    -2.65    27.02    -1.07    -9.33    -1.39    -0.55    -0.84    39.50    91.44    17.49    17.06
    14.00   -12.00   -12.23   -12.91    -2.79    27.03    -1.98   -10.95    -1.96    -0.68    -1.28    34.53    93.53    14.59    14.11
    14.00   -14.00   -14.30   -15.13    -2.92    27.04    -3.05   -12.52    -2.61    -0.83    -1.78    31.76    95.62    12.53    11.99
    14.00   -16.00   -16.37   -17.38    -3.04    27.05    -4.29   -14.04    -3.34    -1.01    -2.33    30.20    97.73    10.98    10.38
    14.00   -18.00   -18.46   -19.67    -3.15    27.06    -5.70   -15.52    -4.15    -1.22    -2.93    29.36    99.86     9.78     9.13
