
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            FSE06 rear suspension                               

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    10.00     0.00 -1000.00    -0.43    -0.38    -0.87     0.72     7.93     7.07     1.63    -1.60     0.27     0.25    -0.19     0.20   939.12  1033.68
    12.00  1000.00     0.00    -0.46    -0.52    -0.90     1.06     8.64     9.54     1.66    -1.70     0.30     0.33    -0.19     0.18  1081.08   982.40
    12.00 -1000.00     0.00    -0.58    -0.52    -1.23     1.06    10.48     9.54     1.74    -1.70     0.35     0.33    -0.17     0.18   879.10   982.40
    12.00     0.00  1000.00    -0.52    -0.58    -1.06     1.23     9.54    10.48     1.70    -1.74     0.33     0.35    -0.18     0.17   982.40   879.10
    12.00     0.00 -1000.00    -0.52    -0.46    -1.06     0.90     9.54     8.64     1.70    -1.66     0.33     0.30    -0.18     0.19   982.40  1081.08
    14.00  1000.00     0.00    -0.55    -0.61    -1.10     1.27    10.22    11.15     1.73    -1.77     0.36     0.38    -0.19     0.18  1127.59  1024.64
    14.00 -1000.00     0.00    -0.67    -0.61    -1.45     1.27    12.13    11.15     1.81    -1.77     0.41     0.38    -0.17     0.18   916.75  1024.64
    14.00     0.00  1000.00    -0.61    -0.67    -1.27     1.45    11.15    12.13     1.77    -1.81     0.38     0.41    -0.18     0.17  1024.64   916.75
    14.00     0.00 -1000.00    -0.61    -0.55    -1.27     1.10    11.15    10.22     1.77    -1.73     0.38     0.36    -0.18     0.19  1024.64  1127.59
    16.00  1000.00     0.00    -0.64    -0.70    -1.31     1.49    11.80    12.78     1.80    -1.83     0.41     0.44    -0.18     0.17  1173.04  1065.63
    16.00 -1000.00     0.00    -0.76    -0.70    -1.68     1.49    13.80    12.78     1.88    -1.83     0.47     0.44    -0.16     0.17   952.92  1065.63
    16.00     0.00  1000.00    -0.70    -0.76    -1.49     1.68    12.78    13.80     1.83    -1.88     0.44     0.47    -0.17     0.16  1065.63   952.92
    16.00     0.00 -1000.00    -0.70    -0.64    -1.49     1.31    12.78    11.80     1.83    -1.80     0.44     0.41    -0.17     0.18  1065.63  1173.04
    18.00  1000.00     0.00    -0.72    -0.79    -1.52     1.71    13.40    14.42     1.86    -1.90     0.46     0.49    -0.18     0.17  1217.23  1105.12
    18.00 -1000.00     0.00    -0.85    -0.79    -1.91     1.71    15.48    14.42     1.95    -1.90     0.52     0.49    -0.15     0.17   987.29  1105.12
    18.00     0.00  1000.00    -0.79    -0.85    -1.71     1.91    14.42    15.48     1.90    -1.95     0.49     0.52    -0.17     0.15  1105.12   987.29
    18.00     0.00 -1000.00    -0.79    -0.72    -1.71     1.52    14.42    13.40     1.90    -1.86     0.49     0.46    -0.17     0.18  1105.12  1217.23
    20.00  1000.00     0.00    -0.81    -0.88    -1.75     1.95    15.01    16.07     1.93    -1.97     0.52     0.55    -0.17     0.16  1259.91  1142.80
    20.00 -1000.00     0.00    -0.95    -0.88    -2.16     1.95    17.19    16.07     2.02    -1.97     0.58     0.55    -0.15     0.16  1019.46  1142.80
    20.00     0.00  1000.00    -0.88    -0.95    -1.95     2.16    16.07    17.19     1.97    -2.02     0.55     0.58    -0.16     0.15  1142.80  1019.46
    20.00     0.00 -1000.00    -0.88    -0.81    -1.95     1.75    16.07    15.01     1.97    -1.93     0.55     0.52    -0.16     0.17  1142.80  1259.91
    22.00  1000.00     0.00    -0.90    -0.97    -1.98     2.19    16.63    17.74     2.00    -2.04     0.58     0.61    -0.17     0.15  1300.75  1178.24
    22.00 -1000.00     0.00    -1.05    -0.97    -2.42     2.19    18.92    17.74     2.09    -2.04     0.64     0.61    -0.14     0.15  1048.88  1178.24
    22.00     0.00  1000.00    -0.97    -1.05    -2.19     2.42    17.74    18.92     2.04    -2.09     0.61     0.64    -0.15     0.14  1178.24  1048.88
    22.00     0.00 -1000.00    -0.97    -0.90    -2.19     1.98    17.74    16.63     2.04    -2.00     0.61     0.58    -0.15     0.17  1178.24  1300.75
    24.00  1000.00     0.00    -0.99    -1.07    -2.22     2.45    18.28    19.44     2.07    -2.12     0.63     0.66    -0.16     0.15  1339.33  1210.91
    24.00 -1000.00     0.00    -1.14    -1.07    -2.69     2.45    20.68    19.44     2.17    -2.12     0.70     0.66    -0.13     0.15  1074.80  1210.91
    24.00     0.00  1000.00    -1.07    -1.14    -2.45     2.69    19.44    20.68     2.12    -2.17     0.66     0.70    -0.15     0.13  1210.91  1074.80
    24.00     0.00 -1000.00    -1.07    -0.99    -2.45     2.22    19.44    18.28     2.12    -2.07     0.66     0.63    -0.15     0.16  1210.91  1339.33
    26.00  1000.00     0.00    -1.09    -1.17    -2.48     2.72    19.95    21.18     2.14    -2.19     0.69     0.72    -0.15     0.14  1375.10  1240.01
    26.00 -1000.00     0.00    -1.25    -1.17    -2.98     2.72    22.48    21.18     2.24    -2.19     0.76     0.72    -0.12     0.14  1096.11  1240.01
    26.00     0.00  1000.00    -1.17    -1.25    -2.72     2.98    21.18    22.48     2.19    -2.24     0.72     0.76    -0.14     0.12  1240.01  1096.11
    26.00     0.00 -1000.00    -1.17    -1.09    -2.72     2.48    21.18    19.95     2.19    -2.14     0.72     0.69    -0.14     0.15  1240.01  1375.10
    28.00  1000.00     0.00    -1.18    -1.27    -2.75     3.01    21.65    22.95     2.21    -2.26     0.75     0.78    -0.15     0.13  1407.23  1264.39
    28.00 -1000.00     0.00    -1.35    -1.27    -3.29     3.01    24.34    22.95     2.32    -2.26     0.82     0.78    -0.12     0.13  1111.04  1264.39
    28.00     0.00  1000.00    -1.27    -1.35    -3.01     3.29    22.95    24.34     2.26    -2.32     0.78     0.82    -0.13     0.12  1264.39  1111.04
    28.00     0.00 -1000.00    -1.27    -1.18    -3.01     2.75    22.95    21.65     2.26    -2.21     0.78     0.75    -0.13     0.15  1264.39  1407.23
    -2.00  1000.00     0.00     0.12     0.08     0.26    -0.15    -2.23    -1.57     1.21    -1.23    -0.07    -0.05    -0.21     0.20   736.99   665.16
    -2.00 -1000.00     0.00     0.04     0.08     0.04    -0.15    -0.89    -1.57     1.26    -1.23    -0.04    -0.05    -0.19     0.20   590.24   665.16
    -2.00     0.00  1000.00     0.08     0.04     0.15    -0.04    -1.57    -0.89     1.23    -1.26    -0.05    -0.04    -0.20     0.19   665.16   590.24
    -2.00     0.00 -1000.00     0.08     0.12     0.15    -0.26    -1.57    -2.23     1.23    -1.21    -0.05    -0.07    -0.20     0.21   665.16   736.99
    -4.00  1000.00     0.00     0.21     0.17     0.40    -0.29    -3.77    -3.15     1.14    -1.17    -0.12    -0.11    -0.21     0.20   686.25   618.02
    -4.00 -1000.00     0.00     0.13     0.17     0.19    -0.29    -2.50    -3.15     1.19    -1.17    -0.09    -0.11    -0.20     0.20   546.85   618.02
    -4.00     0.00  1000.00     0.17     0.13     0.29    -0.19    -3.15    -2.50     1.17    -1.19    -0.11    -0.09    -0.20     0.20   618.02   546.85
    -4.00     0.00 -1000.00     0.17     0.21     0.29    -0.40    -3.15    -3.77     1.17    -1.14    -0.11    -0.12    -0.20     0.21   618.02   686.25
    -6.00  1000.00     0.00     0.29     0.25     0.53    -0.43    -5.30    -4.72     1.08    -1.10    -0.17    -0.16    -0.21     0.20   635.32   570.63
    -6.00 -1000.00     0.00     0.21     0.25     0.33    -0.43    -4.10    -4.72     1.13    -1.10    -0.15    -0.16    -0.20     0.20   503.18   570.63
    -6.00     0.00  1000.00     0.25     0.21     0.43    -0.33    -4.72    -4.10     1.10    -1.13    -0.16    -0.15    -0.20     0.20   570.63   503.18
    -6.00     0.00 -1000.00     0.25     0.29     0.43    -0.53    -4.72    -5.30     1.10    -1.08    -0.16    -0.17    -0.20     0.21   570.63   635.32
    -8.00  1000.00     0.00     0.37     0.34     0.65    -0.56    -6.84    -6.28     1.02    -1.04    -0.23    -0.21    -0.21     0.20   584.22   523.06
    -8.00 -1000.00     0.00     0.30     0.34     0.46    -0.56    -5.70    -6.28     1.06    -1.04    -0.20    -0.21    -0.20     0.20   459.29   523.06
    -8.00     0.00  1000.00     0.34     0.30     0.56    -0.46    -6.28    -5.70     1.04    -1.06    -0.21    -0.20    -0.20     0.20   523.06   459.29
    -8.00     0.00 -1000.00     0.34     0.37     0.56    -0.65    -6.28    -6.84     1.04    -1.02    -0.21    -0.23    -0.20     0.21   523.06   584.22
   -10.00  1000.00     0.00     0.45     0.42     0.77    -0.68    -8.38    -7.85     0.95    -0.97    -0.28    -0.27    -0.21     0.20   533.00   475.34
   -10.00 -1000.00     0.00     0.39     0.42     0.59    -0.68    -7.30    -7.85     1.00    -0.97    -0.26    -0.27    -0.20     0.20   415.23   475.34
   -10.00     0.00  1000.00     0.42     0.39     0.68    -0.59    -7.85    -7.30     0.97    -1.00    -0.27    -0.26    -0.20     0.20   475.34   415.23
   -10.00     0.00 -1000.00     0.42     0.45     0.68    -0.77    -7.85    -8.38     0.97    -0.95    -0.27    -0.28    -0.20     0.21   475.34   533.00
   -12.00  1000.00     0.00     0.53     0.50     0.88    -0.79    -9.91    -9.42     0.89    -0.91    -0.33    -0.32    -0.21     0.20   481.70   427.52
   -12.00 -1000.00     0.00     0.47     0.50     0.71    -0.79    -8.90    -9.42     0.93    -0.91    -0.31    -0.32    -0.20     0.20   371.05   427.52
   -12.00     0.00  1000.00     0.50     0.47     0.79    -0.71    -9.42    -8.90     0.91    -0.93    -0.32    -0.31    -0.20     0.20   427.52   371.05
   -12.00     0.00 -1000.00     0.50     0.53     0.79    -0.88    -9.42    -9.91     0.91    -0.89    -0.32    -0.33    -0.20     0.21   427.52   481.70
   -14.00  1000.00     0.00     0.61     0.58     0.98    -0.90   -11.45   -10.98     0.83    -0.84    -0.38    -0.37    -0.21     0.20   430.35   379.63
   -14.00 -1000.00     0.00     0.55     0.58     0.82    -0.90   -10.50   -10.98     0.86    -0.84    -0.36    -0.37    -0.20     0.20   326.78   379.63
   -14.00     0.00  1000.00     0.58     0.55     0.90    -0.82   -10.98   -10.50     0.84    -0.86    -0.37    -0.36    -0.20     0.20   379.63   326.78
   -14.00     0.00 -1000.00     0.58     0.61     0.90    -0.98   -10.98   -11.45     0.84    -0.83    -0.37    -0.38    -0.20     0.21   379.63   430.35
   -16.00  1000.00     0.00     0.69     0.67     1.07    -1.00   -12.98   -12.55     0.76    -0.78    -0.44    -0.43    -0.21     0.20   378.97   331.71
   -16.00 -1000.00     0.00     0.64     0.67     0.92    -1.00   -12.10   -12.55     0.80    -0.78    -0.42    -0.43    -0.20     0.20   282.47   331.71
   -16.00     0.00  1000.00     0.67     0.64     1.00    -0.92   -12.55   -12.10     0.78    -0.80    -0.43    -0.42    -0.20     0.20   331.71   282.47
   -16.00     0.00 -1000.00     0.67     0.69     1.00    -1.07   -12.55   -12.98     0.78    -0.76    -0.43    -0.44    -0.20     0.21   331.71   378.97
   -18.00  1000.00     0.00     0.77     0.75     1.16    -1.09   -14.52   -14.12     0.70    -0.72    -0.49    -0.48    -0.20     0.20   327.60   283.80
   -18.00 -1000.00     0.00     0.72     0.75     1.02    -1.09   -13.70   -14.12     0.73    -0.72    -0.47    -0.48    -0.20     0.20   238.15   283.80
   -18.00     0.00  1000.00     0.75     0.72     1.09    -1.02   -14.12   -13.70     0.72    -0.73    -0.48    -0.47    -0.20     0.20   283.80   238.15
   -18.00     0.00 -1000.00     0.75     0.77     1.09    -1.16   -14.12   -14.52     0.72    -0.70    -0.48    -0.49    -0.20     0.20   283.80   327.60
   -20.00  1000.00     0.00     0.85     0.83     1.25    -1.18   -16.05   -15.68     0.64    -0.65    -0.54    -0.53    -0.20     0.20   276.27   235.91
   -20.00 -1000.00     0.00     0.81     0.83     1.11    -1.18   -15.30   -15.68     0.67    -0.65    -0.53    -0.53    -0.19     0.20   193.85   235.91
   -20.00     0.00  1000.00     0.83     0.81     1.18    -1.11   -15.68   -15.30     0.65    -0.67    -0.53    -0.53    -0.20     0.19   235.91   193.85
   -20.00     0.00 -1000.00     0.83     0.85     1.18    -1.25   -15.68   -16.05     0.65    -0.64    -0.53    -0.54    -0.20     0.20   235.91   276.27
   -22.00  1000.00     0.00     0.93     0.91     1.32    -1.26   -17.59   -17.25     0.57    -0.59    -0.59    -0.59    -0.20     0.20   224.99   188.07
   -22.00 -1000.00     0.00     0.89     0.91     1.19    -1.26   -16.90   -17.25     0.60    -0.59    -0.58    -0.59    -0.19     0.20   149.60   188.07
   -22.00     0.00  1000.00     0.91     0.89     1.26    -1.19   -17.25   -16.90     0.59    -0.60    -0.59    -0.58    -0.20     0.19   188.07   149.60
   -22.00     0.00 -1000.00     0.91     0.93     1.26    -1.32   -17.25   -17.59     0.59    -0.57    -0.59    -0.59    -0.20     0.20   188.07   224.99
   -24.00  1000.00     0.00     1.01     0.99     1.39    -1.33   -19.13   -18.82     0.51    -0.52    -0.64    -0.64    -0.20     0.19   173.78   140.31
   -24.00 -1000.00     0.00     0.97     0.99     1.27    -1.33   -18.50   -18.82     0.53    -0.52    -0.64    -0.64    -0.19     0.19   105.43   140.31
   -24.00     0.00  1000.00     0.99     0.97     1.33    -1.27   -18.82   -18.50     0.52    -0.53    -0.64    -0.64    -0.19     0.19   140.31   105.43
   -24.00     0.00 -1000.00     0.99     1.01     1.33    -1.39   -18.82   -19.13     0.52    -0.51    -0.64    -0.64    -0.19     0.20   140.31   173.78
   -26.00  1000.00     0.00     1.09     1.07     1.45    -1.39   -20.66   -20.39     0.45    -0.46    -0.70    -0.69    -0.19     0.19   122.67    92.64
   -26.00 -1000.00     0.00     1.06     1.07     1.33    -1.39   -20.11   -20.39     0.47    -0.46    -0.69    -0.69    -0.19     0.19    61.35    92.64
   -26.00     0.00  1000.00     1.07     1.06     1.39    -1.33   -20.39   -20.11     0.46    -0.47    -0.69    -0.69    -0.19     0.19    92.64    61.35
   -26.00     0.00 -1000.00     1.07     1.09     1.39    -1.45   -20.39   -20.66     0.46    -0.45    -0.69    -0.70    -0.19     0.19    92.64   122.67
   -28.00  1000.00     0.00     1.17     1.15     1.51    -1.45   -22.20   -21.96     0.38    -0.39    -0.75    -0.75    -0.19     0.19    71.67    45.10
   -28.00 -1000.00     0.00     1.14     1.15     1.39    -1.45   -21.71   -21.96     0.40    -0.39    -0.74    -0.75    -0.18     0.19    17.40    45.10
   -28.00     0.00  1000.00     1.15     1.14     1.45    -1.39   -21.96   -21.71     0.39    -0.40    -0.75    -0.74    -0.19     0.18    45.10    17.40
   -28.00     0.00 -1000.00     1.15     1.17     1.45    -1.51   -21.96   -22.20     0.39    -0.38    -0.75    -0.75    -0.19     0.19    45.10    71.67
   -30.00  1000.00     0.00     1.25     1.23     1.56    -1.50   -23.75   -23.46     0.32    -0.33    -0.80    -0.80    -0.19     0.18    20.81     0.00
   -30.00 -1000.00     0.00     1.17     1.23     1.42    -1.50   -22.35   -23.46     0.38    -0.33    -0.77    -0.80    -0.18     0.18     0.00     0.00
   -30.00     0.00  1000.00     1.23     1.17     1.50    -1.42   -23.46   -22.35     0.33    -0.38    -0.80    -0.77    -0.18     0.18     0.00     0.00
   -30.00     0.00 -1000.00     1.23     1.25     1.50    -1.56   -23.46   -23.75     0.33    -0.32    -0.80    -0.80    -0.18     0.19     0.00    20.81
