
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE05 rear suspension                               

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    10.00     0.00 -1000.00    -0.37    -0.11    -0.77     0.20     7.21     2.05     1.62    -1.39     0.25     0.07    -0.18     0.20  1119.30  1841.77
    12.00  1000.00     0.00    -0.73    -0.45    -1.63     0.95    13.94     8.67     1.92    -1.69     0.47     0.30    -0.16     0.18   455.92  1194.91
    12.00 -1000.00     0.00    -0.18    -0.45    -0.36     0.95     3.49     8.67     1.46    -1.69     0.12     0.30    -0.19     0.18  1920.14  1194.91
    12.00     0.00  1000.00    -0.45    -0.73    -0.95     1.63     8.67    13.94     1.69    -1.92     0.30     0.47    -0.18     0.16  1194.91   455.92
    12.00     0.00 -1000.00    -0.45    -0.18    -0.95     0.36     8.67     3.49     1.69    -1.46     0.30     0.12    -0.18     0.19  1194.91  1920.14
    14.00  1000.00     0.00    -0.81    -0.53    -1.84     1.13    15.45    10.13     1.99    -1.75     0.52     0.35    -0.15     0.17   524.49  1269.36
    14.00 -1000.00     0.00    -0.25    -0.53    -0.51     1.13     4.93    10.13     1.52    -1.75     0.17     0.35    -0.19     0.17  1997.84  1269.36
    14.00     0.00  1000.00    -0.53    -0.81    -1.13     1.84    10.13    15.45     1.75    -1.99     0.35     0.52    -0.17     0.15  1269.36   524.49
    14.00     0.00 -1000.00    -0.53    -0.25    -1.13     0.51    10.13     4.93     1.75    -1.52     0.35     0.17    -0.17     0.19  1269.36  1997.84
    16.00  1000.00     0.00    -0.90    -0.61    -2.06     1.32    16.97    11.61     2.05    -1.82     0.58     0.40    -0.14     0.17   590.58  1342.43
    16.00 -1000.00     0.00    -0.33    -0.61    -0.68     1.32     6.38    11.61     1.58    -1.82     0.22     0.40    -0.19     0.17  2074.75  1342.43
    16.00     0.00  1000.00    -0.61    -0.90    -1.32     2.06    11.61    16.97     1.82    -2.05     0.40     0.58    -0.17     0.14  1342.43   590.58
    16.00     0.00 -1000.00    -0.61    -0.33    -1.32     0.68    11.61     6.38     1.82    -1.58     0.40     0.22    -0.17     0.19  1342.43  2074.75
    18.00  1000.00     0.00    -0.98    -0.68    -2.29     1.52    18.52    13.10     2.12    -1.88     0.63     0.45    -0.14     0.16   653.66  1413.91
    18.00 -1000.00     0.00    -0.41    -0.68    -0.85     1.52     7.84    13.10     1.65    -1.88     0.27     0.45    -0.18     0.16  2150.74  1413.91
    18.00     0.00  1000.00    -0.68    -0.98    -1.52     2.29    13.10    18.52     1.88    -2.12     0.45     0.63    -0.16     0.14  1413.91   653.66
    18.00     0.00 -1000.00    -0.68    -0.41    -1.52     0.85    13.10     7.84     1.88    -1.65     0.45     0.27    -0.16     0.18  1413.91  2150.74
    20.00  1000.00     0.00    -1.07    -0.76    -2.53     1.72    20.09    14.60     2.19    -1.95     0.68     0.50    -0.13     0.16   713.05  1483.48
    20.00 -1000.00     0.00    -0.48    -0.76    -1.03     1.72     9.30    14.60     1.71    -1.95     0.32     0.50    -0.18     0.16  2225.66  1483.48
    20.00     0.00  1000.00    -0.76    -1.07    -1.72     2.53    14.60    20.09     1.95    -2.19     0.50     0.68    -0.16     0.13  1483.48   713.05
    20.00     0.00 -1000.00    -0.76    -0.48    -1.72     1.03    14.60     9.30     1.95    -1.71     0.50     0.32    -0.16     0.18  1483.48  2225.66
    22.00  1000.00     0.00    -1.15    -0.85    -2.78     1.93    21.70    16.11     2.26    -2.02     0.74     0.55    -0.12     0.15   767.79  1550.80
    22.00 -1000.00     0.00    -0.56    -0.85    -1.21     1.93    10.78    16.11     1.78    -2.02     0.37     0.55    -0.18     0.15  2299.33  1550.80
    22.00     0.00  1000.00    -0.85    -1.15    -1.93     2.78    16.11    21.70     2.02    -2.26     0.55     0.74    -0.15     0.12  1550.80   767.79
    22.00     0.00 -1000.00    -0.85    -0.56    -1.93     1.21    16.11    10.78     2.02    -1.78     0.55     0.37    -0.15     0.18  1550.80  2299.33
    24.00  1000.00     0.00    -1.24    -0.93    -3.04     2.16    23.34    17.65     2.34    -2.09     0.79     0.60    -0.11     0.15   816.52  1615.42
    24.00 -1000.00     0.00    -0.64    -0.93    -1.40     2.16    12.26    17.65     1.85    -2.09     0.42     0.60    -0.17     0.15  2371.52  1615.42
    24.00     0.00  1000.00    -0.93    -1.24    -2.16     3.04    17.65    23.34     2.09    -2.34     0.60     0.79    -0.15     0.11  1615.42   816.52
    24.00     0.00 -1000.00    -0.93    -0.64    -2.16     1.40    17.65    12.26     2.09    -1.85     0.60     0.42    -0.15     0.17  1615.42  2371.52
    26.00  1000.00     0.00    -1.34    -1.01    -3.33     2.39    25.05    19.21     2.41    -2.16     0.85     0.66    -0.10     0.14   857.17  1676.74
    26.00 -1000.00     0.00    -0.72    -1.01    -1.60     2.39    13.75    19.21     1.91    -2.16     0.47     0.66    -0.17     0.14  2441.99  1676.74
    26.00     0.00  1000.00    -1.01    -1.34    -2.39     3.33    19.21    25.05     2.16    -2.41     0.66     0.85    -0.14     0.10  1676.74   857.17
    26.00     0.00 -1000.00    -1.01    -0.72    -2.39     1.60    19.21    13.75     2.16    -1.91     0.66     0.47    -0.14     0.17  1676.74  2441.99
    28.00  1000.00     0.00    -1.44    -1.10    -3.63     2.64    26.84    20.80     2.49    -2.23     0.91     0.71    -0.09     0.13   886.16  1733.97
    28.00 -1000.00     0.00    -0.80    -1.10    -1.81     2.64    15.26    20.80     1.98    -2.23     0.53     0.71    -0.16     0.13  2510.41  1733.97
    28.00     0.00  1000.00    -1.10    -1.44    -2.64     3.63    20.80    26.84     2.23    -2.49     0.71     0.91    -0.13     0.09  1733.97   886.16
    28.00     0.00 -1000.00    -1.10    -0.80    -2.64     1.81    20.80    15.26     2.23    -1.98     0.71     0.53    -0.13     0.16  1733.97  2510.41
    30.00  1000.00     0.00    -1.55    -1.19    -3.97     2.89    28.76    22.42     2.57    -2.30     0.98     0.77    -0.08     0.12   896.47  1786.01
    30.00 -1000.00     0.00    -0.88    -1.19    -2.03     2.89    16.79    22.42     2.05    -2.30     0.58     0.77    -0.15     0.12  2576.38  1786.01
    30.00     0.00  1000.00    -1.19    -1.55    -2.89     3.97    22.42    28.76     2.30    -2.57     0.77     0.98    -0.12     0.08  1786.01   896.47
    30.00     0.00 -1000.00    -1.19    -0.88    -2.89     2.03    22.42    16.79     2.30    -2.05     0.77     0.58    -0.12     0.15  1786.01  2576.38
    32.00  1000.00     0.00    -1.68    -1.28    -4.37     3.17    30.94    24.09     2.67    -2.37     1.05     0.82    -0.07     0.11   869.29  1831.22
    32.00 -1000.00     0.00    -0.96    -1.28    -2.26     3.17    18.33    24.09     2.12    -2.37     0.63     0.82    -0.15     0.11  2639.40  1831.22
    32.00     0.00  1000.00    -1.28    -1.68    -3.17     4.37    24.09    30.94     2.37    -2.67     0.82     1.05    -0.11     0.07  1831.22   869.29
    32.00     0.00 -1000.00    -1.28    -0.96    -3.17     2.26    24.09    18.33     2.37    -2.12     0.82     0.63    -0.11     0.15  1831.22  2639.40
    -2.00  1000.00     0.00    -0.26     0.07    -0.51    -0.14     4.94    -1.43     1.52    -1.24     0.17    -0.05    -0.19     0.20     0.00   649.07
    -2.00 -1000.00     0.00     0.33     0.07     0.57    -0.14    -6.53    -1.43     1.01    -1.24    -0.22    -0.05    -0.21     0.20  1362.48   649.07
    -2.00     0.00  1000.00     0.07    -0.26     0.14     0.51    -1.43     4.94     1.24    -1.52    -0.05     0.17    -0.20     0.19   649.07     0.00
    -2.00     0.00 -1000.00     0.07     0.33     0.14    -0.57    -1.43    -6.53     1.24    -1.01    -0.05    -0.22    -0.20     0.21   649.07  1362.48
    -4.00  1000.00     0.00    -0.26     0.15    -0.51    -0.26     4.94    -2.86     1.52    -1.17     0.17    -0.10    -0.19     0.20     0.00   568.92
    -4.00 -1000.00     0.00     0.40     0.15     0.68    -0.26    -7.95    -2.86     0.95    -1.17    -0.27    -0.10    -0.21     0.20  1281.73   568.92
    -4.00     0.00  1000.00     0.15    -0.26     0.26     0.51    -2.86     4.94     1.17    -1.52    -0.10     0.17    -0.20     0.19   568.92     0.00
    -4.00     0.00 -1000.00     0.15     0.40     0.26    -0.68    -2.86    -7.95     1.17    -0.95    -0.10    -0.27    -0.20     0.21   568.92  1281.73
    -6.00  1000.00     0.00    -0.26     0.22    -0.51    -0.39     4.94    -4.28     1.52    -1.11     0.17    -0.15    -0.19     0.21     0.00   488.47
    -6.00 -1000.00     0.00     0.48     0.22     0.78    -0.39    -9.38    -4.28     0.89    -1.11    -0.32    -0.15    -0.21     0.21  1200.87   488.47
    -6.00     0.00  1000.00     0.22    -0.26     0.39     0.51    -4.28     4.94     1.11    -1.52    -0.15     0.17    -0.21     0.19   488.47     0.00
    -6.00     0.00 -1000.00     0.22     0.48     0.39    -0.78    -4.28    -9.38     1.11    -0.89    -0.15    -0.32    -0.21     0.21   488.47  1200.87
    -8.00  1000.00     0.00    -0.26     0.29    -0.51    -0.51     4.94    -5.71     1.52    -1.05     0.17    -0.19    -0.19     0.21     0.00   407.79
    -8.00 -1000.00     0.00     0.55     0.29     0.88    -0.51   -10.80    -5.71     0.82    -1.05    -0.37    -0.19    -0.20     0.21  1119.96   407.79
    -8.00     0.00  1000.00     0.29    -0.26     0.51     0.51    -5.71     4.94     1.05    -1.52    -0.19     0.17    -0.21     0.19   407.79     0.00
    -8.00     0.00 -1000.00     0.29     0.55     0.51    -0.88    -5.71   -10.80     1.05    -0.82    -0.19    -0.37    -0.21     0.20   407.79  1119.96
   -10.00  1000.00     0.00    -0.26     0.36    -0.51    -0.62     4.94    -7.13     1.52    -0.98     0.17    -0.24    -0.19     0.21     0.00   326.93
   -10.00 -1000.00     0.00     0.62     0.36     0.97    -0.62   -12.22    -7.13     0.76    -0.98    -0.42    -0.24    -0.20     0.21  1039.04   326.93
   -10.00     0.00  1000.00     0.36    -0.26     0.62     0.51    -7.13     4.94     0.98    -1.52    -0.24     0.17    -0.21     0.19   326.93     0.00
   -10.00     0.00 -1000.00     0.36     0.62     0.62    -0.97    -7.13   -12.22     0.98    -0.76    -0.24    -0.42    -0.21     0.20   326.93  1039.04
   -12.00  1000.00     0.00    -0.26     0.44    -0.51    -0.72     4.94    -8.55     1.52    -0.92     0.17    -0.29    -0.19     0.21     0.00   245.94
   -12.00 -1000.00     0.00     0.69     0.44     1.05    -0.72   -13.65    -8.55     0.70    -0.92    -0.46    -0.29    -0.20     0.21   958.13   245.94
   -12.00     0.00  1000.00     0.44    -0.26     0.72     0.51    -8.55     4.94     0.92    -1.52    -0.29     0.17    -0.21     0.19   245.94     0.00
   -12.00     0.00 -1000.00     0.44     0.69     0.72    -1.05    -8.55   -13.65     0.92    -0.70    -0.29    -0.46    -0.21     0.20   245.94   958.13
   -14.00  1000.00     0.00    -0.26     0.51    -0.51    -0.82     4.94    -9.98     1.52    -0.86     0.17    -0.34    -0.19     0.21     0.00   164.86
   -14.00 -1000.00     0.00     0.76     0.51     1.13    -0.82   -15.07    -9.98     0.63    -0.86    -0.51    -0.34    -0.20     0.21   877.28   164.86
   -14.00     0.00  1000.00     0.51    -0.26     0.82     0.51    -9.98     4.94     0.86    -1.52    -0.34     0.17    -0.21     0.19   164.86     0.00
   -14.00     0.00 -1000.00     0.51     0.76     0.82    -1.13    -9.98   -15.07     0.86    -0.63    -0.34    -0.51    -0.21     0.20   164.86   877.28
   -16.00  1000.00     0.00    -0.26     0.58    -0.51    -0.92     4.94   -11.40     1.52    -0.80     0.17    -0.39    -0.19     0.21     0.00    83.75
   -16.00 -1000.00     0.00     0.83     0.58     1.20    -0.92   -16.50   -11.40     0.57    -0.80    -0.56    -0.39    -0.20     0.21   796.53    83.75
   -16.00     0.00  1000.00     0.58    -0.26     0.92     0.51   -11.40     4.94     0.80    -1.52    -0.39     0.17    -0.21     0.19    83.75     0.00
   -16.00     0.00 -1000.00     0.58     0.83     0.92    -1.20   -11.40   -16.50     0.80    -0.57    -0.39    -0.56    -0.21     0.20    83.75   796.53
   -18.00  1000.00     0.00    -0.26     0.65    -0.51    -1.00     4.94   -12.82     1.52    -0.73     0.17    -0.43    -0.19     0.21     0.00     2.64
   -18.00 -1000.00     0.00     0.90     0.65     1.27    -1.00   -17.93   -12.82     0.51    -0.73    -0.61    -0.43    -0.20     0.21   715.90     2.64
   -18.00     0.00  1000.00     0.65    -0.26     1.00     0.51   -12.82     4.94     0.73    -1.52    -0.43     0.17    -0.21     0.19     2.64     0.00
   -18.00     0.00 -1000.00     0.65     0.90     1.00    -1.27   -12.82   -17.93     0.73    -0.51    -0.43    -0.61    -0.21     0.20     2.64   715.90
