
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE05 rear suspension                               

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]
     6.00   -10.00   -72.38  -169.15    32.26    11.48    12.46    -1.49    -0.98     0.54     4.31    -7.13   965.22   326.93
     6.00   -12.00   -78.58  -168.91    33.21    11.48    12.50    -1.49    -0.92     0.60     4.31    -8.55   965.22   245.94
     6.00   -14.00   -84.37  -168.69    34.14    11.48    12.51    -1.49    -0.86     0.67     4.31    -9.98   965.22   164.86
     6.00   -16.00   -89.78  -168.48    35.06    11.48    12.51    -1.49    -0.80     0.74     4.31   -11.40   965.22    83.75
     6.00   -18.00   -94.86  -168.28    35.97    11.48    12.49    -1.49    -0.73     0.80     4.31   -12.82   965.22     2.64
     8.00     0.00   -46.41  -171.33    25.79    11.27    12.00    -1.56    -1.30     0.27     5.76     0.00  1042.69   728.86
     8.00     2.00   -36.53  -171.67    24.74    11.27    11.85    -1.56    -1.36     0.20     5.76     1.43  1042.69   808.21
     8.00     4.00   -25.63  -172.05    23.64    11.27    11.67    -1.56    -1.43     0.14     5.76     2.87  1042.69   887.02
     8.00     6.00   -13.53  -172.46    22.50    11.27    11.48    -1.56    -1.49     0.07     5.76     4.31  1042.69   965.22
     8.00     8.00     0.00  -172.93    21.31    11.27    11.27    -1.56    -1.56     0.00     5.76     5.76  1042.69  1042.69
     8.00    10.00    15.23  -173.46    20.05    11.27    11.03    -1.56    -1.62    -0.07     5.76     7.21  1042.69  1119.30
     8.00    12.00    32.51  -174.06    18.72    11.27    10.77    -1.56    -1.69    -0.14     5.76     8.67  1042.69  1194.91
     8.00    14.00    52.31  -174.74    17.30    11.27    10.49    -1.56    -1.75    -0.21     5.76    10.13  1042.69  1269.36
     8.00    16.00    75.24  -175.54    15.77    11.27    10.19    -1.56    -1.82    -0.27     5.76    11.61  1042.69  1342.43
     8.00    18.00   102.17  -176.47    14.09    11.27     9.86    -1.56    -1.88    -0.34     5.76    13.10  1042.69  1413.91
     8.00    20.00   134.26  -177.58    12.23    11.27     9.51    -1.56    -1.95    -0.42     5.76    14.60  1042.69  1483.48
     8.00    22.00   173.25  -178.93    10.12    11.27     9.13    -1.56    -2.02    -0.49     5.76    16.11  1042.69  1550.80
     8.00    24.00   221.72  -180.61     7.67    11.27     8.73    -1.56    -2.09    -0.56     5.76    17.65  1042.69  1615.42
     8.00    26.00   283.80  -182.76     4.74    11.27     8.30    -1.56    -2.16    -0.63     5.76    19.21  1042.69  1676.74
     8.00    28.00   366.47  -185.62     1.08    11.27     7.85    -1.56    -2.23    -0.71     5.76    20.80  1042.69  1733.97
     8.00    30.00   482.64  -189.65    -3.76    11.27     7.37    -1.56    -2.30    -0.78     5.76    22.42  1042.69  1786.01
     8.00    32.00   659.21  -195.76   -10.72    11.27     6.85    -1.56    -2.37    -0.86     5.76    24.09  1042.69  1831.22
     8.00    34.00   963.77  -206.31   -22.14    11.27     6.31    -1.56    -2.45    -0.94     5.76    25.83  1042.69  1866.99
     8.00    36.00  1631.12  -229.42   -46.17    11.27     5.74    -1.56    -2.53    -1.03     5.76    27.67  1042.69  1888.60
     8.00     0.00   -46.41  -171.33    25.79    11.27    12.00    -1.56    -1.30     0.27     5.76     0.00  1042.69   728.86
     8.00    -2.00   -55.40  -171.01    26.82    11.27    12.13    -1.56    -1.24     0.34     5.76    -1.43  1042.69   649.07
     8.00    -4.00   -63.62  -170.73    27.82    11.27    12.24    -1.56    -1.17     0.40     5.76    -2.86  1042.69   568.92
     8.00    -6.00   -71.17  -170.47    28.79    11.27    12.34    -1.56    -1.11     0.47     5.76    -4.28  1042.69   488.47
     8.00    -8.00   -78.14  -170.23    29.75    11.27    12.41    -1.56    -1.05     0.54     5.76    -5.71  1042.69   407.79
     8.00   -10.00   -84.59  -170.00    30.68    11.27    12.46    -1.56    -0.98     0.61     5.76    -7.13  1042.69   326.93
     8.00   -12.00   -90.57  -169.80    31.60    11.27    12.50    -1.56    -0.92     0.67     5.76    -8.55  1042.69   245.94
     8.00   -14.00   -96.14  -169.60    32.50    11.27    12.51    -1.56    -0.86     0.74     5.76    -9.98  1042.69   164.86
     8.00   -16.00  -101.34  -169.42    33.39    11.27    12.51    -1.56    -0.80     0.81     5.76   -11.40  1042.69    83.75
     8.00   -18.00  -106.21  -169.25    34.27    11.27    12.49    -1.56    -0.73     0.87     5.76   -12.82  1042.69     2.64
    10.00     0.00   -60.94  -172.06    24.33    11.03    12.00    -1.62    -1.30     0.34     7.21     0.00  1119.30   728.86
    10.00     2.00   -51.30  -172.35    23.32    11.03    11.85    -1.62    -1.36     0.27     7.21     1.43  1119.30   808.21
    10.00     4.00   -40.60  -172.68    22.28    11.03    11.67    -1.62    -1.43     0.20     7.21     2.87  1119.30   887.02
    10.00     6.00   -28.66  -173.05    21.19    11.03    11.48    -1.62    -1.49     0.14     7.21     4.31  1119.30   965.22
    10.00     8.00   -15.23  -173.46    20.05    11.03    11.27    -1.62    -1.56     0.07     7.21     5.76  1119.30  1042.69
    10.00    10.00     0.00  -173.93    18.86    11.03    11.03    -1.62    -1.62     0.00     7.21     7.21  1119.30  1119.30
    10.00    12.00    17.42  -174.46    17.60    11.03    10.77    -1.62    -1.69    -0.07     7.21     8.67  1119.30  1194.91
    10.00    14.00    37.56  -175.08    16.24    11.03    10.49    -1.62    -1.75    -0.14     7.21    10.13  1119.30  1269.36
    10.00    16.00    61.14  -175.80    14.78    11.03    10.19    -1.62    -1.82    -0.21     7.21    11.61  1119.30  1342.43
    10.00    18.00    89.17  -176.66    13.18    11.03     9.86    -1.62    -1.88    -0.28     7.21    13.10  1119.30  1413.91
    10.00    20.00   123.07  -177.70    11.39    11.03     9.51    -1.62    -1.95    -0.35     7.21    14.60  1119.30  1483.48
    10.00    22.00   165.00  -178.98     9.34    11.03     9.13    -1.62    -2.02    -0.42     7.21    16.11  1119.30  1550.80
    10.00    24.00   218.31  -180.62     6.94    11.03     8.73    -1.62    -2.09    -0.49     7.21    17.65  1119.30  1615.42
    10.00    26.00   288.58  -182.77     4.00    11.03     8.30    -1.62    -2.16    -0.56     7.21    19.21  1119.30  1676.74
    10.00    28.00   385.78  -185.75     0.22    11.03     7.85    -1.62    -2.23    -0.64     7.21    20.80  1119.30  1733.97
    10.00    30.00   529.90  -190.17    -5.01    11.03     7.37    -1.62    -2.30    -0.71     7.21    22.42  1119.30  1786.01
    10.00    32.00   767.66  -197.46   -13.14    11.03     6.85    -1.62    -2.37    -0.79     7.21    24.09  1119.30  1831.22
    10.00    34.00  1240.85  -211.96   -28.51    11.03     6.31    -1.62    -2.45    -0.87     7.21    25.83  1119.30  1866.99
    10.00    36.00  2687.51  -256.30   -73.78    11.03     5.74    -1.62    -2.53    -0.96     7.21    27.67  1119.30  1888.60
    10.00     0.00   -60.94  -172.06    24.33    11.03    12.00    -1.62    -1.30     0.34     7.21     0.00  1119.30   728.86
    10.00    -2.00   -69.68  -171.79    25.32    11.03    12.13    -1.62    -1.24     0.41     7.21    -1.43  1119.30   649.07
    10.00    -4.00   -77.64  -171.55    26.28    11.03    12.24    -1.62    -1.17     0.47     7.21    -2.86  1119.30   568.92
    10.00    -6.00   -84.93  -171.32    27.21    11.03    12.34    -1.62    -1.11     0.54     7.21    -4.28  1119.30   488.47
    10.00    -8.00   -91.62  -171.12    28.13    11.03    12.41    -1.62    -1.05     0.61     7.21    -5.71  1119.30   407.79
    10.00   -10.00   -97.80  -170.93    29.03    11.03    12.46    -1.62    -0.98     0.67     7.21    -7.13  1119.30   326.93
    10.00   -12.00  -103.52  -170.75    29.91    11.03    12.50    -1.62    -0.92     0.74     7.21    -8.55  1119.30   245.94
    10.00   -14.00  -108.82  -170.59    30.79    11.03    12.51    -1.62    -0.86     0.81     7.21    -9.98  1119.30   164.86
    10.00   -16.00  -113.77  -170.44    31.65    11.03    12.51    -1.62    -0.80     0.87     7.21   -11.40  1119.30    83.75
    10.00   -18.00  -118.38  -170.30    32.50    11.03    12.49    -1.62    -0.73     0.94     7.21   -12.82  1119.30     2.64
    12.00     0.00   -77.05  -172.87    22.79    10.77    12.00    -1.69    -1.30     0.41     8.67     0.00  1194.91   728.86
    12.00     2.00   -67.75  -173.12    21.83    10.77    11.85    -1.69    -1.36     0.34     8.67     1.43  1194.91   808.21
    12.00     4.00   -57.37  -173.40    20.83    10.77    11.67    -1.69    -1.43     0.27     8.67     2.87  1194.91   887.02
    12.00     6.00   -45.71  -173.71    19.80    10.77    11.48    -1.69    -1.49     0.20     8.67     4.31  1194.91   965.22
    12.00     8.00   -32.51  -174.06    18.72    10.77    11.27    -1.69    -1.56     0.14     8.67     5.76  1194.91  1042.69
    12.00    10.00   -17.42  -174.46    17.60    10.77    11.03    -1.69    -1.62     0.07     8.67     7.21  1194.91  1119.30
    12.00    12.00     0.00  -174.92    16.40    10.77    10.77    -1.69    -1.69     0.00     8.67     8.67  1194.91  1194.91
    12.00    14.00    20.35  -175.47    15.12    10.77    10.49    -1.69    -1.75    -0.07     8.67    10.13  1194.91  1269.36
    12.00    16.00    44.48  -176.11    13.74    10.77    10.19    -1.69    -1.82    -0.14     8.67    11.61  1194.91  1342.43
    12.00    18.00    73.58  -176.89    12.22    10.77     9.86    -1.69    -1.88    -0.21     8.67    13.10  1194.91  1413.91
    12.00    20.00   109.42  -177.84    10.51    10.77     9.51    -1.69    -1.95    -0.28     8.67    14.60  1194.91  1483.48
    12.00    22.00   154.72  -179.05     8.55    10.77     9.13    -1.69    -2.02    -0.35     8.67    16.11  1194.91  1550.80
    12.00    24.00   213.95  -180.63     6.20    10.77     8.73    -1.69    -2.09    -0.42     8.67    17.65  1194.91  1615.42
    12.00    26.00   294.95  -182.79     3.26    10.77     8.30    -1.69    -2.16    -0.50     8.67    19.21  1194.91  1676.74
    12.00    28.00   412.90  -185.93    -0.68    10.77     7.85    -1.69    -2.23    -0.57     8.67    20.80  1194.91  1733.97
    12.00    30.00   601.64  -190.96    -6.53    10.77     7.37    -1.69    -2.30    -0.65     8.67    22.42  1194.91  1786.01
    12.00    32.00   955.38  -200.39   -16.80    10.77     6.85    -1.69    -2.37    -0.72     8.67    24.09  1194.91  1831.22
    12.00    34.00  1873.92  -224.87   -42.15    10.77     6.31    -1.69    -2.45    -0.81     8.67    25.83  1194.91  1866.99
    12.00    36.00 10762.74  -461.77  -279.98    10.77     5.74    -1.69    -2.53    -0.89     8.67    27.67  1194.91  1888.60
    12.00     0.00   -77.05  -172.87    22.79    10.77    12.00    -1.69    -1.30     0.41     8.67     0.00  1194.91   728.86
    12.00    -2.00   -85.44  -172.65    23.73    10.77    12.13    -1.69    -1.24     0.47     8.67    -1.43  1194.91   649.07
    12.00    -4.00   -93.05  -172.44    24.65    10.77    12.24    -1.69    -1.17     0.54     8.67    -2.86  1194.91   568.92
    12.00    -6.00   -99.98  -172.26    25.54    10.77    12.34    -1.69    -1.11     0.61     8.67    -4.28  1194.91   488.47
    12.00    -8.00  -106.33  -172.09    26.42    10.77    12.41    -1.69    -1.05     0.68     8.67    -5.71  1194.91   407.79
    12.00   -10.00  -112.16  -171.94    27.29    10.77    12.46    -1.69    -0.98     0.74     8.67    -7.13  1194.91   326.93
    12.00   -12.00  -117.55  -171.79    28.14    10.77    12.50    -1.69    -0.92     0.81     8.67    -8.55  1194.91   245.94
    12.00   -14.00  -122.53  -171.66    28.99    10.77    12.51    -1.69    -0.86     0.88     8.67    -9.98  1194.91   164.86
    12.00   -16.00  -127.16  -171.54    29.82    10.77    12.51    -1.69    -0.80     0.94     8.67   -11.40  1194.91    83.75
    12.00   -18.00  -131.47  -171.42    30.65    10.77    12.49    -1.69    -0.73     1.01     8.67   -12.82  1194.91     2.64
    14.00     0.00   -95.02  -173.78    21.15    10.49    12.00    -1.75    -1.30     0.48    10.13     0.00  1269.36   728.86
    14.00     2.00   -86.20  -173.98    20.23    10.49    11.85    -1.75    -1.36     0.41    10.13     1.43  1269.36   808.21
    14.00     4.00   -76.30  -174.20    19.29    10.49    11.67    -1.75    -1.43     0.34    10.13     2.87  1269.36   887.02
    14.00     6.00   -65.09  -174.45    18.32    10.49    11.48    -1.75    -1.49     0.27    10.13     4.31  1269.36   965.22
    14.00     8.00   -52.31  -174.74    17.30    10.49    11.27    -1.75    -1.56     0.21    10.13     5.76  1269.36  1042.69
    14.00    10.00   -37.56  -175.08    16.24    10.49    11.03    -1.75    -1.62     0.14    10.13     7.21  1269.36  1119.30
    14.00    12.00   -20.35  -175.47    15.12    10.49    10.77    -1.75    -1.69     0.07    10.13     8.67  1269.36  1194.91
    14.00    14.00     0.00  -175.93    13.93    10.49    10.49    -1.75    -1.75     0.00    10.13    10.13  1269.36  1269.36
    14.00    16.00    24.48  -176.48    12.64    10.49    10.19    -1.75    -1.82    -0.07    10.13    11.61  1269.36  1342.43
    14.00    18.00    54.54  -177.16    11.21    10.49     9.86    -1.75    -1.88    -0.14    10.13    13.10  1269.36  1413.91
    14.00    20.00    92.36  -178.02     9.60    10.49     9.51    -1.75    -1.95    -0.21    10.13    14.60  1269.36  1483.48
    14.00    22.00   141.52  -179.13     7.73    10.49     9.13    -1.75    -2.02    -0.28    10.13    16.11  1269.36  1550.80
