
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.1                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            FSE05 rear suspension                               

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    10.00     0.00 -1000.00    -0.37    -0.34    -0.77     0.65     7.21     6.61     1.62    -1.59     0.25     0.23    -0.18     0.19  1119.30  1203.45
    12.00  1000.00     0.00    -0.41    -0.45    -0.82     0.95     8.04     8.67     1.66    -1.69     0.28     0.30    -0.19     0.18  1282.49  1194.91
    12.00 -1000.00     0.00    -0.49    -0.45    -1.08     0.95     9.31     8.67     1.71    -1.69     0.31     0.30    -0.17     0.18  1104.43  1194.91
    12.00     0.00  1000.00    -0.45    -0.49    -0.95     1.08     8.67     9.31     1.69    -1.71     0.30     0.31    -0.18     0.17  1194.91  1104.43
    12.00     0.00 -1000.00    -0.45    -0.41    -0.95     0.82     8.67     8.04     1.69    -1.66     0.30     0.28    -0.18     0.19  1194.91  1282.49
    14.00  1000.00     0.00    -0.49    -0.53    -1.00     1.13     9.48    10.13     1.72    -1.75     0.33     0.35    -0.18     0.17  1360.49  1269.36
    14.00 -1000.00     0.00    -0.57    -0.53    -1.26     1.13    10.81    10.13     1.78    -1.75     0.36     0.35    -0.17     0.17  1175.14  1269.36
    14.00     0.00  1000.00    -0.53    -0.57    -1.13     1.26    10.13    10.81     1.75    -1.78     0.35     0.36    -0.17     0.17  1269.36  1175.14
    14.00     0.00 -1000.00    -0.53    -0.49    -1.13     1.00    10.13     9.48     1.75    -1.72     0.35     0.33    -0.17     0.18  1269.36  1360.49
    16.00  1000.00     0.00    -0.56    -0.61    -1.18     1.32    10.93    11.61     1.79    -1.82     0.38     0.40    -0.18     0.17  1437.25  1342.43
    16.00 -1000.00     0.00    -0.65    -0.61    -1.46     1.32    12.31    11.61     1.85    -1.82     0.41     0.40    -0.16     0.17  1244.33  1342.43
    16.00     0.00  1000.00    -0.61    -0.65    -1.32     1.46    11.61    12.31     1.82    -1.85     0.40     0.41    -0.17     0.16  1342.43  1244.33
    16.00     0.00 -1000.00    -0.61    -0.56    -1.32     1.18    11.61    10.93     1.82    -1.79     0.40     0.38    -0.17     0.18  1342.43  1437.25
    18.00  1000.00     0.00    -0.64    -0.68    -1.37     1.52    12.39    13.10     1.85    -1.88     0.43     0.45    -0.17     0.16  1512.59  1413.91
    18.00 -1000.00     0.00    -0.73    -0.68    -1.66     1.52    13.83    13.10     1.91    -1.88     0.47     0.45    -0.16     0.16  1311.70  1413.91
    18.00     0.00  1000.00    -0.68    -0.73    -1.52     1.66    13.10    13.83     1.88    -1.91     0.45     0.47    -0.16     0.16  1413.91  1311.70
    18.00     0.00 -1000.00    -0.68    -0.64    -1.52     1.37    13.10    12.39     1.88    -1.85     0.45     0.43    -0.16     0.17  1413.91  1512.59
    20.00  1000.00     0.00    -0.72    -0.76    -1.57     1.72    13.86    14.60     1.92    -1.95     0.48     0.50    -0.17     0.16  1586.25  1483.48
    20.00 -1000.00     0.00    -0.81    -0.76    -1.88     1.72    15.36    14.60     1.98    -1.95     0.52     0.50    -0.15     0.16  1376.92  1483.48
    20.00     0.00  1000.00    -0.76    -0.81    -1.72     1.88    14.60    15.36     1.95    -1.98     0.50     0.52    -0.16     0.15  1483.48  1376.92
    20.00     0.00 -1000.00    -0.76    -0.72    -1.72     1.57    14.60    13.86     1.95    -1.92     0.50     0.48    -0.16     0.17  1483.48  1586.25
    22.00  1000.00     0.00    -0.80    -0.85    -1.78     1.93    15.35    16.11     1.98    -2.02     0.53     0.55    -0.16     0.15  1657.93  1550.80
    22.00 -1000.00     0.00    -0.90    -0.85    -2.10     1.93    16.91    16.11     2.05    -2.02     0.57     0.55    -0.14     0.15  1439.57  1550.80
    22.00     0.00  1000.00    -0.85    -0.90    -1.93     2.10    16.11    16.91     2.02    -2.05     0.55     0.57    -0.15     0.14  1550.80  1439.57
    22.00     0.00 -1000.00    -0.85    -0.80    -1.93     1.78    16.11    15.35     2.02    -1.98     0.55     0.53    -0.15     0.16  1550.80  1657.93
    24.00  1000.00     0.00    -0.88    -0.93    -1.99     2.16    16.85    17.65     2.05    -2.09     0.58     0.60    -0.16     0.15  1727.23  1615.42
    24.00 -1000.00     0.00    -0.98    -0.93    -2.33     2.16    18.48    17.65     2.12    -2.09     0.63     0.60    -0.13     0.15  1499.10  1615.42
    24.00     0.00  1000.00    -0.93    -0.98    -2.16     2.33    17.65    18.48     2.09    -2.12     0.60     0.63    -0.15     0.13  1615.42  1499.10
    24.00     0.00 -1000.00    -0.93    -0.88    -2.16     1.99    17.65    16.85     2.09    -2.05     0.60     0.58    -0.15     0.16  1615.42  1727.23
    26.00  1000.00     0.00    -0.96    -1.01    -2.22     2.39    18.37    19.21     2.12    -2.16     0.64     0.66    -0.15     0.14  1793.69  1676.74
    26.00 -1000.00     0.00    -1.07    -1.01    -2.57     2.39    20.08    19.21     2.19    -2.16     0.68     0.66    -0.13     0.14  1554.78  1676.74
    26.00     0.00  1000.00    -1.01    -1.07    -2.39     2.57    19.21    20.08     2.16    -2.19     0.66     0.68    -0.14     0.13  1676.74  1554.78
    26.00     0.00 -1000.00    -1.01    -0.96    -2.39     2.22    19.21    18.37     2.16    -2.12     0.66     0.64    -0.14     0.15  1676.74  1793.69
    28.00  1000.00     0.00    -1.05    -1.10    -2.45     2.64    19.92    20.80     2.19    -2.23     0.69     0.71    -0.14     0.13  1856.66  1733.97
    28.00 -1000.00     0.00    -1.16    -1.10    -2.83     2.64    21.71    20.80     2.27    -2.23     0.74     0.71    -0.12     0.13  1605.62  1733.97
    28.00     0.00  1000.00    -1.10    -1.16    -2.64     2.83    20.80    21.71     2.23    -2.27     0.71     0.74    -0.13     0.12  1733.97  1605.62
    28.00     0.00 -1000.00    -1.10    -1.05    -2.64     2.45    20.80    19.92     2.23    -2.19     0.71     0.69    -0.13     0.14  1733.97  1856.66
    30.00  1000.00     0.00    -1.13    -1.19    -2.70     2.89    21.50    22.42     2.26    -2.30     0.74     0.77    -0.13     0.12  1915.28  1786.01
    30.00 -1000.00     0.00    -1.25    -1.19    -3.10     2.89    23.39    22.42     2.34    -2.30     0.79     0.77    -0.11     0.12  1650.16  1786.01
    30.00     0.00  1000.00    -1.19    -1.25    -2.89     3.10    22.42    23.39     2.30    -2.34     0.77     0.79    -0.12     0.11  1786.01  1650.16
    30.00     0.00 -1000.00    -1.19    -1.13    -2.89     2.70    22.42    21.50     2.30    -2.26     0.77     0.74    -0.12     0.13  1786.01  1915.28
    32.00  1000.00     0.00    -1.22    -1.28    -2.96     3.17    23.12    24.09     2.33    -2.37     0.80     0.82    -0.13     0.11  1968.32  1831.22
    32.00 -1000.00     0.00    -1.35    -1.28    -3.39     3.17    25.13    24.09     2.42    -2.37     0.85     0.82    -0.10     0.11  1686.16  1831.22
    32.00     0.00  1000.00    -1.28    -1.35    -3.17     3.39    24.09    25.13     2.37    -2.42     0.82     0.85    -0.11     0.10  1831.22  1686.16
    32.00     0.00 -1000.00    -1.28    -1.22    -3.17     2.96    24.09    23.12     2.37    -2.33     0.82     0.80    -0.11     0.13  1831.22  1968.32
    34.00  1000.00     0.00    -1.31    -1.38    -3.23     3.46    24.79    25.83     2.40    -2.45     0.86     0.88    -0.12     0.11  2013.89  1866.99
    34.00 -1000.00     0.00    -1.45    -1.38    -3.70     3.46    26.95    25.83     2.50    -2.45     0.92     0.88    -0.09     0.11  1709.76  1866.99
    34.00     0.00  1000.00    -1.38    -1.45    -3.46     3.70    25.83    26.95     2.45    -2.50     0.88     0.92    -0.11     0.09  1866.99  1709.76
    34.00     0.00 -1000.00    -1.38    -1.31    -3.46     3.23    25.83    24.79     2.45    -2.40     0.88     0.86    -0.11     0.12  1866.99  2013.89
    36.00  1000.00     0.00    -1.41    -1.48    -3.53     3.78    26.53    27.67     2.48    -2.53     0.91     0.95    -0.11     0.10  2048.92  1888.60
    36.00 -1000.00     0.00    -1.56    -1.48    -4.05     3.78    28.92    27.67     2.58    -2.53     0.98     0.95    -0.08     0.10  1713.15  1888.60
    36.00     0.00  1000.00    -1.48    -1.56    -3.78     4.05    27.67    28.92     2.53    -2.58     0.95     0.98    -0.10     0.08  1888.60  1713.15
    36.00     0.00 -1000.00    -1.48    -1.41    -3.78     3.53    27.67    26.53     2.53    -2.48     0.95     0.91    -0.10     0.11  1888.60  2048.92
    -2.00  1000.00     0.00     0.10     0.07     0.23    -0.14    -1.90    -1.43     1.22    -1.24    -0.06    -0.05    -0.21     0.20   714.30   649.07
    -2.00 -1000.00     0.00     0.04     0.07     0.04    -0.14    -0.95    -1.43     1.26    -1.24    -0.04    -0.05    -0.20     0.20   581.85   649.07
    -2.00     0.00  1000.00     0.07     0.04     0.14    -0.04    -1.43    -0.95     1.24    -1.26    -0.05    -0.04    -0.20     0.20   649.07   581.85
    -2.00     0.00 -1000.00     0.07     0.10     0.14    -0.23    -1.43    -1.90     1.24    -1.22    -0.05    -0.06    -0.20     0.21   649.07   714.30
    -4.00  1000.00     0.00     0.17     0.15     0.35    -0.26    -3.30    -2.86     1.15    -1.17    -0.11    -0.10    -0.21     0.20   631.16   568.92
    -4.00 -1000.00     0.00     0.12     0.15     0.18    -0.26    -2.40    -2.86     1.19    -1.17    -0.09    -0.10    -0.20     0.20   504.79   568.92
    -4.00     0.00  1000.00     0.15     0.12     0.26    -0.18    -2.86    -2.40     1.17    -1.19    -0.10    -0.09    -0.20     0.20   568.92   504.79
    -4.00     0.00 -1000.00     0.15     0.17     0.26    -0.35    -2.86    -3.30     1.17    -1.15    -0.10    -0.11    -0.20     0.21   568.92   631.16
    -6.00  1000.00     0.00     0.24     0.22     0.47    -0.39    -4.71    -4.28     1.09    -1.11    -0.15    -0.15    -0.21     0.21   547.77   488.47
    -6.00 -1000.00     0.00     0.19     0.22     0.30    -0.39    -3.85    -4.28     1.13    -1.11    -0.14    -0.15    -0.20     0.21   427.39   488.47
    -6.00     0.00  1000.00     0.22     0.19     0.39    -0.30    -4.28    -3.85     1.11    -1.13    -0.15    -0.14    -0.21     0.20   488.47   427.39
    -6.00     0.00 -1000.00     0.22     0.24     0.39    -0.47    -4.28    -4.71     1.11    -1.09    -0.15    -0.15    -0.21     0.21   488.47   547.77
    -8.00  1000.00     0.00     0.32     0.29     0.59    -0.51    -6.11    -5.71     1.03    -1.05    -0.20    -0.19    -0.21     0.21   464.16   407.79
    -8.00 -1000.00     0.00     0.27     0.29     0.42    -0.51    -5.29    -5.71     1.07    -1.05    -0.19    -0.19    -0.20     0.21   349.72   407.79
    -8.00     0.00  1000.00     0.29     0.27     0.51    -0.42    -5.71    -5.29     1.05    -1.07    -0.19    -0.19    -0.21     0.20   407.79   349.72
    -8.00     0.00 -1000.00     0.29     0.32     0.51    -0.59    -5.71    -6.11     1.05    -1.03    -0.19    -0.20    -0.21     0.21   407.79   464.16
   -10.00  1000.00     0.00     0.39     0.36     0.69    -0.62    -7.51    -7.13     0.97    -0.98    -0.25    -0.24    -0.21     0.21   380.39   326.93
   -10.00 -1000.00     0.00     0.34     0.36     0.54    -0.62    -6.74    -7.13     1.00    -0.98    -0.23    -0.24    -0.20     0.21   271.85   326.93
   -10.00     0.00  1000.00     0.36     0.34     0.62    -0.54    -7.13    -6.74     0.98    -1.00    -0.24    -0.23    -0.21     0.20   326.93   271.85
   -10.00     0.00 -1000.00     0.36     0.39     0.62    -0.69    -7.13    -7.51     0.98    -0.97    -0.24    -0.25    -0.21     0.21   326.93   380.39
   -12.00  1000.00     0.00     0.46     0.44     0.80    -0.72    -8.92    -8.55     0.91    -0.92    -0.30    -0.29    -0.21     0.21   296.52   245.94
   -12.00 -1000.00     0.00     0.41     0.44     0.65    -0.72    -8.18    -8.55     0.94    -0.92    -0.28    -0.29    -0.20     0.21   193.84   245.94
   -12.00     0.00  1000.00     0.44     0.41     0.72    -0.65    -8.55    -8.18     0.92    -0.94    -0.29    -0.28    -0.21     0.20   245.94   193.84
   -12.00     0.00 -1000.00     0.44     0.46     0.72    -0.80    -8.55    -8.92     0.92    -0.91    -0.29    -0.30    -0.21     0.21   245.94   296.52
   -14.00  1000.00     0.00     0.53     0.51     0.89    -0.82   -10.32    -9.98     0.84    -0.86    -0.34    -0.34    -0.21     0.21   212.57   164.86
   -14.00 -1000.00     0.00     0.49     0.51     0.75    -0.82    -9.63    -9.98     0.87    -0.86    -0.33    -0.34    -0.20     0.21   115.73   164.86
   -14.00     0.00  1000.00     0.51     0.49     0.82    -0.75    -9.98    -9.63     0.86    -0.87    -0.34    -0.33    -0.21     0.20   164.86   115.73
   -14.00     0.00 -1000.00     0.51     0.53     0.82    -0.89    -9.98   -10.32     0.86    -0.84    -0.34    -0.34    -0.21     0.21   164.86   212.57
   -16.00  1000.00     0.00     0.60     0.58     0.98    -0.92   -11.72   -11.40     0.78    -0.80    -0.39    -0.39    -0.21     0.21   128.60    83.75
   -16.00 -1000.00     0.00     0.56     0.58     0.85    -0.92   -11.07   -11.40     0.81    -0.80    -0.38    -0.39    -0.20     0.21    37.56    83.75
   -16.00     0.00  1000.00     0.58     0.56     0.92    -0.85   -11.40   -11.07     0.80    -0.81    -0.39    -0.38    -0.21     0.20    83.75    37.56
   -16.00     0.00 -1000.00     0.58     0.60     0.92    -0.98   -11.40   -11.72     0.80    -0.78    -0.39    -0.39    -0.21     0.21    83.75   128.60
   -18.00  1000.00     0.00     0.67     0.65     1.07    -1.00   -13.12   -12.82     0.72    -0.73    -0.44    -0.43    -0.21     0.21    44.63     2.64
   -18.00 -1000.00     0.00     0.59     0.65     0.89    -1.00   -11.76   -12.82     0.78    -0.73    -0.40    -0.43    -0.20     0.21     0.00     2.64
   -18.00     0.00  1000.00     0.65     0.59     1.00    -0.89   -12.82   -11.76     0.73    -0.78    -0.43    -0.40    -0.21     0.20     2.64     0.00
   -18.00     0.00 -1000.00     0.65     0.67     1.00    -1.07   -12.82   -13.12     0.73    -0.72    -0.43    -0.44    -0.21     0.21     2.64    44.63
