
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           FSE04 rear suspension                               

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     0.00    28.00 -2989.30   -94.07    95.32    12.00    73.22    -1.30    -2.13    -1.05     0.00    21.21   712.01  1457.06
     0.00    30.00 -1781.24  -129.72    58.88    12.00    77.35    -1.30    -2.19    -1.13     0.00    22.76   712.01  1505.95
     0.00    32.00 -1315.23  -143.47    44.35    12.00    81.45    -1.30    -2.25    -1.20     0.00    24.32   712.01  1554.06
     0.00    34.00 -1068.12  -150.77    36.27    12.00    85.49    -1.30    -2.31    -1.28     0.00    25.89   712.01  1601.34
     0.00    36.00  -914.94  -155.29    30.96    12.00    89.49    -1.30    -2.37    -1.36     0.00    27.46   712.01  1647.72
     0.00    38.00  -810.65  -158.37    27.08    12.00    93.43    -1.30    -2.44    -1.45     0.00    29.05   712.01  1693.16
     0.00    40.00  -735.02  -160.60    24.05    12.00    97.31    -1.30    -2.50    -1.53     0.00    30.64   712.01  1737.56
     0.00    42.00  -677.63  -162.29    21.55    12.00   101.13    -1.30    -2.56    -1.61     0.00    32.24   712.01  1780.87
     0.00    44.00  -632.58  -163.62    19.41    12.00   104.87    -1.30    -2.63    -1.69     0.00    33.86   712.01  1822.99
     0.00    46.00  -596.24  -164.69    17.53    12.00   108.54    -1.30    -2.69    -1.78     0.00    35.48   712.01  1863.83
     0.00    48.00  -566.29  -165.58    15.82    12.00   112.13    -1.30    -2.76    -1.86     0.00    37.12   712.01  1903.30
     0.00    50.00  -541.17  -166.32    14.25    12.00   115.62    -1.30    -2.82    -1.95     0.00    38.77   712.01  1941.28
     0.00    52.00  -519.77  -166.95    12.78    12.00   119.02    -1.30    -2.89    -2.03     0.00    40.43   712.01  1977.63
     0.00    54.00  -501.31  -167.50    11.39    12.00   122.30    -1.30    -2.96    -2.12     0.00    42.11   712.01  2012.22
     0.00    56.00  -485.21  -167.97    10.06    12.00   125.46    -1.30    -3.03    -2.21     0.00    43.81   712.01  2044.89
     0.00     0.00     0.00  -182.29    17.71    12.00    12.00    -1.30    -1.30     0.00     0.00     0.00   712.01   712.01
     0.00    -2.00   -19.70  -181.71    19.03    12.00     7.44    -1.30    -1.24     0.07     0.00    -1.49   712.01   655.58
     0.00    -4.00   -36.76  -181.21    20.28    12.00     2.87    -1.30    -1.19     0.14     0.00    -2.97   712.01   598.83
     0.00    -6.00   -51.66  -180.77    21.46    12.00    -1.73    -1.30    -1.13     0.21     0.00    -4.45   712.01   541.77
     0.00    -8.00   -64.80  -180.38    22.59    12.00    -6.35    -1.30    -1.07     0.28     0.00    -5.93   712.01   484.41
     0.00   -10.00   -76.48  -180.03    23.67    12.00   -10.99    -1.30    -1.01     0.35     0.00    -7.41   712.01   426.77
     0.00   -12.00   -86.93  -179.73    24.71    12.00   -15.65    -1.30    -0.96     0.42     0.00    -8.88   712.01   368.86
     0.00   -14.00   -96.33  -179.45    25.73    12.00   -20.33    -1.30    -0.90     0.49     0.00   -10.36   712.01   310.68
     0.00   -16.00  -104.84  -179.20    26.71    12.00   -25.04    -1.30    -0.84     0.56     0.00   -11.83   712.01   252.24
     0.00   -18.00  -112.58  -178.97    27.67    12.00   -29.76    -1.30    -0.79     0.63     0.00   -13.29   712.01   193.56
     0.00   -20.00  -119.65  -178.76    28.61    12.00   -34.51    -1.30    -0.73     0.70     0.00   -14.76   712.01   134.63
     0.00   -22.00  -126.14  -178.57    29.53    12.00   -39.28    -1.30    -0.68     0.77     0.00   -16.22   712.01    75.47
     0.00   -24.00  -132.11  -178.39    30.44    12.00   -44.08    -1.30    -0.62     0.83     0.00   -17.69   712.01    16.08
     0.00   -26.00  -133.64  -178.35    30.68    12.00   -45.38    -1.30    -0.60     0.85     0.00   -18.08   712.01     0.00
     2.00     0.00   -23.03  -182.97    16.28    16.54    12.00    -1.36    -1.30     0.07     1.49     0.00   768.10   712.01
     2.00     2.00     0.00  -183.55    14.96    16.54    16.54    -1.36    -1.36     0.00     1.49     1.49   768.10   768.10
     2.00     4.00    27.71  -184.24    13.53    16.54    21.05    -1.36    -1.42    -0.07     1.49     2.98   768.10   823.84
     2.00     6.00    61.71  -185.08    11.93    16.54    25.54    -1.36    -1.47    -0.15     1.49     4.48   768.10   879.21
     2.00     8.00   104.41  -186.15    10.11    16.54    30.01    -1.36    -1.53    -0.22     1.49     5.98   768.10   934.19
     2.00    10.00   159.68  -187.53     7.98    16.54    34.46    -1.36    -1.59    -0.29     1.49     7.48   768.10   988.75
     2.00    12.00   234.03  -189.38     5.38    16.54    38.88    -1.36    -1.65    -0.37     1.49     8.99   768.10  1042.89
     2.00    14.00   339.47  -192.01     1.99    16.54    43.27    -1.36    -1.71    -0.44     1.49    10.50   768.10  1096.57
     2.00    16.00   500.71  -196.03    -2.79    16.54    47.64    -1.36    -1.77    -0.52     1.49    12.01   768.10  1149.76
     2.00    18.00   778.11  -202.95   -10.47    16.54    51.98    -1.36    -1.83    -0.59     1.49    13.53   768.10  1202.44
     2.00    20.00  1368.27  -217.67   -25.95    16.54    56.30    -1.36    -1.89    -0.67     1.49    15.06   768.10  1254.59
     2.00    22.00  3485.29  -270.46   -79.51    16.54    60.58    -1.36    -1.94    -0.74     1.49    16.59   768.10  1306.16
     2.00    24.00 ********   141.39   331.58    16.54    64.83    -1.36    -2.01    -0.82     1.49    18.12   768.10  1357.12
     2.00    26.00 -2629.99  -117.96    71.45    16.54    69.04    -1.36    -2.07    -0.90     1.49    19.66   768.10  1407.43
     2.00    28.00 -1568.79  -144.42    44.21    16.54    73.22    -1.36    -2.13    -0.97     1.49    21.21   768.10  1457.06
     2.00    30.00 -1165.11  -154.49    33.37    16.54    77.35    -1.36    -2.19    -1.05     1.49    22.76   768.10  1505.95
     2.00    32.00  -952.32  -159.80    27.28    16.54    81.45    -1.36    -2.25    -1.13     1.49    24.32   768.10  1554.06
     2.00    34.00  -820.84  -163.08    23.21    16.54    85.49    -1.36    -2.31    -1.21     1.49    25.89   768.10  1601.34
     2.00    36.00  -731.52  -165.30    20.20    16.54    89.49    -1.36    -2.37    -1.29     1.49    27.46   768.10  1647.72
     2.00    38.00  -666.84  -166.92    17.79    16.54    93.43    -1.36    -2.44    -1.37     1.49    29.05   768.10  1693.16
     2.00    40.00  -617.82  -168.14    15.77    16.54    97.31    -1.36    -2.50    -1.46     1.49    30.64   768.10  1737.56
     2.00    42.00  -579.36  -169.10    14.00    16.54   101.13    -1.36    -2.56    -1.54     1.49    32.24   768.10  1780.87
     2.00    44.00  -548.37  -169.87    12.42    16.54   104.87    -1.36    -2.63    -1.62     1.49    33.86   768.10  1822.99
     2.00    46.00  -522.84  -170.51    10.97    16.54   108.54    -1.36    -2.69    -1.71     1.49    35.48   768.10  1863.83
     2.00    48.00  -501.43  -171.04     9.61    16.54   112.13    -1.36    -2.76    -1.79     1.49    37.12   768.10  1903.30
     2.00    50.00  -483.21  -171.50     8.33    16.54   115.62    -1.36    -2.82    -1.88     1.49    38.77   768.10  1941.28
     2.00    52.00  -467.50  -171.89     7.10    16.54   119.02    -1.36    -2.89    -1.96     1.49    40.43   768.10  1977.63
     2.00    54.00  -453.80  -172.23     5.91    16.54   122.30    -1.36    -2.96    -2.05     1.49    42.11   768.10  2012.22
     2.00    56.00  -441.74  -172.53     4.76    16.54   125.46    -1.36    -3.03    -2.14     1.49    43.81   768.10  2044.89
     2.00     0.00   -23.03  -182.97    16.28    16.54    12.00    -1.36    -1.30     0.07     1.49     0.00   768.10   712.01
     2.00    -2.00   -42.48  -182.49    17.51    16.54     7.44    -1.36    -1.24     0.14     1.49    -1.49   768.10   655.58
     2.00    -4.00   -59.12  -182.07    18.67    16.54     2.87    -1.36    -1.19     0.21     1.49    -2.97   768.10   598.83
     2.00    -6.00   -73.53  -181.71    19.77    16.54    -1.73    -1.36    -1.13     0.29     1.49    -4.45   768.10   541.77
     2.00    -8.00   -86.13  -181.40    20.82    16.54    -6.35    -1.36    -1.07     0.36     1.49    -5.93   768.10   484.41
     2.00   -10.00   -97.24  -181.12    21.84    16.54   -10.99    -1.36    -1.01     0.43     1.49    -7.41   768.10   426.77
     2.00   -12.00  -107.12  -180.87    22.82    16.54   -15.65    -1.36    -0.96     0.50     1.49    -8.88   768.10   368.86
     2.00   -14.00  -115.96  -180.65    23.78    16.54   -20.33    -1.36    -0.90     0.56     1.49   -10.36   768.10   310.68
     2.00   -16.00  -123.91  -180.46    24.71    16.54   -25.04    -1.36    -0.84     0.63     1.49   -11.83   768.10   252.24
     2.00   -18.00  -131.12  -180.28    25.62    16.54   -29.76    -1.36    -0.79     0.70     1.49   -13.29   768.10   193.56
     2.00   -20.00  -137.67  -180.11    26.52    16.54   -34.51    -1.36    -0.73     0.77     1.49   -14.76   768.10   134.63
     2.00   -22.00  -143.65  -179.96    27.39    16.54   -39.28    -1.36    -0.68     0.84     1.49   -16.22   768.10    75.47
     2.00   -24.00  -149.14  -179.83    28.26    16.54   -44.08    -1.36    -0.62     0.91     1.49   -17.69   768.10    16.08
     2.00   -26.00  -150.55  -179.79    28.49    16.54   -45.38    -1.36    -0.60     0.92     1.49   -18.08   768.10     0.00
     4.00     0.00   -50.32  -183.78    14.73    21.05    12.00    -1.42    -1.30     0.14     2.98     0.00   823.84   712.01
     4.00     2.00   -27.71  -184.24    13.53    21.05    16.54    -1.42    -1.36     0.07     2.98     1.49   823.84   768.10
     4.00     4.00     0.00  -184.80    12.22    21.05    21.05    -1.42    -1.42     0.00     2.98     2.98   823.84   823.84
     4.00     6.00    34.79  -185.51    10.76    21.05    25.54    -1.42    -1.47    -0.07     2.98     4.48   823.84   879.21
     4.00     8.00    79.77  -186.42     9.09    21.05    30.01    -1.42    -1.53    -0.15     2.98     5.98   823.84   934.19
     4.00    10.00   140.23  -187.66     7.11    21.05    34.46    -1.42    -1.59    -0.22     2.98     7.48   823.84   988.75
     4.00    12.00   225.83  -189.40     4.61    21.05    38.88    -1.42    -1.65    -0.29     2.98     8.99   823.84  1042.89
     4.00    14.00   356.46  -192.06     1.20    21.05    43.27    -1.42    -1.71    -0.37     2.98    10.50   823.84  1096.57
     4.00    16.00   580.42  -196.62    -4.12    21.05    47.64    -1.42    -1.77    -0.44     2.98    12.01   823.84  1149.76
     4.00    18.00  1053.58  -206.25   -14.51    21.05    51.98    -1.42    -1.83    -0.52     2.98    13.53   823.84  1202.44
     4.00    20.00  2715.11  -240.07   -49.10    21.05    56.30    -1.42    -1.89    -0.59     2.98    15.06   823.84  1254.59
     4.00    22.00 ********    57.72   247.93    21.05    60.58    -1.42    -1.94    -0.67     2.98    16.59   823.84  1306.16
     4.00    24.00 -2241.31  -139.18    50.26    21.05    64.83    -1.42    -2.01    -0.75     2.98    18.12   823.84  1357.12
     4.00    26.00 -1345.97  -157.40    31.26    21.05    69.04    -1.42    -2.07    -0.82     2.98    19.66   823.84  1407.43
     4.00    28.00 -1009.41  -164.25    23.63    21.05    73.22    -1.42    -2.13    -0.90     2.98    21.21   823.84  1457.06
     4.00    30.00  -832.87  -167.85    19.26    21.05    77.35    -1.42    -2.19    -0.98     2.98    22.76   823.84  1505.95
     4.00    32.00  -724.10  -170.06    16.27    21.05    81.45    -1.42    -2.25    -1.06     2.98    24.32   823.84  1554.06
     4.00    34.00  -650.33  -171.56    13.98    21.05    85.49    -1.42    -2.31    -1.14     2.98    25.89   823.84  1601.34
     4.00    36.00  -596.98  -172.65    12.10    21.05    89.49    -1.42    -2.37    -1.22     2.98    27.46   823.84  1647.72
     4.00    38.00  -556.58  -173.47    10.49    21.05    93.43    -1.42    -2.44    -1.30     2.98    29.05   823.84  1693.16
     4.00    40.00  -524.91  -174.12     9.04    21.05    97.31    -1.42    -2.50    -1.38     2.98    30.64   823.84  1737.56
     4.00    42.00  -499.39  -174.64     7.72    21.05   101.13    -1.42    -2.56    -1.47     2.98    32.24   823.84  1780.87
     4.00    44.00  -478.39  -175.06     6.48    21.05   104.87    -1.42    -2.63    -1.55     2.98    33.86   823.84  1822.99
     4.00    46.00  -460.78  -175.42     5.31    21.05   108.54    -1.42    -2.69    -1.63     2.98    35.48   823.84  1863.83
     4.00    48.00  -445.80  -175.73     4.18    21.05   112.13    -1.42    -2.76    -1.72     2.98    37.12   823.84  1903.30
     4.00    50.00  -432.89  -175.99     3.09    21.05   115.62    -1.42    -2.82    -1.80     2.98    38.77   823.84  1941.28
     4.00    52.00  -421.63  -176.22     2.02    21.05   119.02    -1.42    -2.89    -1.89     2.98    40.43   823.84  1977.63
     4.00    54.00  -411.72  -176.42     0.98    21.05   122.30    -1.42    -2.96    -1.98     2.98    42.11   823.84  2012.22
     4.00    56.00  -402.93  -176.60    -0.06    21.05   125.46    -1.42    -3.03    -2.07     2.98    43.81   823.84  2044.89
     4.00     0.00   -50.32  -183.78    14.73    21.05    12.00    -1.42    -1.30     0.14     2.98     0.00   823.84   712.01
     4.00    -2.00   -69.11  -183.39    15.86    21.05     7.44    -1.42    -1.24     0.22     2.98    -1.49   823.84   655.58
     4.00    -4.00   -84.99  -183.07    16.92    21.05     2.87    -1.42    -1.19     0.29     2.98    -2.97   823.84   598.83
     4.00    -6.00   -98.58  -182.79    17.94    21.05    -1.73    -1.42    -1.13     0.36     2.98    -4.45   823.84   541.77
     4.00    -8.00  -110.35  -182.55    18.92    21.05    -6.35    -1.42    -1.07     0.43     2.98    -5.93   823.84   484.41
     4.00   -10.00  -120.65  -182.35    19.87    21.05   -10.99    -1.42    -1.01     0.50     2.98    -7.41   823.84   426.77
     4.00   -12.00  -129.73  -182.16    20.79    21.05   -15.65    -1.42    -0.96     0.57     2.98    -8.88   823.84   368.86
     4.00   -14.00  -137.80  -182.00    21.69    21.05   -20.33    -1.42    -0.90     0.64     2.98   -10.36   823.84   310.68
     4.00   -16.00  -145.03  -181.85    22.57    21.05   -25.04    -1.42    -0.84     0.71     2.98   -11.83   823.84   252.24
     4.00   -18.00  -151.54  -181.72    23.43    21.05   -29.76    -1.42    -0.79     0.77     2.98   -13.29   823.84   193.56
     4.00   -20.00  -157.43  -181.60    24.28    21.05   -34.51    -1.42    -0.73     0.84     2.98   -14.76   823.84   134.63
     4.00   -22.00  -162.79  -181.49    25.12    21.05   -39.28    -1.42    -0.68     0.91     2.98   -16.22   823.84    75.47
     4.00   -24.00  -167.69  -181.39    25.95    21.05   -44.08    -1.42    -0.62     0.98     2.98   -17.69   823.84    16.08
     4.00   -26.00  -168.94  -181.36    26.18    21.05   -45.38    -1.42    -0.60     1.00     2.98   -18.08   823.84     0.00
     6.00     0.00   -83.17  -184.75    13.01    25.54    12.00    -1.47    -1.30     0.22     4.48     0.00   879.21   712.01
     6.00     2.00   -61.71  -185.08    11.93    25.54    16.54    -1.47    -1.36     0.15     4.48     1.49   879.21   768.10
     6.00     4.00   -34.79  -185.51    10.76    25.54    21.05    -1.47    -1.42     0.07     4.48     2.98   879.21   823.84
     6.00     6.00     0.00  -186.06     9.46    25.54    25.54    -1.47    -1.47     0.00     4.48     4.48   879.21   879.21
     6.00     8.00    46.71  -186.79     7.98    25.54    30.01    -1.47    -1.53    -0.07     4.48     5.98   879.21   934.19
     6.00    10.00   112.77  -187.84     6.18    25.54    34.46    -1.47    -1.59    -0.15     4.48     7.48   879.21   988.75
     6.00    12.00   213.41  -189.42     3.84    25.54    38.88    -1.47    -1.65    -0.22     4.48     8.99   879.21  1042.89
     6.00    14.00   385.46  -192.13     0.37    25.54    43.27    -1.47    -1.71    -0.30     4.48    10.50   879.21  1096.57
     6.00    16.00   746.99  -197.83    -6.09    25.54    47.64    -1.47    -1.77    -0.37     4.48    12.01   879.21  1149.76
     6.00    18.00  1995.89  -217.52   -26.54    25.54    51.98    -1.47    -1.83    -0.45     4.48    13.53   879.21  1202.44
     6.00    20.00 ********   -24.91   165.31    25.54    56.30    -1.47    -1.89    -0.52     4.48    15.06   879.21  1254.59
     6.00    22.00 -1826.63  -157.26    32.20    25.54    60.58    -1.47    -1.94    -0.60     4.48    16.59   879.21  1306.16
     6.00    24.00 -1114.09  -168.49    20.19    25.54    64.83    -1.47    -2.01    -0.67     4.48    18.12   879.21  1357.12
     6.00    26.00  -848.82  -172.68    15.24    25.54    69.04    -1.47    -2.07    -0.75     4.48    19.66   879.21  1407.43
     6.00    28.00  -710.23  -174.86    12.28    25.54    73.22    -1.47    -2.13    -0.83     4.48    21.21   879.21  1457.06
     6.00    30.00  -625.03  -176.20    10.16    25.54    77.35    -1.47    -2.19    -0.91     4.48    22.76   879.21  1505.95
     6.00    32.00  -567.32  -177.11     8.47    25.54    81.45    -1.47    -2.25    -0.99     4.48    24.32   879.21  1554.06
     6.00    34.00  -525.62  -177.77     7.02    25.54    85.49    -1.47    -2.31    -1.07     4.48    25.89   879.21  1601.34
     6.00    36.00  -494.07  -178.27     5.74    25.54    89.49    -1.47    -2.37    -1.15     4.48    27.46   879.21  1647.72
     6.00    38.00  -469.35  -178.66     4.55    25.54    93.43    -1.47    -2.44    -1.23     4.48    29.05   879.21  1693.16
     6.00    40.00  -449.44  -178.97     3.44    25.54    97.31    -1.47    -2.50    -1.31     4.48    30.64   879.21  1737.56
     6.00    42.00  -433.05  -179.23     2.37    25.54   101.13    -1.47    -2.56    -1.39     4.48    32.24   879.21  1780.87
     6.00    44.00  -419.32  -179.45     1.35    25.54   104.87    -1.47    -2.63    -1.48     4.48    33.86   879.21  1822.99
     6.00    46.00  -407.63  -179.63     0.35    25.54   108.54    -1.47    -2.69    -1.56     4.48    35.48   879.21  1863.83
     6.00    48.00  -397.56  -179.79    -0.63    25.54   112.13    -1.47    -2.76    -1.65     4.48    37.12   879.21  1903.30
     6.00    50.00  -388.78  -179.93    -1.60    25.54   115.62    -1.47    -2.82    -1.73     4.48    38.77   879.21  1941.28
     6.00    52.00  -381.06  -180.05    -2.56    25.54   119.02    -1.47    -2.89    -1.82     4.48    40.43   879.21  1977.63
     6.00    54.00  -374.20  -180.16    -3.51    25.54   122.30    -1.47    -2.96    -1.91     4.48    42.11   879.21  2012.22
     6.00    56.00  -368.06  -180.25    -4.46    25.54   125.46    -1.47    -3.03    -2.00     4.48    43.81   879.21  2044.89
     6.00     0.00   -83.17  -184.75    13.01    25.54    12.00    -1.47    -1.30     0.22     4.48     0.00   879.21   712.01
     6.00    -2.00  -100.68  -184.47    14.03    25.54     7.44    -1.47    -1.24     0.29     4.48    -1.49   879.21   655.58
     6.00    -4.00  -115.25  -184.24    15.00    25.54     2.87    -1.47    -1.19     0.36     4.48    -2.97   879.21   598.83
     6.00    -6.00  -127.56  -184.05    15.94    25.54    -1.73    -1.47    -1.13     0.43     4.48    -4.45   879.21   541.77
     6.00    -8.00  -138.10  -183.88    16.84    25.54    -6.35    -1.47    -1.07     0.50     4.48    -5.93   879.21   484.41
     6.00   -10.00  -147.23  -183.74    17.73    25.54   -10.99    -1.47    -1.01     0.57     4.48    -7.41   879.21   426.77
     6.00   -12.00  -155.22  -183.61    18.59    25.54   -15.65    -1.47    -0.96     0.64     4.48    -8.88   879.21   368.86
     6.00   -14.00  -162.28  -183.50    19.44    25.54   -20.33    -1.47    -0.90     0.71     4.48   -10.36   879.21   310.68
     6.00   -16.00  -168.55  -183.40    20.27    25.54   -25.04    -1.47    -0.84     0.78     4.48   -11.83   879.21   252.24
     6.00   -18.00  -174.16  -183.31    21.09    25.54   -29.76    -1.47    -0.79     0.85     4.48   -13.29   879.21   193.56
     6.00   -20.00  -179.22  -183.23    21.90    25.54   -34.51    -1.47    -0.73     0.92     4.48   -14.76   879.21   134.63
     6.00   -22.00  -183.80  -183.16    22.70    25.54   -39.28    -1.47    -0.68     0.98     4.48   -16.22   879.21    75.47
     6.00   -24.00  -187.97  -183.09    23.50    25.54   -44.08    -1.47    -0.62     1.05     4.48   -17.69   879.21    16.08
     6.00   -26.00  -189.03  -183.08    23.71    25.54   -45.38    -1.47    -0.60     1.07     4.48   -18.08   879.21     0.00
     8.00     0.00  -123.49  -185.94    11.07    30.01    12.00    -1.53    -1.30     0.29     5.98     0.00   934.19   712.01
     8.00     2.00  -104.41  -186.15    10.11    30.01    16.54    -1.53    -1.36     0.22     5.98     1.49   934.19   768.10
     8.00     4.00   -79.77  -186.42     9.09    30.01    21.05    -1.53    -1.42     0.15     5.98     2.98   934.19   823.84
     8.00     6.00   -46.71  -186.79     7.98    30.01    25.54    -1.53    -1.47     0.07     5.98     4.48   934.19   879.21
     8.00     8.00     0.00  -187.32     6.70    30.01    30.01    -1.53    -1.53     0.00     5.98     5.98   934.19   934.19
     8.00    10.00    71.06  -188.11     5.16    30.01    34.46    -1.53    -1.59    -0.07     5.98     7.48   934.19   988.75
     8.00    12.00   192.29  -189.46     3.05    30.01    38.88    -1.53    -1.65    -0.15     5.98     8.99   934.19  1042.89
     8.00    14.00   446.00  -192.30    -0.54    30.01    43.27    -1.53    -1.71    -0.22     5.98    10.50   934.19  1096.57
     8.00    16.00  1312.06  -201.97   -10.97    30.01    47.64    -1.53    -1.77    -0.30     5.98    12.01   934.19  1149.76
     8.00    18.00 -7908.56   -98.99    91.25    30.01    51.98    -1.53    -1.83    -0.37     5.98    13.53   934.19  1202.44
     8.00    20.00 -1390.09  -171.79    17.68    30.01    56.30    -1.53    -1.89    -0.45     5.98    15.06   934.19  1254.59
     8.00    22.00  -874.61  -177.55    11.16    30.01    60.58    -1.53    -1.94    -0.52     5.98    16.59   934.19  1306.16
     8.00    24.00  -684.10  -179.68     8.26    30.01    64.83    -1.53    -2.01    -0.60     5.98    18.12   934.19  1357.12
     8.00    26.00  -584.86  -180.78     6.38    30.01    69.04    -1.53    -2.07    -0.68     5.98    19.66   934.19  1407.43
     8.00    28.00  -523.95  -181.46     4.93    30.01    73.22    -1.53    -2.13    -0.76     5.98    21.21   934.19  1457.06
     8.00    30.00  -482.73  -181.92     3.69    30.01    77.35    -1.53    -2.19    -0.84     5.98    22.76   934.19  1505.95
     8.00    32.00  -452.96  -182.26     2.57    30.01    81.45    -1.53    -2.25    -0.91     5.98    24.32   934.19  1554.06
     8.00    34.00  -430.44  -182.51     1.53    30.01    85.49    -1.53    -2.31    -0.99     5.98    25.89   934.19  1601.34
     8.00    36.00  -412.80  -182.71     0.55    30.01    89.49    -1.53    -2.37    -1.08     5.98    27.46   934.19  1647.72
     8.00    38.00  -398.60  -182.86    -0.41    30.01    93.43    -1.53    -2.44    -1.16     5.98    29.05   934.19  1693.16
     8.00    40.00  -386.91  -182.99    -1.34    30.01    97.31    -1.53    -2.50    -1.24     5.98    30.64   934.19  1737.56
     8.00    42.00  -377.11  -183.10    -2.25    30.01   101.13    -1.53    -2.56    -1.32     5.98    32.24   934.19  1780.87
     8.00    44.00  -368.78  -183.20    -3.15    30.01   104.87    -1.53    -2.63    -1.40     5.98    33.86   934.19  1822.99
     8.00    46.00  -361.59  -183.28    -4.05    30.01   108.54    -1.53    -2.69    -1.49     5.98    35.48   934.19  1863.83
     8.00    48.00  -355.32  -183.35    -4.94    30.01   112.13    -1.53    -2.76    -1.57     5.98    37.12   934.19  1903.30
     8.00    50.00  -349.81  -183.41    -5.83    30.01   115.62    -1.53    -2.82    -1.66     5.98    38.77   934.19  1941.28
     8.00    52.00  -344.91  -183.46    -6.72    30.01   119.02    -1.53    -2.89    -1.75     5.98    40.43   934.19  1977.63
     8.00    54.00  -340.52  -183.51    -7.62    30.01   122.30    -1.53    -2.96    -1.83     5.98    42.11   934.19  2012.22
     8.00    56.00  -336.57  -183.56    -8.51    30.01   125.46    -1.53    -3.03    -1.92     5.98    43.81   934.19  2044.89
     8.00     0.00  -123.49  -185.94    11.07    30.01    12.00    -1.53    -1.30     0.29     5.98     0.00   934.19   712.01
     8.00    -2.00  -138.71  -185.77    11.99    30.01     7.44    -1.53    -1.24     0.36     5.98    -1.49   934.19   655.58
     8.00    -4.00  -151.14  -185.63    12.87    30.01     2.87    -1.53    -1.19     0.43     5.98    -2.97   934.19   598.83
     8.00    -6.00  -161.48  -185.51    13.72    30.01    -1.73    -1.53    -1.13     0.50     5.98    -4.45   934.19   541.77
     8.00    -8.00  -170.22  -185.41    14.56    30.01    -6.35    -1.53    -1.07     0.57     5.98    -5.93   934.19   484.41
     8.00   -10.00  -177.71  -185.33    15.38    30.01   -10.99    -1.53    -1.01     0.64     5.98    -7.41   934.19   426.77
     8.00   -12.00  -184.20  -185.26    16.19    30.01   -15.65    -1.53    -0.96     0.71     5.98    -8.88   934.19   368.86
     8.00   -14.00  -189.88  -185.19    16.99    30.01   -20.33    -1.53    -0.90     0.78     5.98   -10.36   934.19   310.68
     8.00   -16.00  -194.90  -185.14    17.78    30.01   -25.04    -1.53    -0.84     0.85     5.98   -11.83   934.19   252.24
     8.00   -18.00  -199.36  -185.09    18.56    30.01   -29.76    -1.53    -0.79     0.92     5.98   -13.29   934.19   193.56
     8.00   -20.00  -203.36  -185.04    19.34    30.01   -34.51    -1.53    -0.73     0.99     5.98   -14.76   934.19   134.63
     8.00   -22.00  -206.97  -185.00    20.11    30.01   -39.28    -1.53    -0.68     1.06     5.98   -16.22   934.19    75.47
     8.00   -24.00  -210.23  -184.97    20.87    30.01   -44.08    -1.53    -0.62     1.12     5.98   -17.69   934.19    16.08
     8.00   -26.00  -211.06  -184.96    21.08    30.01   -45.38    -1.53    -0.60     1.14     5.98   -18.08   934.19     0.00
