
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            FSE04 front suspension                              

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    10.00     0.00  1000.00    -0.15    -0.29    -0.77     1.61     7.51    14.42     1.75    -1.98    -0.17    -0.33     0.09    -0.06   942.29   181.18
    10.00     0.00 -1000.00    -0.15    -0.01    -0.77     0.06     7.51     0.68     1.75    -1.52    -0.17    -0.02     0.09    -0.13   942.29  1693.82
    12.00  1000.00     0.00    -0.32    -0.18    -1.82     0.95    15.96     9.02     2.04    -1.80    -0.36    -0.21     0.05    -0.08   232.05   995.55
    12.00 -1000.00     0.00    -0.04    -0.18    -0.21     0.95     2.17     9.02     1.57    -1.80    -0.05    -0.21     0.12    -0.08  1749.24   995.55
    12.00     0.00  1000.00    -0.18    -0.32    -0.95     1.82     9.02    15.96     1.80    -2.04    -0.21    -0.36     0.08    -0.05   995.55   232.05
    12.00     0.00 -1000.00    -0.18    -0.04    -0.95     0.21     9.02     2.17     1.80    -1.57    -0.21    -0.05     0.08    -0.12   995.55  1749.24
    14.00  1000.00     0.00    -0.35    -0.21    -2.03     1.13    17.50    10.54     2.09    -1.85    -0.40    -0.24     0.04    -0.07   282.31  1048.28
    14.00 -1000.00     0.00    -0.07    -0.21    -0.36     1.13     3.68    10.54     1.62    -1.85    -0.09    -0.24     0.11    -0.07  1804.16  1048.28
    14.00     0.00  1000.00    -0.21    -0.35    -1.13     2.03    10.54    17.50     1.85    -2.09    -0.24    -0.40     0.07    -0.04  1048.28   282.31
    14.00     0.00 -1000.00    -0.21    -0.07    -1.13     0.36    10.54     3.68     1.85    -1.62    -0.24    -0.09     0.07    -0.11  1048.28  1804.16
    16.00  1000.00     0.00    -0.38    -0.24    -2.25     1.31    19.05    12.07     2.15    -1.90    -0.43    -0.28     0.03    -0.07   331.94  1100.48
    16.00 -1000.00     0.00    -0.10    -0.24    -0.52     1.31     5.18    12.07     1.67    -1.90    -0.12    -0.28     0.10    -0.07  1858.59  1100.48
    16.00     0.00  1000.00    -0.24    -0.38    -1.31     2.25    12.07    19.05     1.90    -2.15    -0.28    -0.43     0.07    -0.03  1100.48   331.94
    16.00     0.00 -1000.00    -0.24    -0.10    -1.31     0.52    12.07     5.18     1.90    -1.67    -0.28    -0.12     0.07    -0.10  1100.48  1858.59
    18.00  1000.00     0.00    -0.41    -0.27    -2.47     1.51    20.60    13.60     2.20    -1.96    -0.47    -0.31     0.02    -0.06   380.89  1152.12
    18.00 -1000.00     0.00    -0.13    -0.27    -0.68     1.51     6.69    13.60     1.72    -1.96    -0.16    -0.31     0.10    -0.06  1912.52  1152.12
    18.00     0.00  1000.00    -0.27    -0.41    -1.51     2.47    13.60    20.60     1.96    -2.20    -0.31    -0.47     0.06    -0.02  1152.12   380.89
    18.00     0.00 -1000.00    -0.27    -0.13    -1.51     0.68    13.60     6.69     1.96    -1.72    -0.31    -0.16     0.06    -0.10  1152.12  1912.52
    20.00  1000.00     0.00    -0.44    -0.30    -2.70     1.71    22.16    15.13     2.26    -2.01    -0.50    -0.35     0.01    -0.05   429.14  1203.18
    20.00 -1000.00     0.00    -0.16    -0.30    -0.85     1.71     8.20    15.13     1.77    -2.01    -0.19    -0.35     0.09    -0.05  1965.94  1203.18
    20.00     0.00  1000.00    -0.30    -0.44    -1.71     2.70    15.13    22.16     2.01    -2.26    -0.35    -0.50     0.05    -0.01  1203.18   429.14
    20.00     0.00 -1000.00    -0.30    -0.16    -1.71     0.85    15.13     8.20     2.01    -1.77    -0.35    -0.19     0.05    -0.09  1203.18  1965.94
    22.00  1000.00     0.00    -0.48    -0.33    -2.94     1.91    23.73    16.67     2.31    -2.06    -0.54    -0.38     0.01    -0.04   476.64  1253.64
    22.00 -1000.00     0.00    -0.19    -0.33    -1.03     1.91     9.72    16.67     1.82    -2.06    -0.23    -0.38     0.08    -0.04  2018.84  1253.64
    22.00     0.00  1000.00    -0.33    -0.48    -1.91     2.94    16.67    23.73     2.06    -2.31    -0.38    -0.54     0.04    -0.01  1253.64   476.64
    22.00     0.00 -1000.00    -0.33    -0.19    -1.91     1.03    16.67     9.72     2.06    -1.82    -0.38    -0.23     0.04    -0.08  1253.64  2018.84
    24.00  1000.00     0.00    -0.51    -0.36    -3.19     2.13    25.30    18.22     2.37    -2.12    -0.58    -0.42     0.00    -0.03   523.36  1303.48
    24.00 -1000.00     0.00    -0.22    -0.36    -1.21     2.13    11.24    18.22     1.87    -2.12    -0.26    -0.42     0.07    -0.03  2071.21  1303.48
    24.00     0.00  1000.00    -0.36    -0.51    -2.13     3.19    18.22    25.30     2.12    -2.37    -0.42    -0.58     0.03     0.00  1303.48   523.36
    24.00     0.00 -1000.00    -0.36    -0.22    -2.13     1.21    18.22    11.24     2.12    -1.87    -0.42    -0.26     0.03    -0.07  1303.48  2071.21
    26.00  1000.00     0.00    -0.54    -0.39    -3.44     2.35    26.88    19.77     2.43    -2.17    -0.61    -0.45    -0.01    -0.02   569.23  1352.66
    26.00 -1000.00     0.00    -0.25    -0.39    -1.40     2.35    12.77    19.77     1.93    -2.17    -0.30    -0.45     0.06    -0.02  2123.02  1352.66
    26.00     0.00  1000.00    -0.39    -0.54    -2.35     3.44    19.77    26.88     2.17    -2.43    -0.45    -0.61     0.02     0.01  1352.66   569.23
    26.00     0.00 -1000.00    -0.39    -0.25    -2.35     1.40    19.77    12.77     2.17    -1.93    -0.45    -0.30     0.02    -0.06  1352.66  2123.02
    28.00  1000.00     0.00    -0.57    -0.42    -3.71     2.58    28.47    21.33     2.49    -2.23    -0.65    -0.49    -0.02    -0.02   614.22  1401.15
    28.00 -1000.00     0.00    -0.28    -0.42    -1.60     2.58    14.30    21.33     1.98    -2.23    -0.33    -0.49     0.05    -0.02  2174.27  1401.15
    28.00     0.00  1000.00    -0.42    -0.57    -2.58     3.71    21.33    28.47     2.23    -2.49    -0.49    -0.65     0.02     0.02  1401.15   614.22
    28.00     0.00 -1000.00    -0.42    -0.28    -2.58     1.60    21.33    14.30     2.23    -1.98    -0.49    -0.33     0.02    -0.05  1401.15  2174.27
    30.00  1000.00     0.00    -0.60    -0.46    -3.98     2.81    30.06    22.89     2.55    -2.28    -0.68    -0.52    -0.03    -0.01   658.25  1448.91
    30.00 -1000.00     0.00    -0.31    -0.46    -1.80     2.81    15.84    22.89     2.03    -2.28    -0.37    -0.52     0.04    -0.01  2224.93  1448.91
    30.00     0.00  1000.00    -0.46    -0.60    -2.81     3.98    22.89    30.06     2.28    -2.55    -0.52    -0.68     0.01     0.03  1448.91   658.25
    30.00     0.00 -1000.00    -0.46    -0.31    -2.81     1.80    22.89    15.84     2.28    -2.03    -0.52    -0.37     0.01    -0.04  1448.91  2224.93
    32.00  1000.00     0.00    -0.63    -0.49    -4.26     3.06    31.67    24.46     2.61    -2.34    -0.72    -0.56    -0.03     0.00   701.26  1495.91
    32.00 -1000.00     0.00    -0.34    -0.49    -2.01     3.06    17.39    24.46     2.09    -2.34    -0.40    -0.56     0.04     0.00  2274.97  1495.91
    32.00     0.00  1000.00    -0.49    -0.63    -3.06     4.26    24.46    31.67     2.34    -2.61    -0.56    -0.72     0.00     0.03  1495.91   701.26
    32.00     0.00 -1000.00    -0.49    -0.34    -3.06     2.01    24.46    17.39     2.34    -2.09    -0.56    -0.40     0.00    -0.04  1495.91  2274.97
    34.00  1000.00     0.00    -0.67    -0.52    -4.55     3.31    33.29    26.04     2.67    -2.40    -0.76    -0.60    -0.04     0.01   743.17  1542.09
    34.00 -1000.00     0.00    -0.37    -0.52    -2.23     3.31    18.94    26.04     2.14    -2.40    -0.44    -0.60     0.03     0.01  2324.37  1542.09
    34.00     0.00  1000.00    -0.52    -0.67    -3.31     4.55    26.04    33.29     2.40    -2.67    -0.60    -0.76    -0.01     0.04  1542.09   743.17
    34.00     0.00 -1000.00    -0.52    -0.37    -3.31     2.23    26.04    18.94     2.40    -2.14    -0.60    -0.44    -0.01    -0.03  1542.09  2324.37
    36.00  1000.00     0.00    -0.70    -0.55    -4.84     3.57    34.91    27.62     2.73    -2.46    -0.79    -0.63    -0.05     0.02   783.91  1587.40
    36.00 -1000.00     0.00    -0.41    -0.55    -2.45     3.57    20.49    27.62     2.20    -2.46    -0.47    -0.63     0.02     0.02  2373.09  1587.40
    36.00     0.00  1000.00    -0.55    -0.70    -3.57     4.84    27.62    34.91     2.46    -2.73    -0.63    -0.79    -0.02     0.05  1587.40   783.91
    36.00     0.00 -1000.00    -0.55    -0.41    -3.57     2.45    27.62    20.49     2.46    -2.20    -0.63    -0.47    -0.02    -0.02  1587.40  2373.09
    38.00  1000.00     0.00    -0.73    -0.58    -5.15     3.83    36.55    29.22     2.79    -2.52    -0.83    -0.67    -0.06     0.03   823.38  1631.79
    38.00 -1000.00     0.00    -0.44    -0.58    -2.69     3.83    22.05    29.22     2.25    -2.52    -0.51    -0.67     0.01     0.03  2421.11  1631.79
    38.00     0.00  1000.00    -0.58    -0.73    -3.83     5.15    29.22    36.55     2.52    -2.79    -0.67    -0.83    -0.03     0.06  1631.79   823.38
    38.00     0.00 -1000.00    -0.58    -0.44    -3.83     2.69    29.22    22.05     2.52    -2.25    -0.67    -0.51    -0.03    -0.01  1631.79  2421.11
    40.00  1000.00     0.00    -0.76    -0.61    -5.47     4.11    38.20    30.82     2.86    -2.58    -0.87    -0.71    -0.07     0.03   861.47  1675.19
    40.00 -1000.00     0.00    -0.47    -0.61    -2.93     4.11    23.62    30.82     2.31    -2.58    -0.55    -0.71     0.00     0.03  2468.37  1675.19
    40.00     0.00  1000.00    -0.61    -0.76    -4.11     5.47    30.82    38.20     2.58    -2.86    -0.71    -0.87    -0.03     0.07  1675.19   861.47
    40.00     0.00 -1000.00    -0.61    -0.47    -4.11     2.93    30.82    23.62     2.58    -2.31    -0.71    -0.55    -0.03     0.00  1675.19  2468.37
    42.00  1000.00     0.00    -0.80    -0.64    -5.79     4.39    39.86    32.43     2.92    -2.64    -0.90    -0.74    -0.07     0.04   898.08  1717.52
    42.00 -1000.00     0.00    -0.50    -0.64    -3.17     4.39    25.19    32.43     2.37    -2.64    -0.58    -0.74    -0.01     0.04  2514.84  1717.52
    42.00     0.00  1000.00    -0.64    -0.80    -4.39     5.79    32.43    39.86     2.64    -2.92    -0.74    -0.90    -0.04     0.07  1717.52   898.08
    42.00     0.00 -1000.00    -0.64    -0.50    -4.39     3.17    32.43    25.19     2.64    -2.37    -0.74    -0.58    -0.04     0.01  1717.52  2514.84
    44.00  1000.00     0.00    -0.83    -0.68    -6.13     4.68    41.54    34.05     2.99    -2.70    -0.94    -0.78    -0.08     0.05   933.06  1758.73
    44.00 -1000.00     0.00    -0.53    -0.68    -3.43     4.68    26.78    34.05     2.43    -2.70    -0.62    -0.78    -0.02     0.05  2560.47  1758.73
    44.00     0.00  1000.00    -0.68    -0.83    -4.68     6.13    34.05    41.54     2.70    -2.99    -0.78    -0.94    -0.05     0.08  1758.73   933.06
    44.00     0.00 -1000.00    -0.68    -0.53    -4.68     3.43    34.05    26.78     2.70    -2.43    -0.78    -0.62    -0.05     0.02  1758.73  2560.47
    46.00  1000.00     0.00    -0.86    -0.71    -6.47     4.99    43.23    35.68     3.06    -2.76    -0.98    -0.82    -0.09     0.06   966.29  1798.70
    46.00 -1000.00     0.00    -0.56    -0.71    -3.69     4.99    28.37    35.68     2.49    -2.76    -0.65    -0.82    -0.02     0.06  2605.20  1798.70
    46.00     0.00  1000.00    -0.71    -0.86    -4.99     6.47    35.68    43.23     2.76    -3.06    -0.82    -0.98    -0.06     0.09  1798.70   966.29
    46.00     0.00 -1000.00    -0.71    -0.56    -4.99     3.69    35.68    28.37     2.76    -2.49    -0.82    -0.65    -0.06     0.02  1798.70  2605.20
    48.00  1000.00     0.00    -0.90    -0.74    -6.83     5.30    44.94    37.33     3.12    -2.83    -1.02    -0.85    -0.09     0.07   997.58  1837.35
    48.00 -1000.00     0.00    -0.59    -0.74    -3.96     5.30    29.97    37.33     2.55    -2.83    -0.69    -0.85    -0.03     0.07  2648.97  1837.35
    48.00     0.00  1000.00    -0.74    -0.90    -5.30     6.83    37.33    44.94     2.83    -3.12    -0.85    -1.02    -0.07     0.09  1837.35   997.58
    48.00     0.00 -1000.00    -0.74    -0.59    -5.30     3.96    37.33    29.97     2.83    -2.55    -0.85    -0.69    -0.07     0.03  1837.35  2648.97
    50.00  1000.00     0.00    -0.93    -0.77    -7.20     5.62    46.67    38.99     3.19    -2.89    -1.05    -0.89    -0.10     0.07  1026.76  1874.57
    50.00 -1000.00     0.00    -0.62    -0.77    -4.24     5.62    31.57    38.99     2.61    -2.89    -0.73    -0.89    -0.04     0.07  2691.72  1874.57
    50.00     0.00  1000.00    -0.77    -0.93    -5.62     7.20    38.99    46.67     2.89    -3.19    -0.89    -1.05    -0.07     0.10  1874.57  1026.76
    50.00     0.00 -1000.00    -0.77    -0.62    -5.62     4.24    38.99    31.57     2.89    -2.61    -0.89    -0.73    -0.07     0.04  1874.57  2691.72
    52.00  1000.00     0.00    -0.97    -0.81    -7.59     5.95    48.42    40.66     3.26    -2.96    -1.09    -0.93    -0.11     0.08  1053.62  1910.23
    52.00 -1000.00     0.00    -0.65    -0.81    -4.53     5.95    33.19    40.66     2.67    -2.96    -0.77    -0.93    -0.05     0.08  2733.36  1910.23
    52.00     0.00  1000.00    -0.81    -0.97    -5.95     7.59    40.66    48.42     2.96    -3.26    -0.93    -1.09    -0.08     0.11  1910.23  1053.62
    52.00     0.00 -1000.00    -0.81    -0.65    -5.95     4.53    40.66    33.19     2.96    -2.67    -0.93    -0.77    -0.08     0.05  1910.23  2733.36
    -2.00  1000.00     0.00    -0.18     0.03    -0.96    -0.14     9.13    -1.49     1.80    -1.45    -0.21     0.03     0.08    -0.14     0.00   612.24
    -2.00 -1000.00     0.00     0.17     0.03     0.68    -0.14    -8.21    -1.49     1.24    -1.45     0.19     0.03     0.18    -0.14  1350.96   612.24
    -2.00     0.00  1000.00     0.03    -0.18     0.14     0.96    -1.49     9.13     1.45    -1.80     0.03    -0.21     0.14    -0.08   612.24     0.00
    -2.00     0.00 -1000.00     0.03     0.17     0.14    -0.68    -1.49    -8.21     1.45    -1.24     0.03     0.19     0.14    -0.18   612.24  1350.96
    -4.00  1000.00     0.00    -0.18     0.06    -0.96    -0.27     9.13    -2.97     1.80    -1.40    -0.21     0.07     0.08    -0.15     0.00   555.52
    -4.00 -1000.00     0.00     0.19     0.06     0.78    -0.27    -9.67    -2.97     1.19    -1.40     0.22     0.07     0.19    -0.15  1292.03   555.52
    -4.00     0.00  1000.00     0.06    -0.18     0.27     0.96    -2.97     9.13     1.40    -1.80     0.07    -0.21     0.15    -0.08   555.52     0.00
    -4.00     0.00 -1000.00     0.06     0.19     0.27    -0.78    -2.97    -9.67     1.40    -1.19     0.07     0.22     0.15    -0.19   555.52  1292.03
    -6.00  1000.00     0.00    -0.18     0.09    -0.96    -0.39     9.13    -4.45     1.80    -1.36    -0.21     0.10     0.08    -0.16     0.00   498.30
    -6.00 -1000.00     0.00     0.22     0.09     0.88    -0.39   -11.13    -4.45     1.15    -1.36     0.26     0.10     0.20    -0.16  1232.56   498.30
    -6.00     0.00  1000.00     0.09    -0.18     0.39     0.96    -4.45     9.13     1.36    -1.80     0.10    -0.21     0.16    -0.08   498.30     0.00
    -6.00     0.00 -1000.00     0.09     0.22     0.39    -0.88    -4.45   -11.13     1.36    -1.15     0.10     0.26     0.16    -0.20   498.30  1232.56
    -8.00  1000.00     0.00    -0.18     0.12    -0.96    -0.51     9.13    -5.93     1.80    -1.31    -0.21     0.14     0.08    -0.17     0.00   440.59
    -8.00 -1000.00     0.00     0.25     0.12     0.97    -0.51   -12.59    -5.93     1.11    -1.31     0.29     0.14     0.20    -0.17  1172.54   440.59
    -8.00     0.00  1000.00     0.12    -0.18     0.51     0.96    -5.93     9.13     1.31    -1.80     0.14    -0.21     0.17    -0.08   440.59     0.00
    -8.00     0.00 -1000.00     0.12     0.25     0.51    -0.97    -5.93   -12.59     1.31    -1.11     0.14     0.29     0.17    -0.20   440.59  1172.54
   -10.00  1000.00     0.00    -0.18     0.15    -0.96    -0.62     9.13    -7.40     1.80    -1.26    -0.21     0.17     0.08    -0.17     0.00   382.37
   -10.00 -1000.00     0.00     0.28     0.15     1.05    -0.62   -14.04    -7.40     1.06    -1.26     0.33     0.17     0.21    -0.17  1111.94   382.37
   -10.00     0.00  1000.00     0.15    -0.18     0.62     0.96    -7.40     9.13     1.26    -1.80     0.17    -0.21     0.17    -0.08   382.37     0.00
   -10.00     0.00 -1000.00     0.15     0.28     0.62    -1.05    -7.40   -14.04     1.26    -1.06     0.17     0.33     0.17    -0.21   382.37  1111.94
   -12.00  1000.00     0.00    -0.18     0.18    -0.96    -0.72     9.13    -8.87     1.80    -1.22    -0.21     0.20     0.08    -0.18     0.00   323.64
   -12.00 -1000.00     0.00     0.31     0.18     1.13    -0.72   -15.48    -8.87     1.02    -1.22     0.36     0.20     0.22    -0.18  1050.75   323.64
   -12.00     0.00  1000.00     0.18    -0.18     0.72     0.96    -8.87     9.13     1.22    -1.80     0.20    -0.21     0.18    -0.08   323.64     0.00
   -12.00     0.00 -1000.00     0.18     0.31     0.72    -1.13    -8.87   -15.48     1.22    -1.02     0.20     0.36     0.18    -0.22   323.64  1050.75
   -14.00  1000.00     0.00    -0.18     0.21    -0.96    -0.82     9.13   -10.33     1.80    -1.17    -0.21     0.24     0.08    -0.19     0.00   264.38
   -14.00 -1000.00     0.00     0.34     0.21     1.21    -0.82   -16.92   -10.33     0.98    -1.17     0.39     0.24     0.23    -0.19   988.95   264.38
   -14.00     0.00  1000.00     0.21    -0.18     0.82     0.96   -10.33     9.13     1.17    -1.80     0.24    -0.21     0.19    -0.08   264.38     0.00
   -14.00     0.00 -1000.00     0.21     0.34     0.82    -1.21   -10.33   -16.92     1.17    -0.98     0.24     0.39     0.19    -0.23   264.38   988.95
   -16.00  1000.00     0.00    -0.18     0.24    -0.96    -0.92     9.13   -11.79     1.80    -1.13    -0.21     0.27     0.08    -0.20     0.00   204.57
   -16.00 -1000.00     0.00     0.37     0.24     1.27    -0.92   -18.35   -11.79     0.93    -1.13     0.43     0.27     0.24    -0.20   926.49   204.57
   -16.00     0.00  1000.00     0.24    -0.18     0.92     0.96   -11.79     9.13     1.13    -1.80     0.27    -0.21     0.20    -0.08   204.57     0.00
   -16.00     0.00 -1000.00     0.24     0.37     0.92    -1.27   -11.79   -18.35     1.13    -0.93     0.27     0.43     0.20    -0.24   204.57   926.49
   -18.00  1000.00     0.00    -0.18     0.27    -0.96    -1.01     9.13   -13.24     1.80    -1.09    -0.21     0.30     0.08    -0.21     0.00   144.20
   -18.00 -1000.00     0.00     0.40     0.27     1.34    -1.01   -19.78   -13.24     0.89    -1.09     0.46     0.30     0.25    -0.21   863.37   144.20
   -18.00     0.00  1000.00     0.27    -0.18     1.01     0.96   -13.24     9.13     1.09    -1.80     0.30    -0.21     0.21    -0.08   144.20     0.00
   -18.00     0.00 -1000.00     0.27     0.40     1.01    -1.34   -13.24   -19.78     1.09    -0.89     0.30     0.46     0.21    -0.25   144.20   863.37
   -20.00  1000.00     0.00    -0.18     0.30    -0.96    -1.09     9.13   -14.69     1.80    -1.04    -0.21     0.34     0.08    -0.22     0.00    83.25
   -20.00 -1000.00     0.00     0.43     0.30     1.39    -1.09   -21.20   -14.69     0.85    -1.04     0.49     0.34     0.25    -0.22   799.54    83.25
   -20.00     0.00  1000.00     0.30    -0.18     1.09     0.96   -14.69     9.13     1.04    -1.80     0.34    -0.21     0.22    -0.08    83.25     0.00
   -20.00     0.00 -1000.00     0.30     0.43     1.09    -1.39   -14.69   -21.20     1.04    -0.85     0.34     0.49     0.22    -0.25    83.25   799.54
   -22.00  1000.00     0.00    -0.18     0.33    -0.96    -1.17     9.13   -16.13     1.80    -1.00    -0.21     0.37     0.08    -0.22     0.00    21.70
   -22.00 -1000.00     0.00     0.46     0.33     1.44    -1.17   -22.62   -16.13     0.81    -1.00     0.53     0.37     0.26    -0.22   734.97    21.70
   -22.00     0.00  1000.00     0.33    -0.18     1.17     0.96   -16.13     9.13     1.00    -1.80     0.37    -0.21     0.22    -0.08    21.70     0.00
   -22.00     0.00 -1000.00     0.33     0.46     1.17    -1.44   -16.13   -22.62     1.00    -0.81     0.37     0.53     0.22    -0.26    21.70   734.97
   -24.00  1000.00     0.00    -0.18     0.34    -0.96    -1.19     9.13   -16.63     1.80    -0.98    -0.21     0.38     0.08    -0.23     0.00     0.00
   -24.00 -1000.00     0.00     0.49     0.34     1.49    -1.19   -24.03   -16.63     0.77    -0.98     0.56     0.38     0.27    -0.23   669.62     0.00
   -24.00     0.00  1000.00     0.34    -0.18     1.19     0.96   -16.63     9.13     0.98    -1.80     0.38    -0.21     0.23    -0.08     0.00     0.00
   -24.00     0.00 -1000.00     0.34     0.49     1.19    -1.49   -16.63   -24.03     0.98    -0.77     0.38     0.56     0.23    -0.27     0.00   669.62
