
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.7                                            Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            FSE04 rear suspension                               

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
    10.00     0.00 -1000.00     0.25    -0.52    -0.78     0.72     7.48     7.25     1.59    -1.56     0.19     0.10    -0.57    -0.01   988.75  1014.16
    12.00  1000.00     0.00     1.06     0.30    -1.03     0.96     9.22     8.99     1.68    -1.65     0.31     0.22    -1.23     0.65  1016.94  1042.89
    12.00 -1000.00     0.00    -0.47     0.30    -0.90     0.96     8.76     8.99     1.62    -1.65     0.14     0.22    -0.06     0.65  1068.60  1042.89
    12.00     0.00  1000.00     0.30     1.06    -0.96     1.03     8.99     9.22     1.65    -1.68     0.22     0.31    -0.65     1.23  1042.89  1016.94
    12.00     0.00 -1000.00     0.30    -0.47    -0.96     0.90     8.99     8.76     1.65    -1.62     0.22     0.14    -0.65     0.06  1042.89  1068.60
    14.00  1000.00     0.00     1.11     0.35    -1.22     1.15    10.74    10.50     1.74    -1.71     0.35     0.26    -1.31     0.72  1070.31  1096.57
    14.00 -1000.00     0.00    -0.41     0.35    -1.08     1.15    10.26    10.50     1.68    -1.71     0.17     0.26    -0.14     0.72  1122.57  1096.57
    14.00     0.00  1000.00     0.35     1.11    -1.15     1.22    10.50    10.74     1.71    -1.74     0.26     0.35    -0.72     1.31  1096.57  1070.31
    14.00     0.00 -1000.00     0.35    -0.41    -1.15     1.08    10.50    10.26     1.71    -1.68     0.26     0.17    -0.72     0.14  1096.57  1122.57
    16.00  1000.00     0.00     1.17     0.40    -1.42     1.35    12.25    12.01     1.80    -1.77     0.39     0.30    -1.38     0.79  1123.20  1149.76
    16.00 -1000.00     0.00    -0.36     0.40    -1.28     1.35    11.78    12.01     1.73    -1.77     0.21     0.30    -0.21     0.79  1176.06  1149.76
    16.00     0.00  1000.00     0.40     1.17    -1.35     1.42    12.01    12.25     1.77    -1.80     0.30     0.39    -0.79     1.38  1149.76  1123.20
    16.00     0.00 -1000.00     0.40    -0.36    -1.35     1.28    12.01    11.78     1.77    -1.73     0.30     0.21    -0.79     0.21  1149.76  1176.06
    18.00  1000.00     0.00     1.22     0.46    -1.63     1.55    13.78    13.53     1.86    -1.83     0.42     0.34    -1.45     0.87  1175.58  1202.44
    18.00 -1000.00     0.00    -0.31     0.46    -1.48     1.55    13.29    13.53     1.79    -1.83     0.25     0.34    -0.28     0.87  1229.03  1202.44
    18.00     0.00  1000.00     0.46     1.22    -1.55     1.63    13.53    13.78     1.83    -1.86     0.34     0.42    -0.87     1.45  1202.44  1175.58
    18.00     0.00 -1000.00     0.46    -0.31    -1.55     1.48    13.53    13.29     1.83    -1.79     0.34     0.25    -0.87     0.28  1202.44  1229.03
    20.00  1000.00     0.00     1.28     0.51    -1.84     1.76    15.30    15.06     1.92    -1.89     0.46     0.37    -1.52     0.94  1227.43  1254.59
    20.00 -1000.00     0.00    -0.26     0.51    -1.69     1.76    14.82    15.06     1.85    -1.89     0.28     0.37    -0.35     0.94  1281.45  1254.59
    20.00     0.00  1000.00     0.51     1.28    -1.76     1.84    15.06    15.30     1.89    -1.92     0.37     0.46    -0.94     1.52  1254.59  1227.43
    20.00     0.00 -1000.00     0.51    -0.26    -1.76     1.69    15.06    14.82     1.89    -1.85     0.37     0.28    -0.94     0.35  1254.59  1281.45
    22.00  1000.00     0.00     1.33     0.57    -2.07     1.99    16.84    16.59     1.97    -1.94     0.50     0.41    -1.60     1.01  1278.71  1306.15
    22.00 -1000.00     0.00    -0.20     0.57    -1.91     1.99    16.34    16.59     1.91    -1.94     0.32     0.41    -0.42     1.01  1333.29  1306.15
    22.00     0.00  1000.00     0.57     1.33    -1.99     2.07    16.59    16.84     1.94    -1.97     0.41     0.50    -1.01     1.60  1306.15  1278.71
    22.00     0.00 -1000.00     0.57    -0.20    -1.99     1.91    16.59    16.34     1.94    -1.91     0.41     0.32    -1.01     0.42  1306.15  1333.29
    24.00  1000.00     0.00     1.39     0.62    -2.30     2.22    18.37    18.12     2.03    -2.01     0.54     0.45    -1.67     1.08  1329.39  1357.12
    24.00 -1000.00     0.00    -0.15     0.62    -2.14     2.22    17.88    18.12     1.97    -2.01     0.36     0.45    -0.49     1.08  1384.52  1357.12
    24.00     0.00  1000.00     0.62     1.39    -2.22     2.30    18.12    18.37     2.01    -2.03     0.45     0.54    -1.08     1.67  1357.12  1329.39
    24.00     0.00 -1000.00     0.62    -0.15    -2.22     2.14    18.12    17.88     2.01    -1.97     0.45     0.36    -1.08     0.49  1357.12  1384.52
    26.00  1000.00     0.00     1.44     0.68    -2.54     2.46    19.91    19.66     2.10    -2.07     0.57     0.48    -1.74     1.15  1379.43  1407.43
    26.00 -1000.00     0.00    -0.09     0.68    -2.38     2.46    19.41    19.66     2.03    -2.07     0.39     0.48    -0.56     1.15  1435.09  1407.43
    26.00     0.00  1000.00     0.68     1.44    -2.46     2.54    19.66    19.91     2.07    -2.10     0.48     0.57    -1.15     1.74  1407.43  1379.43
    26.00     0.00 -1000.00     0.68    -0.09    -2.46     2.38    19.66    19.41     2.07    -2.03     0.48     0.39    -1.15     0.56  1407.43  1435.09
    28.00  1000.00     0.00     1.50     0.73    -2.79     2.71    21.46    21.21     2.16    -2.13     0.61     0.52    -1.81     1.22  1428.79  1457.06
    28.00 -1000.00     0.00    -0.04     0.73    -2.63     2.71    20.96    21.21     2.10    -2.13     0.43     0.52    -0.63     1.22  1484.96  1457.06
    28.00     0.00  1000.00     0.73     1.50    -2.71     2.79    21.21    21.46     2.13    -2.16     0.52     0.61    -1.22     1.81  1457.06  1428.79
    28.00     0.00 -1000.00     0.73    -0.04    -2.71     2.63    21.21    20.96     2.13    -2.10     0.52     0.43    -1.22     0.63  1457.06  1484.96
    30.00  1000.00     0.00     1.56     0.79    -3.05     2.96    23.02    22.76     2.22    -2.19     0.65     0.56    -1.88     1.29  1477.44  1505.95
    30.00 -1000.00     0.00     0.02     0.79    -2.88     2.96    22.51    22.76     2.16    -2.19     0.47     0.56    -0.70     1.29  1534.09  1505.95
    30.00     0.00  1000.00     0.79     1.56    -2.96     3.05    22.76    23.02     2.19    -2.22     0.56     0.65    -1.29     1.88  1505.95  1477.44
    30.00     0.00 -1000.00     0.79     0.02    -2.96     2.88    22.76    22.51     2.19    -2.16     0.56     0.47    -1.29     0.70  1505.95  1534.09
    32.00  1000.00     0.00     1.61     0.85    -3.32     3.23    24.58    24.32     2.28    -2.25     0.69     0.59    -1.95     1.36  1525.31  1554.06
    32.00 -1000.00     0.00     0.07     0.85    -3.15     3.23    24.07    24.32     2.22    -2.25     0.50     0.59    -0.76     1.36  1582.43  1554.06
    32.00     0.00  1000.00     0.85     1.61    -3.23     3.32    24.32    24.58     2.25    -2.28     0.59     0.69    -1.36     1.95  1554.06  1525.31
    32.00     0.00 -1000.00     0.85     0.07    -3.23     3.15    24.32    24.07     2.25    -2.22     0.59     0.50    -1.36     0.76  1554.06  1582.43
    34.00  1000.00     0.00     1.67     0.90    -3.60     3.51    26.15    25.89     2.34    -2.31     0.72     0.63    -2.02     1.42  1572.36  1601.34
    34.00 -1000.00     0.00     0.13     0.90    -3.42     3.51    25.63    25.89     2.28    -2.31     0.54     0.63    -0.83     1.42  1629.91  1601.34
    34.00     0.00  1000.00     0.90     1.67    -3.51     3.60    25.89    26.15     2.31    -2.34     0.63     0.72    -1.42     2.02  1601.34  1572.36
    34.00     0.00 -1000.00     0.90     0.13    -3.51     3.42    25.89    25.63     2.31    -2.28     0.63     0.54    -1.42     0.83  1601.34  1629.91
    36.00  1000.00     0.00     1.73     0.96    -3.89     3.80    27.73    27.46     2.40    -2.37     0.76     0.67    -2.09     1.49  1618.53  1647.72
    36.00 -1000.00     0.00     0.19     0.96    -3.71     3.80    27.21    27.46     2.34    -2.37     0.58     0.67    -0.90     1.49  1676.49  1647.72
    36.00     0.00  1000.00     0.96     1.73    -3.80     3.89    27.46    27.73     2.37    -2.40     0.67     0.76    -1.49     2.09  1647.72  1618.53
    36.00     0.00 -1000.00     0.96     0.19    -3.80     3.71    27.46    27.21     2.37    -2.34     0.67     0.58    -1.49     0.90  1647.72  1676.49
    38.00  1000.00     0.00     1.79     1.02    -4.19     4.09    29.31    29.05     2.46    -2.44     0.80     0.70    -2.15     1.56  1663.77  1693.16
    38.00 -1000.00     0.00     0.25     1.02    -4.00     4.09    28.79    29.05     2.41    -2.44     0.61     0.70    -0.96     1.56  1722.10  1693.16
    38.00     0.00  1000.00     1.02     1.79    -4.09     4.19    29.05    29.31     2.44    -2.46     0.70     0.80    -1.56     2.15  1693.16  1663.77
    38.00     0.00 -1000.00     1.02     0.25    -4.09     4.00    29.05    28.79     2.44    -2.41     0.70     0.61    -1.56     0.96  1693.16  1722.10
    40.00  1000.00     0.00     1.85     1.08    -4.50     4.40    30.91    30.64     2.53    -2.50     0.83     0.74    -2.22     1.62  1707.99  1737.56
    40.00 -1000.00     0.00     0.30     1.08    -4.31     4.40    30.38    30.64     2.47    -2.50     0.65     0.74    -1.02     1.62  1766.66  1737.56
    40.00     0.00  1000.00     1.08     1.85    -4.40     4.50    30.64    30.91     2.50    -2.53     0.74     0.83    -1.62     2.22  1737.56  1707.99
    40.00     0.00 -1000.00     1.08     0.30    -4.40     4.31    30.64    30.38     2.50    -2.47     0.74     0.65    -1.62     1.02  1737.56  1766.66
    42.00  1000.00     0.00     1.91     1.14    -4.82     4.72    32.51    32.24     2.59    -2.56     0.87     0.78    -2.28     1.69  1751.14  1780.87
    42.00 -1000.00     0.00     0.36     1.14    -4.62     4.72    31.98    32.24     2.53    -2.56     0.69     0.78    -1.09     1.69  1810.09  1780.87
    42.00     0.00  1000.00     1.14     1.91    -4.72     4.82    32.24    32.51     2.56    -2.59     0.78     0.87    -1.69     2.28  1780.87  1751.14
    42.00     0.00 -1000.00     1.14     0.36    -4.72     4.62    32.24    31.98     2.56    -2.53     0.78     0.69    -1.69     1.09  1780.87  1810.09
    44.00  1000.00     0.00     1.97     1.20    -5.15     5.05    34.12    33.86     2.66    -2.63     0.91     0.82    -2.35     1.75  1793.13  1822.99
    44.00 -1000.00     0.00     0.42     1.20    -4.95     5.05    33.59    33.86     2.60    -2.63     0.72     0.82    -1.15     1.75  1852.32  1822.99
    44.00     0.00  1000.00     1.20     1.97    -5.05     5.15    33.86    34.12     2.63    -2.66     0.82     0.91    -1.75     2.35  1822.99  1793.13
    44.00     0.00 -1000.00     1.20     0.42    -5.05     4.95    33.86    33.59     2.63    -2.60     0.82     0.72    -1.75     1.15  1822.99  1852.32
    46.00  1000.00     0.00     2.03     1.26    -5.50     5.39    35.75    35.48     2.72    -2.69     0.95     0.85    -2.41     1.81  1833.87  1863.83
    46.00 -1000.00     0.00     0.48     1.26    -5.29     5.39    35.22    35.48     2.66    -2.69     0.76     0.85    -1.21     1.81  1893.25  1863.83
    46.00     0.00  1000.00     1.26     2.03    -5.39     5.50    35.48    35.75     2.69    -2.72     0.85     0.95    -1.81     2.41  1863.83  1833.87
    46.00     0.00 -1000.00     1.26     0.48    -5.39     5.29    35.48    35.22     2.69    -2.66     0.85     0.76    -1.81     1.21  1863.83  1893.25
    48.00  1000.00     0.00     2.09     1.31    -5.85     5.74    37.39    37.12     2.79    -2.76     0.98     0.89    -2.47     1.87  1873.26  1903.30
    48.00 -1000.00     0.00     0.54     1.31    -5.64     5.74    36.85    37.12     2.73    -2.76     0.80     0.89    -1.27     1.87  1932.76  1903.30
    48.00     0.00  1000.00     1.31     2.09    -5.74     5.85    37.12    37.39     2.76    -2.79     0.89     0.98    -1.87     2.47  1903.30  1873.26
    48.00     0.00 -1000.00     1.31     0.54    -5.74     5.64    37.12    36.85     2.76    -2.73     0.89     0.80    -1.87     1.27  1903.30  1932.76
    50.00  1000.00     0.00     2.15     1.37    -6.22     6.11    39.04    38.77     2.85    -2.82     1.02     0.93    -2.53     1.93  1911.20  1941.28
    50.00 -1000.00     0.00     0.60     1.37    -6.00     6.11    38.50    38.77     2.79    -2.82     0.83     0.93    -1.32     1.93  1970.75  1941.28
    50.00     0.00  1000.00     1.37     2.15    -6.11     6.22    38.77    39.04     2.82    -2.85     0.93     1.02    -1.93     2.53  1941.28  1911.20
    50.00     0.00 -1000.00     1.37     0.60    -6.11     6.00    38.77    38.50     2.82    -2.79     0.93     0.83    -1.93     1.32  1941.28  1970.75
    52.00  1000.00     0.00     2.21     1.43    -6.60     6.49    40.70    40.43     2.92    -2.89     1.06     0.97    -2.59     1.98  1947.55  1977.63
    52.00 -1000.00     0.00     0.65     1.43    -6.38     6.49    40.17    40.43     2.86    -2.89     0.87     0.97    -1.38     1.98  2007.07  1977.63
    52.00     0.00  1000.00     1.43     2.21    -6.49     6.60    40.43    40.70     2.89    -2.92     0.97     1.06    -1.98     2.59  1977.63  1947.55
    52.00     0.00 -1000.00     1.43     0.65    -6.49     6.38    40.43    40.17     2.89    -2.86     0.97     0.87    -1.98     1.38  1977.63  2007.07
    54.00  1000.00     0.00     2.28     1.49    -6.99     6.88    42.38    42.11     2.99    -2.96     1.10     1.00    -2.65     2.04  1982.18  2012.22
    54.00 -1000.00     0.00     0.71     1.49    -6.77     6.88    41.85    42.11     2.93    -2.96     0.91     1.00    -1.43     2.04  2041.59  2012.22
    54.00     0.00  1000.00     1.49     2.28    -6.88     6.99    42.11    42.38     2.96    -2.99     1.00     1.10    -2.04     2.65  2012.22  1982.18
    54.00     0.00 -1000.00     1.49     0.71    -6.88     6.77    42.11    41.85     2.96    -2.93     1.00     0.91    -2.04     1.43  2012.22  2041.59
    56.00  1000.00     0.00     2.34     1.55    -7.40     7.28    44.08    43.81     3.05    -3.03     1.14     1.04    -2.70     2.09  2014.93  2044.89
    56.00 -1000.00     0.00     0.77     1.55    -7.17     7.28    43.55    43.81     3.00    -3.03     0.95     1.04    -1.48     2.09  2074.13  2044.89
    56.00     0.00  1000.00     1.55     2.34    -7.28     7.40    43.81    44.08     3.03    -3.05     1.04     1.14    -2.09     2.70  2044.89  2014.93
    56.00     0.00 -1000.00     1.55     0.77    -7.28     7.17    43.81    43.55     3.03    -3.00     1.04     0.95    -2.09     1.48  2044.89  2074.13
    -2.00  1000.00     0.00     0.71    -0.05     0.08    -0.13    -1.27    -1.49     1.27    -1.24     0.05    -0.04    -0.70     0.12   631.84   655.58
    -2.00 -1000.00     0.00    -0.81    -0.05     0.18    -0.13    -1.70    -1.49     1.21    -1.24    -0.12    -0.04     0.46     0.12   679.15   655.58
    -2.00     0.00  1000.00    -0.05     0.71     0.13    -0.08    -1.49    -1.27     1.24    -1.27    -0.04     0.05    -0.12     0.70   655.58   631.84
    -2.00     0.00 -1000.00    -0.05    -0.81     0.13    -0.18    -1.49    -1.70     1.24    -1.21    -0.04    -0.12    -0.12    -0.46   655.58   679.15
    -4.00  1000.00     0.00     0.67    -0.09     0.21    -0.26    -2.76    -2.97     1.22    -1.19     0.01    -0.08    -0.63     0.05   575.40   598.83
    -4.00 -1000.00     0.00    -0.86    -0.09     0.31    -0.26    -3.18    -2.97     1.15    -1.19    -0.16    -0.08     0.53     0.05   622.09   598.83
    -4.00     0.00  1000.00    -0.09     0.67     0.26    -0.21    -2.97    -2.76     1.19    -1.22    -0.08     0.01    -0.05     0.63   598.83   575.40
    -4.00     0.00 -1000.00    -0.09    -0.86     0.26    -0.31    -2.97    -3.18     1.19    -1.15    -0.08    -0.16    -0.05    -0.53   598.83   622.09
    -6.00  1000.00     0.00     0.62    -0.14     0.33    -0.38    -4.24    -4.45     1.16    -1.13    -0.03    -0.11    -0.55    -0.03   518.66   541.77
    -6.00 -1000.00     0.00    -0.90    -0.14     0.42    -0.38    -4.66    -4.45     1.09    -1.13    -0.20    -0.11     0.61    -0.03   564.72   541.77
    -6.00     0.00  1000.00    -0.14     0.62     0.38    -0.33    -4.45    -4.24     1.13    -1.16    -0.11    -0.03     0.03     0.55   541.77   518.66
    -6.00     0.00 -1000.00    -0.14    -0.90     0.38    -0.42    -4.45    -4.66     1.13    -1.09    -0.11    -0.20     0.03    -0.61   541.77   564.72
    -8.00  1000.00     0.00     0.57    -0.19     0.44    -0.49    -5.72    -5.93     1.10    -1.07    -0.07    -0.15    -0.47    -0.11   461.61   484.41
    -8.00 -1000.00     0.00    -0.95    -0.19     0.53    -0.49    -6.14    -5.93     1.04    -1.07    -0.24    -0.15     0.68    -0.11   507.06   484.41
    -8.00     0.00  1000.00    -0.19     0.57     0.49    -0.44    -5.93    -5.72     1.07    -1.10    -0.15    -0.07     0.11     0.47   484.41   461.61
    -8.00     0.00 -1000.00    -0.19    -0.95     0.49    -0.53    -5.93    -6.14     1.07    -1.04    -0.15    -0.24     0.11    -0.68   484.41   507.06
   -10.00  1000.00     0.00     0.53    -0.23     0.54    -0.59    -7.20    -7.41     1.05    -1.01    -0.10    -0.19    -0.39    -0.18   404.28   426.77
   -10.00 -1000.00     0.00    -0.99    -0.23     0.63    -0.59    -7.61    -7.41     0.98    -1.01    -0.27    -0.19     0.76    -0.18   449.11   426.77
   -10.00     0.00  1000.00    -0.23     0.53     0.59    -0.54    -7.41    -7.20     1.01    -1.05    -0.19    -0.10     0.18     0.39   426.77   404.28
   -10.00     0.00 -1000.00    -0.23    -0.99     0.59    -0.63    -7.41    -7.61     1.01    -0.98    -0.19    -0.27     0.18    -0.76   426.77   449.11
   -12.00  1000.00     0.00     0.48    -0.28     0.64    -0.68    -8.68    -8.88     0.99    -0.96    -0.14    -0.23    -0.32    -0.26   346.67   368.86
   -12.00 -1000.00     0.00    -1.04    -0.28     0.72    -0.68    -9.09    -8.88     0.92    -0.96    -0.31    -0.23     0.84    -0.26   390.90   368.86
   -12.00     0.00  1000.00    -0.28     0.48     0.68    -0.64    -8.88    -8.68     0.96    -0.99    -0.23    -0.14     0.26     0.32   368.86   346.67
   -12.00     0.00 -1000.00    -0.28    -1.04     0.68    -0.72    -8.88    -9.09     0.96    -0.92    -0.23    -0.31     0.26    -0.84   368.86   390.90
   -14.00  1000.00     0.00     0.44    -0.32     0.73    -0.77   -10.16   -10.36     0.93    -0.90    -0.18    -0.26    -0.24    -0.34   288.80   310.68
   -14.00 -1000.00     0.00    -1.08    -0.32     0.81    -0.77   -10.55   -10.36     0.87    -0.90    -0.35    -0.26     0.92    -0.34   332.42   310.68
   -14.00     0.00  1000.00    -0.32     0.44     0.77    -0.73   -10.36   -10.16     0.90    -0.93    -0.26    -0.18     0.34     0.24   310.68   288.80
   -14.00     0.00 -1000.00    -0.32    -1.08     0.77    -0.81   -10.36   -10.55     0.90    -0.87    -0.26    -0.35     0.34    -0.92   310.68   332.42
   -16.00  1000.00     0.00     0.39    -0.36     0.81    -0.85   -11.63   -11.83     0.88    -0.84    -0.22    -0.30    -0.16    -0.42   230.66   252.24
   -16.00 -1000.00     0.00    -1.12    -0.36     0.89    -0.85   -12.02   -11.83     0.81    -0.84    -0.39    -0.30     0.99    -0.42   273.69   252.24
   -16.00     0.00  1000.00    -0.36     0.39     0.85    -0.81   -11.83   -11.63     0.84    -0.88    -0.30    -0.22     0.42     0.16   252.24   230.66
   -16.00     0.00 -1000.00    -0.36    -1.12     0.85    -0.89   -11.83   -12.02     0.84    -0.81    -0.30    -0.39     0.42    -0.99   252.24   273.69
   -18.00  1000.00     0.00     0.35    -0.41     0.89    -0.93   -13.10   -13.29     0.82    -0.79    -0.26    -0.34    -0.08    -0.50   172.27   193.56
   -18.00 -1000.00     0.00    -1.16    -0.41     0.96    -0.93   -13.49   -13.29     0.75    -0.79    -0.42    -0.34     1.07    -0.50   214.72   193.56
   -18.00     0.00  1000.00    -0.41     0.35     0.93    -0.89   -13.29   -13.10     0.79    -0.82    -0.34    -0.26     0.50     0.08   193.56   172.27
   -18.00     0.00 -1000.00    -0.41    -1.16     0.93    -0.96   -13.29   -13.49     0.79    -0.75    -0.34    -0.42     0.50    -1.07   193.56   214.72
   -20.00  1000.00     0.00     0.31    -0.45     0.95    -0.99   -14.57   -14.76     0.77    -0.73    -0.30    -0.38     0.00    -0.58   113.64   134.64
   -20.00 -1000.00     0.00    -1.21    -0.45     1.02    -0.99   -14.95   -14.76     0.70    -0.73    -0.46    -0.38     1.15    -0.58   155.51   134.63
   -20.00     0.00  1000.00    -0.45     0.31     0.99    -0.95   -14.76   -14.57     0.73    -0.77    -0.38    -0.30     0.58     0.00   134.63   113.64
   -20.00     0.00 -1000.00    -0.45    -1.21     0.99    -1.02   -14.76   -14.95     0.73    -0.70    -0.38    -0.46     0.58    -1.15   134.63   155.51
   -22.00  1000.00     0.00     0.27    -0.49     1.01    -1.05   -16.03   -16.22     0.71    -0.68    -0.33    -0.42     0.08    -0.65    54.76    75.47
   -22.00 -1000.00     0.00    -1.25    -0.49     1.08    -1.05   -16.41   -16.22     0.64    -0.68    -0.50    -0.42     1.23    -0.65    96.07    75.47
   -22.00     0.00  1000.00    -0.49     0.27     1.05    -1.01   -16.22   -16.03     0.68    -0.71    -0.42    -0.33     0.65    -0.08    75.47    54.76
   -22.00     0.00 -1000.00    -0.49    -1.25     1.05    -1.08   -16.22   -16.41     0.68    -0.64    -0.42    -0.50     0.65    -1.23    75.47    96.07
   -24.00  1000.00     0.00     0.23    -0.53     1.06    -1.10   -17.39   -17.69     0.66    -0.62    -0.37    -0.46     0.16    -0.73     0.00    16.08
   -24.00 -1000.00     0.00    -1.29    -0.53     1.13    -1.10   -17.87   -17.69     0.58    -0.62    -0.54    -0.46     1.31    -0.73    36.40    16.08
   -24.00     0.00  1000.00    -0.53     0.23     1.10    -1.06   -17.69   -17.39     0.62    -0.66    -0.46    -0.37     0.73    -0.16    16.08     0.00
   -24.00     0.00 -1000.00    -0.53    -1.29     1.10    -1.13   -17.69   -17.87     0.62    -0.58    -0.46    -0.54     0.73    -1.31    16.08    36.40
   -26.00  1000.00     0.00     0.23    -0.54     1.06    -1.11   -17.39   -18.08     0.66    -0.60    -0.37    -0.47     0.16    -0.76     0.00     0.00
   -26.00 -1000.00     0.00    -1.31    -0.54     1.16    -1.11   -18.76   -18.08     0.55    -0.60    -0.56    -0.47     1.36    -0.76     0.00     0.00
   -26.00     0.00  1000.00    -0.54     0.23     1.11    -1.06   -18.08   -17.39     0.60    -0.66    -0.47    -0.37     0.76    -0.16     0.00     0.00
   -26.00     0.00 -1000.00    -0.54    -1.31     1.11    -1.16   -18.08   -18.76     0.60    -0.55    -0.47    -0.56     0.76    -1.36     0.00     0.00
